Date,EUROPE & MIDDLE EAST SMALL CAP
2010-05,1031.1326180553472
2010-06,1024.8667422504216
2010-07,1078.3028730683734
2010-08,1062.1308210810298
2010-09,1125.3188193006742
2010-10,1168.1517076099956
2010-11,1167.9752096229417
2010-12,1277.6973473278633
2011-01,1271.091951848849
2011-02,1286.8605180320556
2011-03,1273.7621490172571
2011-04,1312.016812855758
2011-05,1315.1088180233046
2011-06,1261.5640675828538
2011-07,1222.922368550986
2011-08,1092.6372302009602
2011-09,1016.9123839562831
2011-10,1085.4432252161787
2011-11,1053.2780621570198
2011-12,1055.4200095642348
2012-01,1150.9620774451473
2012-02,1217.2392734615548
2012-03,1220.1234882236733
2012-04,1225.107774608114
2012-05,1140.7943733441966
2012-06,1164.2045362151055
2012-07,1206.9170849077686
2012-08,1234.8743864879918
2012-09,1276.3398816208896
2012-10,1292.3959889511502
2012-11,1301.4065580463916
2012-12,1348.7105894851823
2013-01,1387.0895644226177
2013-02,1441.445361705324
2013-03,1461.1428019318048
2013-04,1471.9424040136014
2013-05,1527.6324296488785
2013-06,1461.7837382401885
2013-07,1557.122409032977
2013-08,1573.5178650421462
2013-09,1657.6553671581025
2013-10,1732.6505642583022
2013-11,1765.1692499692251
2013-12,1804.8001354804921
2014-01,1818.5280084791407
2014-02,1936.5535160855245
2014-03,1915.414816534911
2014-04,1892.0752077923057
2014-05,1939.6171369578128
2014-06,1920.6024544329398
2014-07,1873.68582732146
2014-08,1900.8763494958605
2014-09,1871.858398984875
2014-10,1843.0533863235294
2014-11,1884.4235168622752
2014-12,1924.5862619253653
2015-01,2044.4394494774363
2015-02,2227.922175825258
2015-03,2273.420626687217
2015-04,2305.9013087134804
2015-05,2390.4024866649506
2015-06,2320.8631537573283
2015-07,2401.484862549093
2015-08,2274.7716811747728
2015-09,2203.9630458266797
2015-10,2343.9987418608694
2015-11,2441.0054900755435
2015-12,2385.4214904275796
2016-01,2191.845733920151
2016-02,2180.233862178434
2016-03,2251.664229452538
2016-04,2272.146979158049
2016-05,2369.459194910202
2016-06,2162.372390647696
2016-07,2283.8316490090383
2016-08,2319.9741353898025
2016-09,2341.876490324573
2016-10,2283.8641374896933
2016-11,2314.683346997355
2016-12,2425.534639321221
2017-01,2449.357409379954
2017-02,2532.244260652466
2017-03,2600.7592345406138
2017-04,2726.871903874108
2017-05,2757.8883062835853
2017-06,2691.276160870305
2017-07,2716.8712101005353
2017-08,2700.9056789883502
2017-09,2823.0715778932017
2017-10,2883.8241138682815
2017-11,2832.7043498211315
2017-12,2898.5155196195815
2018-01,2953.9448868541117
2018-02,2870.880264517913
2018-03,2821.942707742524
2018-04,2938.649825730878
2018-05,2995.9409118875437
2018-06,2962.4779850885034
2018-07,3002.7679816822933
2018-08,2998.052726586434
2018-09,2945.1551784162484
2018-10,2724.0062156921013
2018-11,2636.7327038062604
2018-12,2467.504311508776
2019-01,2689.324420986555
2019-02,2782.82891398322
2019-03,2821.2016677944607
2019-04,2956.86792813638
2019-05,2793.020684168905
2019-06,2875.1387739574197
2019-07,2876.8223585356254
2019-08,2829.931512355492
2019-09,2933.033418707555
2019-10,3002.655666305505
2019-11,3142.769708358086
2019-12,3271.265888094595
2020-01,3218.475607180313
2020-02,2962.903687520363
2020-03,2333.1301639726557
2020-04,2602.247313445454
2020-05,2732.010615063879
2020-06,2760.4506315883154
2020-07,2792.2354172818186
2020-08,2953.5813217845675
2020-09,2933.031923031333
2020-10,2813.481753690179
2020-11,3236.501374120577
2020-12,3427.807356623635
2021-01,3442.8591124498225
2021-02,3572.583146423322
2021-03,3757.8354720080747
2021-04,3901.7368070589896
2021-05,3986.025379538316
2021-06,3976.5660847359454
2021-07,4116.0026768136695
2021-08,4258.83655675953
2021-09,4085.7600985764216
2021-10,4238.05730592875
2021-11,4119.463910863419
2021-12,4300.208092713226
2022-01,4023.43553130606
2022-02,3872.41082839482
2022-03,3907.0842686209303
2022-04,3842.1605747639546
2022-05,3765.3324460581016
2022-06,3332.6089908643953
2022-07,3665.369748732378
2022-08,3443.9975051157185
2022-09,3061.7562468489928
2022-10,3265.926402301377
2022-11,3453.5074229342736
2022-12,3349.4088855626183
2023-01,3590.0979576136274
2023-02,3667.311496193841
2023-03,3521.371495922894
2023-04,3575.970404783536
2023-05,3501.4761747667308
2023-06,3532.917521459894
2023-07,3658.4093001052265
