Date,EFM AFRICA ex ZA SMALL CAP
2010-11,1000.0
2010-12,971.280717294518
2011-01,901.6021538330876
2011-02,859.004156227942
2011-03,795.5172381324085
2011-04,780.1791766742217
2011-05,838.0219984234191
2011-06,816.6708513328516
2011-07,778.9879204715618
2011-08,717.2110034893246
2011-09,672.8367783195199
2011-10,664.0631171321988
2011-11,635.8865374255948
2011-12,624.3575192124017
2012-01,658.9300430225016
2012-02,713.8229273333964
2012-03,666.975848732374
2012-04,697.8761048342161
2012-05,724.5160169755852
2012-06,694.7500854719044
2012-07,733.404524169779
2012-08,756.5421593904325
2012-09,822.6991854990227
2012-10,827.7033944916635
2012-11,759.3342721469867
2012-12,793.228609921792
2013-01,845.869824192262
2013-02,868.9845644363053
2013-03,890.566201373962
2013-04,846.3455822429892
2013-05,940.7270717370856
2013-06,851.9763834452693
2013-07,895.7198302234651
2013-08,865.7452909768316
2013-09,881.9821902979755
2013-10,948.7043026984836
2013-11,979.5375838709531
2013-12,1036.835808818849
2014-01,1077.9876447531212
2014-02,1099.9994197666224
2014-03,1055.934574943499
2014-04,1066.8953744798653
2014-05,1111.5624313205378
2014-06,1148.8131899622008
2014-07,1195.945000678442
2014-08,1243.0968265414465
2014-09,1282.4078875568105
2014-10,1188.7270979102389
2014-11,1140.2625593663756
2014-12,1074.331353650339
2015-01,1109.2899335387362
2015-02,1053.986264710668
2015-03,1073.3861033082185
2015-04,1022.1795083667168
2015-05,1052.0888267174894
2015-06,984.4189482704338
2015-07,925.5376653671191
2015-08,846.7391237431303
2015-09,824.961903904947
2015-10,815.3865530527193
2015-11,789.3321422178162
2015-12,792.8181394770096
2016-01,734.5892875242351
2016-02,706.7233246717077
2016-03,721.908381452794
2016-04,721.599646126075
2016-05,751.458785359742
2016-06,682.7951773276545
2016-07,694.9742060376782
2016-08,677.7060687638385
2016-09,667.0714168372745
2016-10,693.1852019209961
2016-11,620.1335412610563
2016-12,660.3203317616686
2017-01,649.7269596378244
2017-02,686.146263073346
2017-03,682.8212633318986
2017-04,676.0523845888523
2017-05,687.9837497184709
2017-06,710.8334340097695
2017-07,701.5614985621837
2017-08,690.5776881723159
2017-09,699.5589825407466
2017-10,730.1884373680725
2017-11,731.3076913661071
2017-12,746.3709796551276
2018-01,772.501018476519
2018-02,778.621777863206
2018-03,808.8098990966221
2018-04,832.6909359050329
2018-05,790.8621056061193
2018-06,783.9615708665252
2018-07,757.506405180814
2018-08,744.9579687349667
2018-09,684.869211676408
2018-10,650.5634384571198
2018-11,650.3291776327654
2018-12,645.8652498747393
2019-01,670.5225230975136
2019-02,683.6146641949966
2019-03,672.8800524431231
2019-04,664.1553666114794
2019-05,641.6423466021184
2019-06,650.5591747809464
2019-07,648.0662624437728
2019-08,678.7519530871807
2019-09,666.6490704050128
2019-10,666.3103322780102
2019-11,672.1571055961439
2019-12,677.9477862615807
2020-01,686.0068173531854
2020-02,631.0900183026039
2020-03,480.3140616216686
2020-04,518.4163788734967
2020-05,525.9354572722966
2020-06,538.4443883503781
2020-07,508.8162287879377
2020-08,519.6549146360067
2020-09,526.3068822319348
2020-10,542.6871279919828
2020-11,566.2674450559382
2020-12,562.9493564441906
2021-01,587.934903229645
2021-02,573.1956664698955
2021-03,581.651991372443
2021-04,583.3108383940579
2021-05,589.7148131038063
2021-06,625.5681380151319
2021-07,644.0704581169839
2021-08,667.7699843685092
2021-09,678.0746635877292
2021-10,699.9508060138157
2021-11,713.564127044903
2021-12,737.8840929620834
2022-01,753.4450064537206
2022-02,739.3114379440455
2022-03,704.1154314259757
2022-04,745.3612048994394
2022-05,705.0929450048537
2022-06,681.9474049278444
2022-07,689.7606561341171
2022-08,706.3163365369638
2022-09,708.0821408807892
2022-10,659.4097202469063
2022-11,654.058545224835
2022-12,661.0459527169623
2023-01,631.5965750720334
2023-02,648.8303830756669
2023-03,618.0513647526952
2023-04,644.2209308044421
2023-05,690.4791568874907
2023-06,658.2182407990861
2023-07,670.7461051418828
