Date,AC ASIA ex JAPAN SMALL CAP
1998-12,382.7586022443517
1999-01,389.91389854408357
1999-02,385.4106940186928
1999-03,429.77383108770755
1999-04,533.6387347775124
1999-05,557.6621319349575
1999-06,640.2459054130389
1999-07,596.5200492651799
1999-08,599.7325078808265
1999-09,552.5048673315938
1999-10,562.8799059489511
1999-11,609.3167529379056
1999-12,637.3183597745171
2000-01,655.9800350475329
2000-02,648.0660913694235
2000-03,644.7812947992097
2000-04,611.6953679138095
2000-05,539.9604381438029
2000-06,520.9978432275897
2000-07,520.8177717842514
2000-08,538.1469254940155
2000-09,478.4442082000336
2000-10,452.65929534213467
2000-11,428.47103606559654
2000-12,383.1952665433285
2001-01,432.93826681510296
2001-02,442.22701696551843
2001-03,421.0279045006718
2001-04,423.5772736178229
2001-05,459.7550448103084
2001-06,452.2310968475896
2001-07,411.0606778626347
2001-08,399.1150506502466
2001-09,349.6010626074859
2001-10,365.99454120939504
2001-11,405.2117524594192
2001-12,433.0398933209594
2002-01,483.1404429616958
2002-02,488.4465782676169
2002-03,527.9901301252619
2002-04,517.931204438948
2002-05,489.2672063929129
2002-06,437.68973510880653
2002-07,429.18762037175145
2002-08,421.35497394721125
2002-09,364.0464378999622
2002-10,377.43396576374914
2002-11,390.0633783170687
2002-12,354.67666127329306
2003-01,364.8293053140784
2003-02,349.67288730550746
2003-03,326.7120344569939
2003-04,325.3821533320302
2003-05,345.7865933231041
2003-06,375.98819238980786
2003-07,411.592321138816
2003-08,446.7507835535633
2003-09,426.6537460239729
2003-10,455.7461873967804
2003-11,443.3447913059854
2003-12,445.54036088064777
2004-01,478.1335557780102
2004-02,498.24891329614707
2004-03,493.95704107445715
2004-04,480.9065332842466
2004-05,447.7216255825807
2004-06,438.3833071647876
2004-07,429.6039318722372
2004-08,441.7797150096812
2004-09,452.66479155416556
2004-10,446.79358285363395
2004-11,465.3138189370112
2004-12,477.20154655554535
2005-01,501.4871688554458
2005-02,530.1086699023894
2005-03,520.0538445596155
2005-04,510.9721161208407
2005-05,545.9829954480185
2005-06,579.3169126040074
2005-07,605.1056012812326
2005-08,584.2334310548059
2005-09,622.7592782172148
2005-10,587.9652418594925
2005-11,650.4851534659646
2005-12,689.8002838861655
2006-01,706.3404496679179
2006-02,725.0510506450861
2006-03,744.3770638775264
2006-04,765.6342301680403
2006-05,705.354003008282
2006-06,673.6221768974247
2006-07,672.9490829049874
2006-08,691.8045429114425
2006-09,730.6268869665917
2006-10,752.0908388208812
2006-11,793.019111271333
2006-12,821.2375156992105
2007-01,835.0466909566759
2007-02,844.5917623058403
2007-03,870.804794528397
2007-04,903.0807753816662
2007-05,1000.0
2007-06,1052.3069135613707
2007-07,1144.47939201946
2007-08,1082.1353697037205
2007-09,1115.8862265761727
2007-10,1165.5283695827952
2007-11,1040.49000503741
2007-12,1062.5682804768564
2008-01,892.4122719803394
2008-02,931.2700323128322
2008-03,831.8512985401871
2008-04,889.7334597591397
2008-05,867.2915543758597
2008-06,746.6342385696621
2008-07,730.0402809543671
2008-08,710.3702371694774
2008-09,594.2150903650554
2008-10,456.5542723713183
2008-11,430.0352907738551
2008-12,455.408443604544
2009-01,466.1177965668528
2009-02,454.3876919159333
2009-03,498.2379782621657
2009-04,607.6345445964397
2009-05,727.0881192909611
2009-06,715.7264020502405
2009-07,800.819350550049
2009-08,776.0650042585041
2009-09,824.7442531697592
2009-10,822.6406538238393
2009-11,843.457115087647
2009-12,941.9082752539825
2010-01,925.9307916411705
2010-02,947.5432958584911
2010-03,1041.9685079451242
2010-04,1090.193367116612
2010-05,1058.4074055058452
2010-06,1082.15469149089
2010-07,1082.257340522312
2010-08,1109.3430442109836
2010-09,1159.3935696153985
2010-10,1179.1463052838199
2010-11,1231.4214124984617
2010-12,1255.2271590821617
2011-01,1206.1004463557701
2011-02,1134.7700276800472
2011-03,1154.646731948513
2011-04,1150.7798750822806
2011-05,1159.910243419262
2011-06,1123.2787280782286
2011-07,1166.1906732107473
2011-08,1032.3759515845684
2011-09,927.1975869910361
2011-10,981.7909879337504
2011-11,928.3392787368203
2011-12,951.378099836924
2012-01,1038.1501722264134
2012-02,1108.1009810465205
2012-03,1070.7646754389923
2012-04,1058.8166141234703
2012-05,1045.5716465572395
2012-06,1037.7028186001323
2012-07,1070.7466377342225
2012-08,1070.2702334755809
2012-09,1119.1687180219615
2012-10,1098.922628380568
2012-11,1126.5054405076537
2012-12,1150.0003821018188
2013-01,1156.1151140148536
2013-02,1220.1816605756685
2013-03,1251.2733294544787
2013-04,1250.1400648384476
2013-05,1287.4069402943653
2013-06,1171.6845520739976
2013-07,1157.7709610348331
2013-08,1137.7369812434586
2013-09,1177.0496633016367
2013-10,1204.11662522588
2013-11,1191.0122644857377
2013-12,1179.0843838905587
2014-01,1182.80231400139
2014-02,1199.151608957457
2014-03,1216.0822544821963
2014-04,1211.8948161711949
2014-05,1268.603074618781
2014-06,1287.741349724674
2014-07,1337.475317469292
2014-08,1382.0542809443486
2014-09,1389.0774549394985
2014-10,1374.2835350146752
2014-11,1361.6078256013284
2014-12,1377.0409962173258
2015-01,1509.4249350546522
2015-02,1546.422585696165
2015-03,1637.8370031209488
2015-04,1723.8214980708635
2015-05,1784.6889294579003
2015-06,1665.562363897118
2015-07,1537.82256720649
2015-08,1363.4428215174898
2015-09,1377.2782009459247
2015-10,1478.365563195748
2015-11,1517.9072829748359
2015-12,1483.5401769478483
2016-01,1361.6996444031374
2016-02,1342.5285713403737
2016-03,1392.2976440038826
2016-04,1395.8191195931747
2016-05,1402.5527058283933
2016-06,1424.9405684033595
2016-07,1465.6730256983997
2016-08,1506.1291512322912
2016-09,1511.8199843549767
2016-10,1510.42987865572
2016-11,1508.6492781820928
2016-12,1496.530740015477
2017-01,1522.0041639492385
2017-02,1629.1444027061152
2017-03,1664.7024318269528
2017-04,1653.0685538441253
2017-05,1620.7594673108179
2017-06,1608.8978059285178
2017-07,1599.265306298069
2017-08,1606.7330800937032
2017-09,1624.4491945263587
2017-10,1726.977331929209
2017-11,1729.3089039535805
2017-12,1759.3171349247439
2018-01,1790.8760756164972
2018-02,1745.1205359530964
2018-03,1710.1391523524821
2018-04,1744.3078377143672
2018-05,1802.4251026789182
2018-06,1680.2507354275826
2018-07,1683.005697675387
2018-08,1678.2482447885363
2018-09,1614.8568227583855
2018-10,1456.1089798099613
2018-11,1545.2567062775333
2018-12,1503.7675838226462
2019-01,1557.7897146974406
2019-02,1604.762926839952
2019-03,1661.6497762003212
2019-04,1661.0894671143155
2019-05,1573.8043910243362
2019-06,1590.157338040689
2019-07,1580.8881634149268
2019-08,1527.4649557869793
2019-09,1576.0405131806779
2019-10,1598.886835485175
2019-11,1606.0520349706817
2019-12,1647.5676020073736
2020-01,1594.8322938533827
2020-02,1536.79235521114
2020-03,1248.5595381980704
2020-04,1427.7304746622963
2020-05,1431.745118488934
2020-06,1540.3535250408659
2020-07,1588.092425096636
2020-08,1655.6691572289851
2020-09,1667.8103412439975
2020-10,1682.208464121976
2020-11,1838.9372111728142
2020-12,1913.6100184891848
2021-01,1943.5531442069775
2021-02,2087.40994590228
2021-03,2182.5614110894985
2021-04,2253.4595956714875
2021-05,2243.7111081861453
2021-06,2370.848164944858
2021-07,2342.0577416362844
2021-08,2376.384654194694
2021-09,2385.3085820278134
2021-10,2419.252008137141
2021-11,2432.959461110889
2021-12,2496.088907789569
2022-01,2372.7658273582506
2022-02,2325.227797731939
2022-03,2376.182347616672
2022-04,2391.9446876035586
2022-05,2310.467863054351
2022-06,2160.3055901461116
2022-07,2262.871206477286
2022-08,2338.161948028544
2022-09,2133.2378820002955
2022-10,2053.801362653981
2022-11,2214.790302723128
2022-12,2129.697053191399
2023-01,2230.452665013108
2023-02,2219.083380679927
2023-03,2189.6885031219736
2023-04,2156.563729657484
2023-05,2241.7521322723705
2023-06,2273.6525666108832
2023-07,2390.3185005116375
