Date,BRIC SMALL CAP
1998-12,100.51833740658093
1999-01,93.76092057793508
1999-02,95.89152479864029
1999-03,118.52251147083518
1999-04,113.1863876905091
1999-05,125.3627104132532
1999-06,142.556925069295
1999-07,141.81166475310013
1999-08,157.4332369138138
1999-09,158.24910069317156
1999-10,155.3199063696704
1999-11,179.29373957687017
1999-12,209.32325870174355
2000-01,231.40742322875184
2000-02,234.77628314061184
2000-03,233.48192075939207
2000-04,222.7879977659958
2000-05,212.25602691110447
2000-06,219.19042629216125
2000-07,239.34040134640756
2000-08,258.65877411904967
2000-09,239.911601871536
2000-10,235.53735903445258
2000-11,224.06088063855213
2000-12,215.1520679261514
2001-01,230.4546167451844
2001-02,231.90998425834997
2001-03,215.98193022951196
2001-04,220.8921249428193
2001-05,245.48703090386843
2001-06,236.0084774079312
2001-07,202.2255776490626
2001-08,187.27602948563108
2001-09,165.4564748338164
2001-10,182.65888461718075
2001-11,206.10296111749014
2001-12,217.55538417311857
2002-01,226.85761908597195
2002-02,239.31069622147274
2002-03,249.24942268902217
2002-04,249.71495264994888
2002-05,234.80600370625126
2002-06,206.36285730666046
2002-07,185.5652729874954
2002-08,190.4694757284593
2002-09,171.31246022144205
2002-10,177.06459605166728
2002-11,181.32411136512232
2002-12,176.86723090760756
2003-01,178.40423374222107
2003-02,181.9220613469521
2003-03,180.1705513831465
2003-04,188.9312388345615
2003-05,194.84438805010427
2003-06,208.9296986696643
2003-07,225.36920860150977
2003-08,252.84062560427193
2003-09,251.51198090474068
2003-10,278.4679964574166
2003-11,282.8126807676226
2003-12,304.1493083891586
2004-01,308.53129057757457
2004-02,316.9372422926486
2004-03,321.4100702881905
2004-04,303.29947820948786
2004-05,279.36782618441885
2004-06,284.2843884622923
2004-07,300.5608442492422
2004-08,314.65454553339066
2004-09,331.4824645076032
2004-10,322.9453505133606
2004-11,341.1462582923948
2004-12,358.17458586642067
2005-01,368.62926885981096
2005-02,387.9460372588145
2005-03,372.77253005856664
2005-04,368.9181054032449
2005-05,401.63368748923665
2005-06,412.34890036814016
2005-07,429.54587845475385
2005-08,452.25572782574204
2005-09,516.6364630026278
2005-10,476.4457240251383
2005-11,525.8588931427585
2005-12,552.9007309513994
2006-01,618.8496780258486
2006-02,662.4843253940752
2006-03,676.8009273173382
2006-04,682.7898877978625
2006-05,589.617127352831
2006-06,579.9487418703935
2006-07,578.4062925618254
2006-08,611.6039206724586
2006-09,649.4672532420482
2006-10,686.1161334887303
2006-11,715.0297584997049
2006-12,772.1424938462504
2007-01,811.1785849635104
2007-02,799.968339102159
2007-03,824.6461269512849
2007-04,880.7351981348501
2007-05,1000.0
2007-06,1033.425438870335
2007-07,1095.577665900871
2007-08,1061.5710312262863
2007-09,1140.9109876949462
2007-10,1228.8712474871568
2007-11,1147.3773931076132
2007-12,1221.2132046055426
2008-01,993.4842402483301
2008-02,1000.3466473182743
2008-03,826.9688144483231
2008-04,912.309350702136
2008-05,899.4040105726821
2008-06,764.1057793943966
2008-07,759.3473588804684
2008-08,735.8156953073337
2008-09,576.1742951986214
2008-10,419.9436393729293
2008-11,406.7753114518605
2008-12,430.01416953067553
2009-01,443.03191685331484
2009-02,426.32593870143523
2009-03,452.7014935054944
2009-04,566.225417850329
2009-05,732.4407052633544
2009-06,758.3766460485721
2009-07,863.3698397935965
2009-08,855.7383160308744
2009-09,909.658113806392
2009-10,934.1151183315026
2009-11,1002.1277934966786
2009-12,1105.3000332957722
2010-01,1098.8656753553082
2010-02,1143.7575692293615
2010-03,1240.6833179963892
2010-04,1290.1480509952548
2010-05,1244.7784131406593
2010-06,1269.6597411905977
2010-07,1270.2543135699243
2010-08,1317.0478990373138
2010-09,1372.8410461454669
2010-10,1420.2200599665864
2010-11,1483.911415680028
2010-12,1475.176876426751
2011-01,1348.9635262491684
2011-02,1291.6794812183452
2011-03,1319.5735477602625
2011-04,1304.698238183305
2011-05,1289.18974644672
2011-06,1235.628804139789
2011-07,1237.6423645126893
2011-08,1081.2151278043548
2011-09,969.557465196537
2011-10,1036.282281513157
2011-11,952.2574001786741
2011-12,930.0834265218542
2012-01,1040.8877848560694
2012-02,1142.559100592778
2012-03,1077.426501336793
2012-04,1064.7730081875595
2012-05,1016.9079276190182
2012-06,1000.365941471346
2012-07,1003.2848494525283
2012-08,1005.4310096946822
2012-09,1059.2452567189105
2012-10,1076.5174297257436
2012-11,1098.0429317516812
2012-12,1161.9442031282163
2013-01,1192.257871584469
2013-02,1209.1175081640283
2013-03,1192.6348150568858
2013-04,1186.8079437349566
2013-05,1203.899964495807
2013-06,1072.9746131103775
2013-07,1032.7851103775654
2013-08,1025.8096210634958
2013-09,1062.5783118243824
2013-10,1099.3835627470546
2013-11,1103.425677894297
2013-12,1108.7226180188125
2014-01,1098.0425928491309
2014-02,1092.2974755471491
2014-03,1111.0878192366217
2014-04,1084.4014102627664
2014-05,1168.1363449062674
2014-06,1206.6445330936265
2014-07,1243.8366272773633
2014-08,1298.8862096171383
2014-09,1299.867134601861
2014-10,1323.763164943326
2014-11,1325.1430137514592
2014-12,1292.773520573215
2015-01,1380.178771244767
2015-02,1402.4584969321188
2015-03,1495.4401730906666
2015-04,1675.078759012525
2015-05,1789.160563538736
2015-06,1609.4947998029807
2015-07,1464.2172664097272
2015-08,1256.993616847493
2015-09,1273.7091569338293
2015-10,1383.1732856893282
2015-11,1428.277099243484
2015-12,1408.5217952820262
2016-01,1224.8363040738232
2016-02,1180.869571393777
2016-03,1248.580354749411
2016-04,1279.3852272797353
2016-05,1287.1120842893658
2016-06,1326.0051562834672
2016-07,1363.3387632322208
2016-08,1446.4963562339392
2016-09,1454.9119557144656
2016-10,1514.353629306404
2016-11,1500.4768964127643
2016-12,1476.8760444807294
2017-01,1533.1914076218177
2017-02,1643.0790077499762
2017-03,1689.4233632342562
2017-04,1696.3203800146237
2017-05,1605.3106628564217
2017-06,1603.4221466342258
2017-07,1642.5998090895291
2017-08,1667.8495343752138
2017-09,1724.0380695944698
2017-10,1804.4158869181933
2017-11,1740.7448004917392
2017-12,1814.5647872716497
2018-01,1826.663882505049
2018-02,1778.0853190079513
2018-03,1730.575121539712
2018-04,1799.7528569501444
2018-05,1819.121883228757
2018-06,1687.0814084902104
2018-07,1713.49281736454
2018-08,1658.309801551621
2018-09,1516.2727696423985
2018-10,1513.6648203405075
2018-11,1580.568551934703
2018-12,1563.6957126760144
2019-01,1598.1842366923745
2019-02,1615.4966518936724
2019-03,1726.8254115242378
2019-04,1709.5270086898447
2019-05,1689.76811317762
2019-06,1686.6078655516587
2019-07,1685.0946490928768
2019-08,1600.0350473614478
2019-09,1647.7981369524368
2019-10,1674.3164612402536
2019-11,1691.3702964760585
2019-12,1777.490002376764
2020-01,1803.0282775746618
2020-02,1706.3474264818515
2020-03,1190.4520818852272
2020-04,1312.725350085341
2020-05,1282.9506078502523
2020-06,1425.4560966795552
2020-07,1500.0658578454486
2020-08,1541.3890630884866
2020-09,1537.6353631263898
2020-10,1533.6853922707314
2020-11,1713.581613568723
2020-12,1792.375955157131
2021-01,1856.3394878424492
2021-02,2008.287779721798
2021-03,2073.6406325834632
2021-04,2086.324709471668
2021-05,2190.9866636179727
2021-06,2320.575913692877
2021-07,2276.352087419506
2021-08,2322.9719463441324
2021-09,2349.9508741776085
2021-10,2277.2190329433406
2021-11,2274.3049506482726
2021-12,2319.552802373555
2022-01,2312.4381912972676
2022-02,2139.405909773109
2022-03,2217.3431686064023
2022-04,2252.10988031864
2022-05,2110.7361261545807
2022-06,2021.116562057491
2022-07,2137.8379051544384
2022-08,2250.8603946961352
2022-09,2167.966927371362
2022-10,2138.2750251473108
2022-11,2149.5061888991445
2022-12,2046.0495396912768
2023-01,2091.527469602705
2023-02,2018.7426529251074
2023-03,1935.3207593848292
2023-04,1969.414462828376
2023-05,2055.592979563456
2023-06,2146.3811975458398
2023-07,2262.042971333479
