Date,EFM ASIA SMALL CAP
2010-11,1000.0
2010-12,1018.9011182912832
2011-01,973.9728272517406
2011-02,912.4033840096982
2011-03,932.1576360779883
2011-04,926.2772563337949
2011-05,930.0025753856077
2011-06,903.3282123958047
2011-07,942.4128075779478
2011-08,831.4409635977488
2011-09,755.1135446039356
2011-10,791.2869900682151
2011-11,746.7440346863849
2011-12,765.9324473107187
2012-01,832.2305034071393
2012-02,888.369525663241
2012-03,856.5825430284843
2012-04,843.1194268505169
2012-05,834.5163792718819
2012-06,828.037870130922
2012-07,845.9436548471544
2012-08,844.4766285601888
2012-09,883.657698366546
2012-10,862.3632204914397
2012-11,881.8079357051997
2012-12,902.6973882170192
2013-01,903.6365163878758
2013-02,953.5644382032292
2013-03,976.0089332826384
2013-04,976.0153226225241
2013-05,1011.7462069095119
2013-06,917.6555929563067
2013-07,905.4934782727006
2013-08,885.314164934379
2013-09,911.6721675255676
2013-10,940.9592925253277
2013-11,930.4421828497495
2013-12,920.5884978041403
2014-01,932.8757578592349
2014-02,947.5603242783698
2014-03,965.1547214703016
2014-04,958.9672907711135
2014-05,1006.3648411931702
2014-06,1024.0133692541565
2014-07,1063.223619340645
2014-08,1103.1601589493268
2014-09,1116.7448518180042
2014-10,1100.5911140268295
2014-11,1087.4856573766072
2014-12,1105.5359332291528
2015-01,1213.6006279790945
2015-02,1247.4149975306864
2015-03,1323.4695428523444
2015-04,1389.881556428363
2015-05,1443.0601952508778
2015-06,1350.5773280372653
2015-07,1249.8010865962922
2015-08,1112.9404186605427
2015-09,1127.7825539328912
2015-10,1207.9895515805604
2015-11,1241.9182823276553
2015-12,1217.4786491352388
2016-01,1124.5990619952495
2016-02,1101.262777693299
2016-03,1141.212110578706
2016-04,1142.8695277678917
2016-05,1149.7137783355872
2016-06,1173.2562155704654
2016-07,1208.1122936746526
2016-08,1243.056952200191
2016-09,1245.8173995466802
2016-10,1242.2106081515421
2016-11,1237.0420694439204
2016-12,1233.1123886435935
2017-01,1256.0115255295075
2017-02,1346.817440509722
2017-03,1381.7943205968743
2017-04,1371.224381826223
2017-05,1342.6929708983705
2017-06,1335.1016413090124
2017-07,1330.0809707823441
2017-08,1337.4871798120198
2017-09,1348.3669164898258
2017-10,1436.3960513672523
2017-11,1440.867912872058
2017-12,1469.6409530723627
2018-01,1492.80311753812
2018-02,1451.9321152689295
2018-03,1425.8953395369542
2018-04,1456.8344037673496
2018-05,1507.9065169555704
2018-06,1406.2881408276294
2018-07,1407.407142613912
2018-08,1412.2819158187638
2018-09,1351.3922684082795
2018-10,1211.8918131050432
2018-11,1290.0424163326036
2018-12,1257.4052255750823
2019-01,1295.997599415389
2019-02,1333.7763936558183
2019-03,1382.2942030581896
2019-04,1379.4060791518157
2019-05,1309.568303145721
2019-06,1318.6973542954483
2019-07,1309.7783088595518
2019-08,1268.9141748642976
2019-09,1306.632054017498
2019-10,1325.215837683736
2019-11,1329.0850478097689
2019-12,1363.2423642398385
2020-01,1320.0390497419498
2020-02,1269.3808515842431
2020-03,1030.2987422711528
2020-04,1185.858397682378
2020-05,1192.6130673233258
2020-06,1285.4603175052466
2020-07,1338.5329852977325
2020-08,1399.0984179519594
2020-09,1407.1355417525147
2020-10,1423.0016357660265
2020-11,1555.8888850876413
2020-12,1632.037975772221
2021-01,1651.792142387711
2021-02,1775.4393393733274
2021-03,1854.7126317592324
2021-04,1919.4943613962355
2021-05,1918.003035160597
2021-06,2036.5460084125564
2021-07,2018.0821363697864
2021-08,2052.0220061157434
2021-09,2072.4158809887995
2021-10,2101.4591963113003
2021-11,2121.468070354656
2021-12,2183.2331147026503
2022-01,2066.3775627947225
2022-02,2022.0877711211876
2022-03,2066.609425903124
2022-04,2072.447070094819
2022-05,1994.694639061975
2022-06,1848.5928259624868
2022-07,1942.0272296313708
2022-08,2016.6250688971204
2022-09,1840.709307946517
2022-10,1780.334998981967
2022-11,1909.2752999153613
2022-12,1820.286900484573
2023-01,1901.073634025863
2023-02,1894.476169467073
2023-03,1871.8760643902374
2023-04,1845.37472268482
2023-05,1934.571916048935
2023-06,1963.6349849558806
2023-07,2071.9258213309213
