Date,FM ASIA INDEX SMALL CAP
2010-11,1000.0
2010-12,964.2996551066149
2011-01,861.0209739754496
2011-02,659.1901195063841
2011-03,688.710825738879
2011-04,625.5001957097911
2011-05,605.1750473304581
2011-06,629.109706949825
2011-07,652.6864560989735
2011-08,642.0287595346888
2011-09,651.6669230463443
2011-10,564.7180093993694
2011-11,581.8708467475208
2011-12,570.0273981648006
2012-01,475.08046679131513
2012-02,529.8152978022914
2012-03,553.8518242943954
2012-04,584.3837252613592
2012-05,580.4646963213407
2012-06,543.003482866906
2012-07,522.0430934348182
2012-08,525.1505984141938
2012-09,544.2356974918314
2012-10,519.8086192947225
2012-11,496.1941469127189
2012-12,512.6259977751687
2013-01,525.533189956753
2013-02,535.4223817682725
2013-03,523.7989684566832
2013-04,488.56157519805356
2013-05,569.8330762681777
2013-06,571.2917791122175
2013-07,539.7948616710619
2013-08,531.2782406940594
2013-09,503.40818396044625
2013-10,515.3047488700445
2013-11,550.9642119415745
2013-12,559.1633468622009
2014-01,631.9639648498455
2014-02,614.1039129889723
2014-03,614.7274281391382
2014-04,626.3655590275345
2014-05,630.0516471110635
2014-06,632.2530895655909
2014-07,660.5362512682146
2014-08,673.2719621463226
2014-09,758.1241824239089
2014-10,780.743247546806
2014-11,762.4405937809074
2014-12,796.7894919846343
2015-01,861.0238719115401
2015-02,868.8132816342647
2015-03,843.2096467590006
2015-04,801.5925763114935
2015-05,875.3417159594634
2015-06,873.2084229969614
2015-07,925.7118022710799
2015-08,878.983080024149
2015-09,870.8232341808598
2015-10,874.0691486617617
2015-11,894.8285707336165
2015-12,881.0201457952793
2016-01,859.2808748220888
2016-02,847.711066746573
2016-03,811.282529082266
2016-04,822.7656758075047
2016-05,876.3923489875833
2016-06,899.4605603951356
2016-07,919.1745701856356
2016-08,930.8189695502269
2016-09,938.7220162546822
2016-10,938.2694012819959
2016-11,1000.1816437140951
2016-12,1046.146786312192
2017-01,1100.4389125326443
2017-02,1130.303697925841
2017-03,1155.1798198301833
2017-04,1107.0466080279969
2017-05,1085.074465807563
2017-06,1121.3916065271658
2017-07,1096.2476538188673
2017-08,1089.751771414038
2017-09,1088.5844570268996
2017-10,1080.9549296620694
2017-11,1106.6984858907626
2017-12,1097.8725532700712
2018-01,1047.9817475644857
2018-02,1020.8656135880552
2018-03,999.9218436271015
2018-04,1002.771631249636
2018-05,966.9823422705538
2018-06,949.1255962943441
2018-07,928.1670483481499
2018-08,981.4026852166827
2018-09,958.318256313341
2018-10,931.9995617964579
2018-11,931.2793784363801
2018-12,922.8096102412665
2019-01,955.9013583459238
2019-02,964.3764922384781
2019-03,934.9913574056444
2019-04,904.1570451096547
2019-05,916.8993525005185
2019-06,900.9154223439518
2019-07,915.4540126615897
2019-08,909.592003133992
2019-09,897.2376932776676
2019-10,852.6506567995631
2019-11,868.857980391124
2019-12,814.1068721049005
2020-01,828.1399721384198
2020-02,817.3778240288412
2020-03,675.0256793756859
2020-04,735.0917401948136
2020-05,752.1119220572713
2020-06,742.6129223324621
2020-07,725.8600093698253
2020-08,835.912722075792
2020-09,876.4192927846435
2020-10,855.1547092045471
2020-11,886.7826296312533
2020-12,1002.9846587579714
2021-01,1051.9197859118547
2021-02,1083.2095365298833
2021-03,1149.2687960556998
2021-04,1148.7403995555978
2021-05,1240.0942842925745
2021-06,1352.2888915410044
2021-07,1332.1599336193046
2021-08,1503.6039479982721
2021-09,1603.434555065229
2021-10,1701.598336842636
2021-11,1872.3576337395693
2021-12,1875.5032297737637
2022-01,1790.6236923434262
2022-02,1869.0314130661063
2022-03,1873.9049360989497
2022-04,1805.0602325979733
2022-05,1639.874088181135
2022-06,1517.8089961037592
2022-07,1504.9765451030664
2022-08,1653.2244034392975
2022-09,1509.6713387065324
2022-10,1347.653855129948
2022-11,1301.169728282686
2022-12,1245.4156195850483
2023-01,1255.5145913464742
2023-02,1212.4010897354983
2023-03,1213.7908230248702
2023-04,1230.2266184717541
2023-05,1320.1237066645488
2023-06,1326.811741762378
2023-07,1444.7960367777057
