Date,FM (FRONTIER MARKETS) SMALL CAP
2010-11,1000.0
2010-12,978.8155800209798
2011-01,944.3578912381629
2011-02,828.8677456363266
2011-03,812.3752734057466
2011-04,793.4501612194805
2011-05,792.0017213863622
2011-06,782.2347241328463
2011-07,776.5570071051025
2011-08,732.8415775851096
2011-09,743.6242921816969
2011-10,704.2642845352976
2011-11,708.5845125349946
2011-12,714.4167722658034
2012-01,679.2485768246923
2012-02,727.0576781546271
2012-03,740.4751412136075
2012-04,768.6922494427913
2012-05,774.7438542558583
2012-06,728.9459181878432
2012-07,738.8859289502857
2012-08,736.3881199447345
2012-09,758.7894370993586
2012-10,748.4045291873753
2012-11,733.1639470958906
2012-12,750.5213322857373
2013-01,784.6068094064394
2013-02,804.2694144858044
2013-03,823.2650279669572
2013-04,807.3081525851247
2013-05,905.9051812912899
2013-06,886.3342690199613
2013-07,889.1755723014178
2013-08,865.9286305789694
2013-09,861.4195153141785
2013-10,890.3037664157663
2013-11,929.2852507803162
2013-12,951.5305688156232
2014-01,1011.2238678278528
2014-02,1003.426296551784
2014-03,1005.3232957376656
2014-04,1046.031225929601
2014-05,1075.791810687118
2014-06,1089.2276424732413
2014-07,1129.9228326376297
2014-08,1155.959752400455
2014-09,1232.5800613159786
2014-10,1203.9377795351384
2014-11,1167.369330509872
2014-12,1150.7161127884735
2015-01,1213.1227060037802
2015-02,1226.6682262240834
2015-03,1250.3637823144807
2015-04,1213.8411744729374
2015-05,1254.8793538131617
2015-06,1229.873869577515
2015-07,1246.2634744589427
2015-08,1174.619896853358
2015-09,1159.2574435362883
2015-10,1193.2092684832135
2015-11,1212.883844408868
2015-12,1177.8456072081785
2016-01,1139.451849584292
2016-02,1137.2222462174236
2016-03,1116.165587641166
2016-04,1134.1782771943238
2016-05,1194.1528540116117
2016-06,1199.743028120844
2016-07,1209.4643015260006
2016-08,1206.6950529381265
2016-09,1239.713180851683
2016-10,1271.4969941983404
2016-11,1338.3749792825054
2016-12,1397.00751896961
2017-01,1480.5339527014348
2017-02,1527.6547904462648
2017-03,1544.6118873535795
2017-04,1510.4041159369517
2017-05,1487.6126949300965
2017-06,1498.5041006724612
2017-07,1483.8428217077253
2017-08,1476.9818033807264
2017-09,1487.9592468554154
2017-10,1509.2430688214738
2017-11,1504.0835271351482
2017-12,1516.2684464436484
2018-01,1511.5246783120288
2018-02,1494.0197485361666
2018-03,1467.1744412524097
2018-04,1468.6788342243115
2018-05,1422.6252424211975
2018-06,1413.9693455028107
2018-07,1402.5263922944043
2018-08,1408.4162359418176
2018-09,1362.808063657749
2018-10,1338.3662615434364
2018-11,1336.5494052167262
2018-12,1320.7295435918159
2019-01,1352.3103900620952
2019-02,1347.0553115622852
2019-03,1327.313975658843
2019-04,1314.4076314066276
2019-05,1324.6372355116664
2019-06,1316.1927306484013
2019-07,1345.8899700884301
2019-08,1330.5923008300547
2019-09,1332.2327809720125
2019-10,1303.0837878954044
2019-11,1339.0965957259982
2019-12,1322.678992339912
2020-01,1347.704659094304
2020-02,1295.8251448474819
2020-03,1028.4234932023624
2020-04,1099.6971962285836
2020-05,1118.9567659947206
2020-06,1123.1620744352945
2020-07,1070.7249723690416
2020-08,1121.6888484342576
2020-09,1162.8230890407249
2020-10,1169.171378280138
2020-11,1205.5431129054878
2020-12,1273.6700096713278
2021-01,1322.3850384112052
2021-02,1328.9975040149106
2021-03,1392.4590097785763
2021-04,1409.7360239858424
2021-05,1479.496628374824
2021-06,1575.1744783230924
2021-07,1576.9175708991527
2021-08,1679.1118718067412
2021-09,1737.7724877529056
2021-10,1831.2193230503526
2021-11,1921.0691537401024
2021-12,1952.9235388049947
2022-01,1933.9990585968076
2022-02,1948.4054144019428
2022-03,1990.1628132667806
2022-04,2003.2429583590765
2022-05,1867.1006962654517
2022-06,1782.2759209310634
2022-07,1826.4570324924487
2022-08,1903.1635323127707
2022-09,1781.7262337274042
2022-10,1687.3719565219185
2022-11,1658.8131677423628
2022-12,1610.6181848977565
2023-01,1633.3654548532988
2023-02,1634.873358427261
2023-03,1627.196281056595
2023-04,1651.931019249469
2023-05,1722.8867582872685
2023-06,1720.929099477073
2023-07,1827.6158466638649
