Date,AC ASIA ex JAPAN+CHINA A ONSH SMALL CAP
2013-09,3191.6943885466003
2013-10,3193.442107411581
2013-11,3262.868640642537
2013-12,3190.383650430173
2014-01,3245.5582229915512
2014-02,3280.951243381325
2014-03,3250.3206945071524
2014-04,3199.7468166201647
2014-05,3340.179559569356
2014-06,3429.5705810271766
2014-07,3675.015965940529
2014-08,3872.6723885798256
2014-09,4214.031642807655
2014-10,4257.933722240553
2014-11,4336.29655319148
2014-12,4309.2193879402985
2015-01,4807.004114477635
2015-02,5031.6393870475085
2015-03,5889.721266969741
2015-04,6417.841463613812
2015-05,7510.057584069146
2015-06,6810.941525844115
2015-07,5868.260730900749
2015-08,5053.652942327451
2015-09,4929.086642559623
2015-10,5659.334242761563
2015-11,6143.978603723088
2015-12,6177.257169055092
2016-01,4981.9748966249645
2016-02,4914.173725450159
2016-03,5308.763455430125
2016-04,5289.8436847586945
2016-05,5255.629407541886
2016-06,5421.8813681525935
2016-07,5461.722663918972
2016-08,5676.62599507302
2016-09,5667.276220740809
2016-10,5805.711263422946
2017-04,5773.387583
2017-05,5452.708064
2017-06,5493.078447
2017-07,5427.382267
2017-08,5530.242515
2017-09,5589.553743
2017-10,5773.412582
2017-11,5512.015462
2017-12,5519.52959
2018-01,5467.873331
2018-02,5277.898476
2018-03,5254.731791
2018-04,5201.504849405393
2018-05,5314.984816611731
