Date,ACWI + FRONTIER MKTS (ACWI FM) SMALL CAP
2010-11,1000.0
2010-12,1056.8946453850904
2011-01,1038.3264089096651
2011-02,1061.9180372441454
2011-03,1049.9247508979254
2011-04,1043.2847253613859
2011-05,1053.7112471307942
2011-06,1022.5918837860094
2011-07,1013.0493475842289
2011-08,924.6403884514621
2011-09,876.2121786381599
2011-10,939.9624273744362
2011-11,944.567454851804
2011-12,971.0722859236128
2012-01,1038.3959997079073
2012-02,1067.6162384026363
2012-03,1078.1493323085153
2012-04,1076.2484788645984
2012-05,1050.0252448860754
2012-06,1059.3083564523674
2012-07,1090.151996076592
2012-08,1099.2055887132324
2012-09,1118.4191501239834
2012-10,1103.0613830131424
2012-11,1110.9900745282596
2012-12,1133.4986751199147
2013-01,1161.4367486783217
2013-02,1216.3027299418218
2013-03,1276.9480114467965
2013-04,1260.4840601600356
2013-05,1294.4704684973763
2013-06,1253.891962762864
2013-07,1298.8355459264742
2013-08,1281.1920534437743
2013-09,1333.8204284097217
2013-10,1369.913501415771
2013-11,1388.5490993222552
2013-12,1401.1611493338276
2014-01,1404.7773133546916
2014-02,1442.3747159466707
2014-03,1443.1587568301643
2014-04,1414.4128220973146
2014-05,1456.6513147983255
2014-06,1505.9098209066299
2014-07,1486.9644455225732
2014-08,1556.107040920996
2014-09,1535.0396756390317
2014-10,1568.1622569833407
2014-11,1579.911909308469
2014-12,1631.2784318002737
2015-01,1723.6206371005067
2015-02,1833.810123240163
2015-03,1919.0229565636523
2015-04,1872.1573001300314
2015-05,1939.8501566342593
2015-06,1884.372808165777
2015-07,1877.3705198528994
2015-08,1745.4484321230773
2015-09,1685.6036455374265
2015-10,1801.2586941996726
2015-11,1898.228402033832
2015-12,1804.9934641195694
2016-01,1671.9188763165255
2016-02,1675.0424094558812
2016-03,1734.6808031017547
2016-04,1765.4792896083302
2016-05,1830.321602040352
2016-06,1808.977265782833
2016-07,1893.854924309601
2016-08,1908.3242458761972
2016-09,1920.2438645132431
2016-10,1901.5459654181336
2016-11,2028.24995336281
2016-12,2084.25693683363
2017-01,2086.9509423595496
2017-02,2174.772473270375
2017-03,2182.3157745829562
2017-04,2184.8628264751787
2017-05,2130.6315061656346
2017-06,2132.6264157542682
2017-07,2113.34036314397
2017-08,2099.79198629463
2017-09,2186.2252673164226
2017-10,2255.9223072097698
2017-11,2251.7831986541237
2017-12,2275.955394930749
2018-01,2277.403813219019
2018-02,2233.3713903033617
2018-03,2213.7559130228697
2018-04,2272.00282588087
2018-05,2401.7923811462565
2018-06,2379.1373897115477
2018-07,2403.334304889584
2018-08,2460.4072026511585
2018-09,2425.930875449466
2018-10,2239.9605099450446
2018-11,2266.1831982677813
2018-12,2055.0907046930092
2019-01,2247.529712608993
2019-02,2344.3714245431015
2019-03,2367.3916146713987
2019-04,2439.6062212964143
2019-05,2299.229230762747
2019-06,2377.0390022877705
2019-07,2440.708718358228
2019-08,2380.452901651968
2019-09,2454.7517977124708
2019-10,2467.8564065045416
2019-11,2568.7911697067857
2019-12,2618.1849182499805
2020-01,2575.781993538019
2020-02,2366.51931375279
2020-03,1872.573534172545
2020-04,2129.011618361839
2020-05,2235.1480952584566
2020-06,2285.573419946946
2020-07,2268.158087304105
2020-08,2367.4240508455937
2020-09,2364.871302754486
2020-10,2379.306426071383
2020-11,2670.124333956734
2020-12,2804.952108333451
2021-01,2877.4162525504285
2021-02,3027.1871050883
2021-03,3191.8492186150147
2021-04,3245.581278265138
2021-05,3230.527245803145
2021-06,3347.344257926369
2021-07,3323.053205413332
2021-08,3415.816197942791
2021-09,3377.518547190294
2021-10,3491.966945197648
2021-11,3425.719119628576
2021-12,3519.559240722044
2022-01,3314.9216594237982
2022-02,3305.7346412934016
2022-03,3376.8269726602543
2022-04,3297.325342208793
2022-05,3235.7499944948117
2022-06,2984.526440641816
2022-07,3314.835704444026
2022-08,3276.4597344283716
2022-09,3020.7740726642587
2022-10,3203.3283452845453
2022-11,3276.654496052749
2022-12,3064.155812406968
2023-01,3277.2455056448057
2023-02,3285.3601545132606
2023-03,3141.2122125118626
2023-04,3092.865764279994
2023-05,3132.414176539355
2023-06,3246.931503195403
2023-07,3378.9054720672257
