Date,FM ex GCC SMALL CAP
2010-11,1000.0
2010-12,974.5168895429589
2011-01,932.0972999936188
2011-02,807.7078583021424
2011-03,794.6769918419758
2011-04,759.4403270420122
2011-05,758.1684725049636
2011-06,756.1220332008993
2011-07,751.8050138363847
2011-08,709.6243855934082
2011-09,695.5052985791331
2011-10,638.4545645657142
2011-11,642.1578138602526
2011-12,643.1920837445564
2012-01,588.812351669175
2012-02,625.9545940977313
2012-03,640.5031455985613
2012-04,666.5532867642494
2012-05,664.1008275892433
2012-06,626.9829293368042
2012-07,629.4623338424135
2012-08,628.0911615680955
2012-09,652.4801900069212
2012-10,643.4493722418724
2012-11,630.4281900620891
2012-12,649.8224427488005
2013-01,690.1765888857941
2013-02,700.9445951538464
2013-03,713.6668421718174
2013-04,672.6652822783993
2013-05,752.0554021348223
2013-06,737.9122203493334
2013-07,722.4423445783252
2013-08,704.4954201359454
2013-09,695.1130032685837
2013-10,721.2288449598587
2013-11,768.8885592989733
2013-12,786.091962033882
2014-01,825.2399058541012
2014-02,808.2044115074541
2014-03,795.8918260127571
2014-04,812.3981269494722
2014-05,840.9604109937089
2014-06,867.6016027653715
2014-07,897.0102127636876
2014-08,910.2608356058768
2014-09,974.4380161536294
2014-10,959.3647392252592
2014-11,929.5769987275575
2014-12,920.2482555665446
2015-01,963.415375500015
2015-02,975.5223322711023
2015-03,1000.1622378440974
2015-04,970.6074868648734
2015-05,1011.4774052500748
2015-06,993.6043332014773
2015-07,1004.9714892237117
2015-08,957.5302228108791
2015-09,940.168914218702
2015-10,966.2554523274721
2015-11,972.5017259528411
2015-12,950.1401447844247
2016-01,928.34806436881
2016-02,916.7779161429188
2016-03,892.2719019031622
2016-04,899.4302255033946
2016-05,960.9300111537794
2016-06,966.7043628454012
2016-07,978.1907692403917
2016-08,975.5500901717129
2016-09,1009.3285796667165
2016-10,1032.4392623015274
2016-11,1078.0775239839015
2016-12,1116.1163888105675
2017-01,1171.1830501554136
2017-02,1210.7733413507335
2017-03,1239.4611168827296
2017-04,1215.8512731161948
2017-05,1207.8430645988117
2017-06,1228.7512322276311
2017-07,1213.8458719696273
2017-08,1214.6929821846832
2017-09,1226.0250657768736
2017-10,1250.39918163547
2017-11,1259.6881139520444
2017-12,1266.2655037409877
2018-01,1269.1168670681218
2018-02,1248.2095643047242
2018-03,1225.904666548172
2018-04,1224.2053946714602
2018-05,1171.5738955673585
2018-06,1158.7787720683423
2018-07,1146.2544703966607
2018-08,1154.0130573017145
2018-09,1113.69775255978
2018-10,1092.1098568302282
2018-11,1086.0038318040652
2018-12,1074.2377683828902
2019-01,1111.0826782098463
2019-02,1107.6812217776874
2019-03,1069.9576854627821
2019-04,1044.4547450750779
2019-05,1049.0129708908537
2019-06,1050.0827628638635
2019-07,1065.4072967121926
2019-08,1056.1633236032344
2019-09,1060.046277651731
2019-10,1033.8094056109774
2019-11,1059.7861997029406
2019-12,1048.3794640852661
2020-01,1067.4428091891884
2020-02,1017.4606527326232
2020-03,824.7803870145856
2020-04,879.0270678966612
2020-05,907.5957991069799
2020-06,902.2649617624219
2020-07,869.1696756984746
2020-08,930.7148137296366
2020-09,960.6421024962515
2020-10,960.307592540731
2020-11,1002.3667674209184
2020-12,1071.9848377450824
2021-01,1119.942788920445
2021-02,1128.5843372042236
2021-03,1180.7052342573347
2021-04,1197.9157915574597
2021-05,1263.895773003039
2021-06,1341.7795513605158
2021-07,1344.535629685308
2021-08,1439.084743333906
2021-09,1492.5808440012697
2021-10,1571.6495937616783
2021-11,1646.135109284267
2021-12,1666.0847979379146
2022-01,1647.7957168843323
2022-02,1664.5786298134149
2022-03,1694.5199371258236
2022-04,1696.1489211193614
2022-05,1578.7214189292388
2022-06,1501.586058981721
2022-07,1524.6051697734038
2022-08,1589.034421539807
2022-09,1478.1490798480802
2022-10,1397.2221203264114
2022-11,1369.0003773678009
2022-12,1328.3947882135683
2023-01,1350.9674996773535
2023-02,1349.4652959406424
2023-03,1342.6928875547235
2023-04,1359.4464245772183
2023-05,1412.4519182503377
2023-06,1408.7361462959068
2023-07,1496.0935136200799
