Date,ACWI ex CANADA SMALL CAP
1998-12,686.0531715900521
1999-01,713.3403138468359
1999-02,707.6222479984096
1999-03,746.4224232445476
1999-04,819.8508693767316
1999-05,828.0068939335789
1999-06,891.9415993986198
1999-07,870.0778504447164
1999-08,884.0334331297562
1999-09,881.9592062741413
1999-10,898.8774428326424
1999-11,977.4438208226004
1999-12,1043.6206037598402
2000-01,1066.8320264512467
2000-02,1169.0173171127817
2000-03,1172.7161069514912
2000-04,1127.3868398959366
2000-05,1074.305866449745
2000-06,1115.9340312440847
2000-07,1105.297587072978
2000-08,1206.7664292811014
2000-09,1162.7748515858257
2000-10,1133.6892634977833
2000-11,1030.711085363172
2000-12,997.2467761735192
2001-01,1052.2438986514085
2001-02,1004.4016365030784
2001-03,972.2396926731367
2001-04,1035.4312364719474
2001-05,1104.093783891871
2001-06,1097.4281659425567
2001-07,1019.388413350214
2001-08,969.1030876947825
2001-09,842.4485927955403
2001-10,896.0310150146025
2001-11,952.6162889294037
2001-12,985.544549777322
2002-01,1009.3156115890896
2002-02,999.2467108781644
2002-03,1058.769627592924
2002-04,1042.0253892888077
2002-05,1004.9985185525685
2002-06,897.4178623315916
2002-07,814.9927435738873
2002-08,813.4629962868764
2002-09,739.9549469212269
2002-10,756.9656973705769
2002-11,802.3497356188815
2002-12,737.3926297709628
2003-01,706.9052403826635
2003-02,690.6693811840473
2003-03,684.2531141241126
2003-04,731.0080854327821
2003-05,758.6727174247412
2003-06,799.1733915415617
2003-07,849.2467877804121
2003-08,912.5473469390786
2003-09,873.1724182778556
2003-10,942.1566041213204
2003-11,934.740555114408
2003-12,925.6210007968111
2004-01,975.8683106049796
2004-02,1000.0
2004-03,1032.8204215927074
2004-04,1016.9148612549552
2004-05,1002.6723249448203
2004-06,1045.3240759998514
2004-07,1006.1590586665674
2004-08,1000.4612697298563
2004-09,1013.9094618187823
2004-10,1014.6850075195007
2004-11,1045.9335372333078
2004-12,1069.2787752714594
2005-01,1105.2736726575333
2005-02,1123.2812136735604
2005-03,1120.4806340379023
2005-04,1089.5081858413564
2005-05,1176.612219011556
2005-06,1235.249317971222
2005-07,1291.680721524839
2005-08,1281.03167578372
2005-09,1336.7129813502227
2005-10,1301.4007551298666
2005-11,1380.1659987353842
2005-12,1425.7553048789457
2006-01,1485.7388146146359
2006-02,1510.1834616665199
2006-03,1547.8765595436298
2006-04,1527.6735943940475
2006-05,1422.2328758062852
2006-06,1412.240391270117
2006-07,1386.9996066285578
2006-08,1418.662488301651
2006-09,1449.4370543281307
2006-10,1503.077849953554
2006-11,1510.0358482508566
2006-12,1547.9708476804274
2007-01,1603.4950235822769
2007-02,1593.4239711769658
2007-03,1622.5303872583897
2007-04,1641.0644492577946
2007-05,1721.2739162231535
2007-06,1703.2007418425587
2007-07,1642.4380611624522
2007-08,1621.7797104757055
2007-09,1599.065004759718
2007-10,1637.722014177228
2007-11,1504.8646981626623
2007-12,1486.9368319216976
2008-01,1346.2171576621956
2008-02,1324.7476013645248
2008-03,1253.586464515268
2008-04,1331.4211403022732
2008-05,1373.740758676312
2008-06,1237.097700782532
2008-07,1230.991979678831
2008-08,1295.1169796168588
2008-09,1172.1952314954451
2008-10,1000.7230284186968
2008-11,917.7939119716375
2008-12,894.3152392075808
2009-01,894.6774962469705
2009-02,814.0654926529486
2009-03,848.993139775272
2009-04,997.4748289127829
2009-05,1027.27911898445
2009-06,1049.7891625163427
2009-07,1133.7463987718988
2009-08,1182.3410682398212
2009-09,1229.811982153634
2009-10,1175.202226254192
2009-11,1183.1606139934916
2009-12,1297.5862623649755
2010-01,1306.0794011141707
2010-02,1355.2720390323175
2010-03,1474.3787879432266
2010-04,1555.809353961717
2010-05,1522.2031741476617
2010-06,1466.1271507085883
2010-07,1484.5242167357642
2010-08,1458.854288326785
2010-09,1516.435915203411
2010-10,1547.58139588179
2010-11,1651.7386996126666
2010-12,1746.4770041422091
2011-01,1717.5172319790177
2011-02,1755.028178720376
2011-03,1736.843006281247
2011-04,1726.8056551067828
2011-05,1746.1446470919018
2011-06,1697.3412174526607
2011-07,1677.0761947052185
2011-08,1527.7215267514625
2011-09,1453.4862099978866
2011-10,1558.4072658764753
2011-11,1565.619369786744
2011-12,1610.8368390596634
2012-01,1723.4495501521462
2012-02,1772.8966080941557
2012-03,1795.9971896100396
2012-04,1792.3609930121872
2012-05,1751.0540662103701
2012-06,1770.7473307468522
2012-07,1819.1111592608586
2012-08,1833.4134865906374
2012-09,1864.0424032910591
2012-10,1839.5688279023502
2012-11,1856.4318432006698
2012-12,1895.6764615099364
2013-01,1945.4735620597019
2013-02,2043.5690438731745
2013-03,2146.479674593615
2013-04,2122.3992180525097
2013-05,2181.6228027598368
2013-06,2116.181141757701
2013-07,2190.8725647572296
2013-08,2160.374440776489
2013-09,2252.498140467872
2013-10,2314.1705301086995
2013-11,2348.9608699404653
2013-12,2369.608959728701
2014-01,2376.1273170144545
2014-02,2438.634432917458
2014-03,2438.7934403103964
2014-04,2383.813542885819
2014-05,2456.3205563723795
2014-06,2534.409297029814
2014-07,2502.7914771398746
2014-08,2618.9806335759786
2014-09,2588.864334024064
2014-10,2654.772146427019
2014-11,2678.7439537486716
2014-12,2769.6953194534653
2015-01,2936.0319532177605
2015-02,3124.716248047486
2015-03,3275.6451319333837
2015-04,3186.8513290117567
2015-05,3307.9661920457224
2015-06,3215.660395924594
2015-07,3213.291831364559
2015-08,2986.592945577823
2015-09,2885.931673463584
2015-10,3084.930374911549
2015-11,3255.4138279596823
2015-12,3099.7519373823957
2016-01,2867.5269211506775
2016-02,2866.264672949314
2016-03,2966.482122251099
2016-04,3009.131939099001
2016-05,3124.446714762379
2016-06,3081.3464463819814
2016-07,3227.9607885640285
2016-08,3257.038313399566
2016-09,3277.254266390237
2016-10,3245.7232496377364
2016-11,3465.2279391622637
2016-12,3560.8850209480574
2017-01,3562.1676705225113
2017-02,3717.057025020067
2017-03,3729.548480741277
2017-04,3741.7502884729242
2017-05,3650.5409197579484
2017-06,3650.664403224621
2017-07,3617.621571925722
2017-08,3593.2306248486116
2017-09,3744.215647074899
2017-10,3868.1890054859914
2017-11,3864.462273974642
2017-12,3901.063008598733
2018-01,3908.7985245645573
2018-02,3838.0770835877397
2018-03,3805.293149525718
2018-04,3902.4925762817525
2018-05,4127.279935505832
2018-06,4085.994579633796
2018-07,4130.074946746622
2018-08,4230.319710748844
2018-09,4170.117896234596
2018-10,3847.3546798864886
2018-11,3899.167879357822
2018-12,3531.306313474368
2019-01,3859.1535065340227
2019-02,4026.9978941058453
2019-03,4069.375716558148
2019-04,4198.496400456231
2019-05,3953.7311714645366
2019-06,4085.2799530848133
2019-07,4191.993421945427
2019-08,4084.0863611207683
2019-09,4215.100596316678
2019-10,4242.798145352731
2019-11,4416.388585362148
2019-12,4496.287040314497
2020-01,4422.710705530754
2020-02,4063.001286049463
2020-03,3226.554626040489
2020-04,3654.8997484719994
2020-05,3838.6924639447416
2020-06,3921.523848348308
2020-07,3886.6756922392015
2020-08,4056.641288257576
2020-09,4056.584034591937
2020-10,4081.8448775637944
2020-11,4583.7573708842265
2020-12,4816.8365292444305
2021-01,4942.299458244898
2021-02,5199.278653932075
2021-03,5482.019337923369
2021-04,5572.168506055183
2021-05,5538.863244954833
2021-06,5740.757482142317
2021-07,5698.371346993625
