Date,ACFM ASIA SMALL CAP
2010-11,1000.0
2010-12,1039.2750319462016
2011-01,1010.9945481579962
2011-02,990.201363229207
2011-03,960.0593455346926
2011-04,939.7240057595033
2011-05,950.3975909075398
2011-06,945.3514554923064
2011-07,986.7339766907268
2011-08,906.1598227884216
2011-09,889.7824492105896
2011-10,880.1276278909548
2011-11,859.2661006467212
2011-12,892.0870308917503
2012-01,945.1675359548847
2012-02,973.5847562906754
2012-03,971.171417684199
2012-04,962.1798551842478
2012-05,947.4914750029828
2012-06,950.3999761771126
2012-07,972.0234558752109
2012-08,958.5697249791322
2012-09,984.9042803436433
2012-10,962.0395851558535
2012-11,975.8862350393653
2012-12,994.8025018167672
2013-01,1001.3216442078815
2013-02,1064.6194184318679
2013-03,1127.815842590836
2013-04,1146.865978857279
2013-05,1130.9584940222585
2013-06,1073.9169121167085
2013-07,1064.130960236898
2013-08,1051.2536473756904
2013-09,1112.8495912113437
2013-10,1121.0060765088679
2013-11,1111.2495635930366
2013-12,1103.7245108735576
2014-01,1116.9771073614063
2014-02,1099.5127591152464
2014-03,1110.5954517071505
2014-04,1095.992718041114
2014-05,1148.2522935722511
2014-06,1193.9071038502916
2014-07,1234.3907023259478
2014-08,1260.5397637611222
2014-09,1270.3688397913475
2014-10,1252.450810508906
2014-11,1242.4628206706855
2014-12,1274.6779451142334
2015-01,1404.5494334349046
2015-02,1451.0735081083105
2015-03,1540.2755734077884
2015-04,1562.0275703185016
2015-05,1617.150120322983
2015-06,1558.9586347793406
2015-07,1502.1846167391802
2015-08,1382.305980670039
2015-09,1366.2609724074248
2015-10,1468.757087198502
2015-11,1532.2200089044497
2015-12,1500.0113524010987
2016-01,1394.389703381414
2016-02,1374.6303296501835
2016-03,1408.5428091128374
2016-04,1437.6647213568015
2016-05,1463.403520988802
2016-06,1472.1977336143025
2016-07,1527.8231719041717
2016-08,1523.7462619304126
2016-09,1560.9361735921934
2016-10,1590.8247008063217
2016-11,1578.4899403790325
2016-12,1592.7768584742826
2017-01,1617.1322876004963
2017-02,1711.865740075764
2017-03,1723.9348748929792
2017-04,1716.4970262945867
2017-05,1703.5041208269818
2017-06,1693.836925975431
2017-07,1682.8513488386295
2017-08,1695.317584277834
2017-09,1723.7047400550605
2017-10,1819.619627926426
2017-11,1831.7341728126837
2017-12,1854.8039242175685
2018-01,1874.7199911193393
2018-02,1859.9924344722363
2018-03,1826.8794493484882
2018-04,1862.5714590436367
2018-05,1923.2187233494253
2018-06,1831.9436818633355
2018-07,1822.2142227482816
2018-08,1820.0203332921117
2018-09,1805.6478339207908
2018-10,1655.9883844551514
2018-11,1725.231302250162
2018-12,1614.420449272491
2019-01,1685.514295781171
2019-02,1725.9483742169007
2019-03,1771.4736666408892
2019-04,1781.0271293390122
2019-05,1705.3628494561822
2019-06,1715.5924064601325
2019-07,1744.4706894941153
2019-08,1719.5035607476902
2019-09,1788.9925868004289
2019-10,1830.0207111187092
2019-11,1854.6119012523943
2019-12,1874.1470544650724
2020-01,1826.0447753710603
2020-02,1683.8967379899682
2020-03,1483.7025094946869
2020-04,1627.4918931546301
2020-05,1684.1073818272423
2020-06,1719.4184619652644
2020-07,1674.0108436886744
2020-08,1767.5700311464145
2020-09,1833.3145480269864
2020-10,1822.1518925795021
2020-11,1935.424897522019
2020-12,1994.659661047891
2021-01,2010.3624309013892
2021-02,2091.426480470896
2021-03,2213.738780577121
2021-04,2213.3070443689853
2021-05,2186.347569236948
2021-06,2295.0571605245705
2021-07,2275.32468610984
2021-08,2329.5104924688344
2021-09,2368.7666251049886
2021-10,2348.180159220277
2021-11,2320.8227794045583
2021-12,2361.110512458962
2022-01,2255.177594820797
2022-02,2246.404193914406
2022-03,2247.9896048917603
2022-04,2230.194374983125
2022-05,2178.8317670704682
2022-06,2076.0030585937457
2022-07,2202.108596144506
2022-08,2236.6800834344685
2022-09,2081.3545520070243
2022-10,2029.277660884807
2022-11,2155.7254334638797
2022-12,2102.924708881362
2023-01,2176.1414625565494
2023-02,2163.021215592253
2023-03,2156.9317084579616
2023-04,2131.130197494865
2023-05,2194.386216749322
2023-06,2210.5306904270974
2023-07,2303.0041217617377
