Date,EFM EMEA SMALL CAP
2010-11,1000.0
2010-12,1044.3089760777916
2011-01,972.1331516572798
2011-02,961.0864934614186
2011-03,961.2726565428301
2011-04,975.2631219497379
2011-05,952.5013289816441
2011-06,935.7800120561998
2011-07,929.2705575125102
2011-08,839.0283470823794
2011-09,787.3222586821972
2011-10,802.9612062202395
2011-11,793.3609614163477
2011-12,807.7239922219708
2012-01,870.635013851027
2012-02,922.7466697534205
2012-03,920.9796670878752
2012-04,939.126235670383
2012-05,891.6860678564021
2012-06,916.918757538222
2012-07,962.2653488090801
2012-08,949.277851629068
2012-09,971.4960900111106
2012-10,947.7263729144889
2012-11,942.7762545250642
2012-12,994.576899128276
2013-01,975.3748412780363
2013-02,1006.8528870725935
2013-03,1031.9088825373926
2013-04,1024.5330680711145
2013-05,1013.7407935804738
2013-06,979.2395097244141
2013-07,990.3005781076372
2013-08,950.7780484513462
2013-09,990.2058005065251
2013-10,1044.7987304711057
2013-11,1036.883894227762
2013-12,1007.099604141641
2014-01,982.6580548250367
2014-02,1013.1276117722884
2014-03,1031.9676781925468
2014-04,1062.4440136708201
2014-05,1094.294690561762
2014-06,1088.4376863213506
2014-07,1121.9683476963708
2014-08,1158.5663431336186
2014-09,1152.5855234310477
2014-10,1150.277057531558
2014-11,1155.064829218734
2014-12,1110.7381960724774
2015-01,1210.8024198908915
2015-02,1239.532829970778
2015-03,1217.661973999925
2015-04,1229.672129322059
2015-05,1221.2382179906037
2015-06,1170.576365254732
2015-07,1152.4488073067628
2015-08,1055.3822316907012
2015-09,1021.5551826874632
2015-10,1066.7508605763273
2015-11,1034.9618556784098
2015-12,975.1360073591451
2016-01,919.7824575641284
2016-02,970.0257665038538
2016-03,1042.8322795351294
2016-04,1088.7465388051148
2016-05,1036.6417500172802
2016-06,1063.8242506546353
2016-07,1122.2337771523382
2016-08,1111.0343548082926
2016-09,1150.271758946032
2016-10,1186.4727714362716
2016-11,1179.397528180715
2016-12,1247.2131889817676
2017-01,1279.3397838141673
2017-02,1332.8240689638221
2017-03,1308.8879282568369
2017-04,1296.215529932955
2017-05,1263.3969192478796
2017-06,1254.7376381437025
2017-07,1253.5189613437703
2017-08,1267.5378683628912
2017-09,1236.4188597402458
2017-10,1244.618602094298
2017-11,1212.240640495672
2017-12,1305.143873537352
2018-01,1330.6045045818723
2018-02,1345.5224854532019
2018-03,1303.9894142222736
2018-04,1290.9667103902775
2018-05,1243.337039358989
2018-06,1176.300314816581
2018-07,1197.5803686464626
2018-08,1115.1573421511648
2018-09,1115.0090753523257
2018-10,1079.1631574346152
2018-11,1113.1282695465575
2018-12,1073.3715458369431
2019-01,1148.9748051384397
2019-02,1155.4048935770504
2019-03,1133.2286483698372
2019-04,1159.370970888382
2019-05,1132.7210406790964
2019-06,1167.7404445146556
2019-07,1207.1154198236077
2019-08,1170.6853366752232
2019-09,1195.7231323970288
2019-10,1199.0676136474356
2019-11,1238.7562445374683
2019-12,1279.6508794781582
2020-01,1267.594280614259
2020-02,1129.6097051183958
2020-03,863.250334438317
2020-04,960.3338891130799
2020-05,959.5259178865074
2020-06,1023.1722841683875
2020-07,1015.2052121526806
2020-08,1024.4165460302238
2020-09,1058.3436345033776
2020-10,1020.882759169078
2020-11,1149.9988248690697
2020-12,1221.9363355617659
2021-01,1268.279069308792
2021-02,1301.5194071830958
2021-03,1373.2024989760284
2021-04,1421.5347507600159
2021-05,1469.0817816970177
2021-06,1495.2644667364116
2021-07,1500.9493487680465
2021-08,1568.508933666781
2021-09,1548.30878460393
2021-10,1585.0754467250088
2021-11,1525.3193262127668
2021-12,1565.1506133080832
2022-01,1622.776104268883
2022-02,1537.4874242198268
2022-03,1597.7668670302664
2022-04,1663.1453450340005
2022-05,1591.3477109551573
2022-06,1499.934758966252
2022-07,1584.7895106381818
2022-08,1628.2559054261285
2022-09,1561.508072359851
2022-10,1609.4095858041132
2022-11,1642.9262654996555
2022-12,1598.49608482385
2023-01,1589.2566431913995
2023-02,1616.2512051370898
2023-03,1557.8605720005635
2023-04,1580.1470635365845
2023-05,1600.0556617914174
2023-06,1635.4957392701228
2023-07,1744.3851272176998
