Date,FM EMEA SMALL CAP
2010-11,1000.0
2010-12,985.0749875692449
2011-01,980.4218022910063
2011-02,900.2319252786713
2011-03,863.0809428475612
2011-04,864.8454927972849
2011-05,870.6754966748586
2011-06,843.1977311789583
2011-07,821.7408231188169
2011-08,760.7005192848783
2011-09,775.9402985551425
2011-10,763.7580239869876
2011-11,760.527067605295
2011-12,776.040597249345
2012-01,776.7041620333056
2012-02,819.779609750725
2012-03,827.4707220119828
2012-04,858.6137819457192
2012-05,873.6237228108669
2012-06,822.4221181619874
2012-07,850.3282566545433
2012-08,844.6258977635082
2012-09,865.7068243013757
2012-10,868.448966376379
2012-11,856.0153944569383
2012-12,869.6652961749323
2013-01,917.2658456039435
2013-02,949.1122295803771
2013-03,985.7987616611283
2013-04,984.6371705415244
2013-05,1094.8877620591109
2013-06,1063.42447844988
2013-07,1091.444371236522
2013-08,1050.1105358394486
2013-09,1050.107891381816
2013-10,1087.5709145032708
2013-11,1111.5745610329777
2013-12,1146.7667718333778
2014-01,1201.327275797111
2014-02,1197.6484024910264
2014-03,1199.249273415896
2014-04,1249.3177383700847
2014-05,1289.3536801252478
2014-06,1303.9326279123309
2014-07,1346.6270738722637
2014-08,1395.1663218808749
2014-09,1450.87904081657
2014-10,1377.6055999088396
2014-11,1321.4803098072366
2014-12,1270.5445648593834
2015-01,1316.4416580450716
2015-02,1310.7725936902036
2015-03,1335.918590848763
2015-04,1327.4906810683117
2015-05,1339.6776467881682
2015-06,1303.9760481087574
2015-07,1289.1016450542782
2015-08,1204.8506557441074
2015-09,1190.2337333003077
2015-10,1188.337915252471
2015-11,1216.5763336016844
2015-12,1176.2459469758805
2016-01,1125.0469394751458
2016-02,1127.1828249560547
2016-03,1133.4822077502786
2016-04,1162.008561961265
2016-05,1200.544179836615
2016-06,1155.4304803770085
2016-07,1141.858999973917
2016-08,1140.9185055674166
2016-09,1154.3381957412298
2016-10,1180.3259417829206
2016-11,1233.590725435765
2016-12,1295.5917072026627
2017-01,1367.2740826426057
2017-02,1397.7058094224901
2017-03,1362.6666064445628
2017-04,1344.7643897697903
2017-05,1330.3232306655004
2017-06,1336.8210860333882
2017-07,1336.5937964750951
2017-08,1315.2338562025545
2017-09,1300.0814587336733
2017-10,1306.9835460403096
2017-11,1282.4691498748625
2017-12,1299.5425023570388
2018-01,1326.5432239124636
2018-02,1324.1768801463572
2018-03,1315.1957740053597
2018-04,1319.3992481325208
2018-05,1308.7509707409838
2018-06,1323.4947412941053
2018-07,1311.5060037453586
2018-08,1289.305099928833
2018-09,1243.3651501385243
2018-10,1218.6008619644388
2018-11,1210.6728963659737
2018-12,1194.563506994891
2019-01,1196.7823532827285
2019-02,1196.1703291856988
2019-03,1209.6695603368237
2019-04,1227.5271314554295
2019-05,1229.9927735147978
2019-06,1229.9565685612647
2019-07,1262.1570699519532
2019-08,1244.310575487332
2019-09,1256.1947729158715
2019-10,1247.8603210033777
2019-11,1287.9010026311917
2019-12,1299.297519591057
2020-01,1324.7268990791447
2020-02,1260.7608424789025
2020-03,984.5137111783193
2020-04,1044.6504234779534
2020-05,1060.4129285769957
2020-06,1071.3782323958278
2020-07,1011.1695013051602
2020-08,1016.6159305765415
2020-09,1048.354554303336
2020-10,1068.7719740370912
2020-11,1099.1820329373168
2020-12,1115.0115433964975
2021-01,1150.2106761662758
2021-02,1137.7866912342283
2021-03,1181.8962740114728
2021-04,1207.2816527005277
2021-05,1244.0033912455142
2021-06,1304.042911373624
2021-07,1319.3177947761576
2021-08,1350.2190663494234
2021-09,1363.0041182635357
2021-10,1427.616916777881
2021-11,1434.4578769832
2021-12,1481.9359071414622
2022-01,1524.1917347442163
2022-02,1480.486043320941
2022-03,1543.2002795562946
2022-04,1625.088407005878
2022-05,1552.4304272306283
2022-06,1523.5758744854716
2022-07,1605.3237691928089
2022-08,1598.631071396573
2022-09,1529.322554994743
2022-10,1518.8097703855362
2022-11,1513.711659057512
2022-12,1486.9457130814808
2023-01,1515.1187596372156
2023-02,1558.8302280279665
2023-03,1544.728180744872
2023-04,1570.2064966114533
2023-05,1601.5166737069403
2023-06,1591.9154271813843
2023-07,1656.3919032839901
