Date,EFM EUROPE + CIS (E+C) SMALL CAP
2010-11,1000.0
2010-12,1048.4652079048901
2011-01,1035.156074451011
2011-02,1024.2532552871007
2011-03,1058.4355769094257
2011-04,1086.7279754532265
2011-05,1014.0295734798017
2011-06,979.3050397000815
2011-07,935.5866508964792
2011-08,776.514998720198
2011-09,717.1814120667386
2011-10,751.0578256896971
2011-11,697.6177319931129
2011-12,662.9286422467561
2012-01,758.3199720319254
2012-02,802.780514530001
2012-03,808.7901140171937
2012-04,810.8991686568119
2012-05,724.1546578102809
2012-06,768.2597120769802
2012-07,804.1172206238326
2012-08,789.6406617810244
2012-09,811.929329504142
2012-10,816.1954683684376
2012-11,833.692917575011
2012-12,880.9013279411278
2013-01,892.7205218994
2013-02,900.863657365323
2013-03,914.9472855634617
2013-04,903.8719774247955
2013-05,910.8093140848792
2013-06,826.097419397647
2013-07,829.6654564528338
2013-08,770.912518786285
2013-09,821.1333281702813
2013-10,867.326420004618
2013-11,875.8420738632085
2013-12,814.2412038575465
2014-01,779.0633693147236
2014-02,809.1833267449394
2014-03,805.2401954805233
2014-04,822.1850896896187
2014-05,850.1084403261704
2014-06,856.3042497145126
2014-07,842.360933670386
2014-08,845.7519507051179
2014-09,825.7841895863494
2014-10,816.6710240139972
2014-11,820.3391018454278
2014-12,752.8172879717048
2015-01,802.255991260872
2015-02,850.0355005183022
2015-03,833.5807016640806
2015-04,862.9307412649611
2015-05,860.4725914652823
2015-06,815.2221241406736
2015-07,815.457766362506
2015-08,743.2681119895132
2015-09,744.3908501010627
2015-10,787.3212053066512
2015-11,782.2989938700971
2015-12,748.485102429035
2016-01,708.1275683728137
2016-02,726.2599330186287
2016-03,788.9010315907841
2016-04,808.6365395043505
2016-05,795.5365669598777
2016-06,790.4886289079775
2016-07,809.670863219304
2016-08,858.9979521152269
2016-09,878.0155676633455
2016-10,914.0515135883695
2016-11,912.3544714271327
2016-12,959.2808444628986
2017-01,997.979873160218
2017-02,1037.9959437778045
2017-03,1047.7205070388884
2017-04,1075.2934305901108
2017-05,1089.1806440615906
2017-06,1114.8661536690481
2017-07,1141.6360942877393
2017-08,1162.807096252591
2017-09,1137.2566109493093
2017-10,1140.9474839002194
2017-11,1074.1679061945517
2017-12,1124.7649436398594
2018-01,1161.8720516829426
2018-02,1130.24095295338
2018-03,1101.2682478275967
2018-04,1067.8851422610699
2018-05,1027.238608690972
2018-06,988.2877851343333
2018-07,984.7575613571161
2018-08,898.2703739232469
2018-09,909.2728822538302
2018-10,868.9208950830144
2018-11,910.3556556088278
2018-12,867.4445640370258
2019-01,937.6019693611089
2019-02,978.6822814071504
2019-03,945.005650568322
2019-04,968.5298037404627
2019-05,982.3635739659757
2019-06,1044.600808400528
2019-07,1082.7304288416894
2019-08,1041.9572973001239
2019-09,1060.9333959113376
2019-10,1049.1419886878275
2019-11,1094.8873085648254
2019-12,1128.7084198278285
2020-01,1158.5402471626164
2020-02,1000.3939732809317
2020-03,796.7713679042708
2020-04,893.9852221633369
2020-05,944.9475872318545
2020-06,1004.1852902704923
2020-07,983.9691873263334
2020-08,984.037148868046
2020-09,976.1429034293485
2020-10,893.456666471874
2020-11,1099.348590356819
2020-12,1211.7241467772742
2021-01,1260.0388042159193
2021-02,1328.8142567960092
2021-03,1321.0220778600672
2021-04,1371.4194531898559
2021-05,1391.834254859793
2021-06,1376.5037819358645
2021-07,1394.5465090230002
2021-08,1468.6224486675967
2021-09,1418.2265533252667
2021-10,1489.654737707747
2021-11,1371.7955232816223
2021-12,1385.9667494594244
2022-01,1404.3134486670913
2022-02,1200.9096732742626
2022-03,1170.1704982326082
2022-04,1224.636378411085
2022-05,1193.160119221198
2022-06,1137.1679681126811
2022-07,1172.213220179389
2022-08,1213.7622506062112
2022-09,1143.6243917099275
2022-10,1279.7113658499097
2022-11,1447.6806003843717
2022-12,1511.2170231695861
2023-01,1489.567146171028
2023-02,1551.420394174223
2023-03,1435.914481901222
2023-04,1453.3842708744085
2023-05,1487.114561829518
2023-06,1479.8073706491975
2023-07,1688.0940331938348
