Date,EU SMALL CAP
2007-05,1000.0
2007-06,978.1306684708717
2007-07,956.0688670231045
2007-08,926.0957852049052
2007-09,897.656576746172
2007-10,938.8427974292356
2007-11,851.6824117235641
2007-12,827.7628134881936
2008-01,731.6304103231761
2008-02,746.3014258969681
2008-03,721.2903491293833
2008-04,745.8025011370123
2008-05,755.7325875878723
2008-06,679.927998196774
2008-07,652.6881989342075
2008-08,672.3915652815355
2008-09,563.9757570147318
2008-10,447.65042271589664
2008-11,408.88790714791344
2008-12,391.3826791878652
2009-01,397.9173809002702
2009-02,374.6629942384854
2009-03,384.0723492218378
2009-04,470.60778713397565
2009-05,498.55385699166965
2009-06,500.93455036343784
2009-07,541.9583939197414
2009-08,591.662931967966
2009-09,619.2543956539246
2009-10,601.1972973673292
2009-11,595.8525993686866
2009-12,629.7668343295613
2010-01,640.9580053664145
2010-02,628.9437646093502
2010-03,686.0682511533248
2010-04,706.4085020260801
2010-05,658.9775486435781
2010-06,653.6109873577003
2010-07,691.2505781430231
2010-08,677.8121002891396
2010-09,719.3006129085956
2010-10,746.0901565102898
2010-11,740.9225028661385
2010-12,805.8321383730481
2011-01,805.686661088066
2011-02,815.5433074980828
2011-03,806.0938946425985
2011-04,832.5646174882795
2011-05,833.3495191698378
2011-06,802.5063619223093
2011-07,775.1809219754394
2011-08,693.3657062327547
2011-09,648.5936602271393
2011-10,690.8907957488726
2011-11,672.1328204727864
2011-12,672.7065357694945
2012-01,734.9905595870009
2012-02,778.7881580018902
2012-03,779.7089310578172
2012-04,780.4883102827577
2012-05,726.1857007652317
2012-06,742.5802497650561
2012-07,770.1826028402701
2012-08,788.8373692049195
2012-09,815.5605042138219
2012-10,826.3266884216713
2012-11,831.7061692933506
2012-12,863.6087109798536
2013-01,888.8647337450825
2013-02,922.0145094261675
2013-03,935.2076841708088
2013-04,943.0082303627995
2013-05,980.1853224315242
2013-06,937.7328503780755
2013-07,998.8626130949146
2013-08,1011.3849329755169
2013-09,1069.4543000046638
2013-10,1118.4772530806138
2013-11,1140.2475564642082
2013-12,1165.063993153312
2014-01,1175.9928396175046
2014-02,1254.7173164638778
2014-03,1239.3513245029576
2014-04,1223.047886950586
2014-05,1253.7672344628138
2014-06,1240.5628744415153
2014-07,1208.798565456227
2014-08,1225.0171061800443
2014-09,1206.0417078322482
2014-10,1189.3750649013784
2014-11,1217.8324415721506
2014-12,1245.507761990242
2015-01,1323.5899296489092
2015-02,1446.7616132602611
2015-03,1470.819568709746
2015-04,1488.1893341987006
2015-05,1547.1497516921186
2015-06,1504.6372200984854
2015-07,1559.288712822533
2015-08,1480.0024141539732
2015-09,1435.6076621065101
2015-10,1527.470793308701
2015-11,1587.575786230873
2015-12,1552.188683306753
2016-01,1423.225834083767
2016-02,1410.480728833389
2016-03,1455.7837644283914
2016-04,1466.3466797603496
2016-05,1532.074926732191
2016-06,1383.4830111059014
2016-07,1462.2275723662083
2016-08,1487.8716369555302
2016-09,1500.1893003749549
2016-10,1458.4993019546
2016-11,1473.8285376494339
2016-12,1546.893946583185
2017-01,1558.2742891720293
2017-02,1608.5605496094145
2017-03,1656.0463459811108
2017-04,1737.6482390389924
2017-05,1760.4020217374
2017-06,1717.8054877452396
2017-07,1736.938241248391
2017-08,1727.507057511849
2017-09,1808.5802001260843
2017-10,1845.4178825565727
2017-11,1810.8138964117807
2017-12,1854.0780082700217
2018-01,1888.4589230192987
2018-02,1827.9564489670313
2018-03,1805.1620781634435
2018-04,1882.8575482608217
2018-05,1908.1938820682908
2018-06,1888.1440786938344
2018-07,1915.5572445775322
2018-08,1900.2013173372322
2018-09,1865.1954230056933
2018-10,1723.8144804316519
2018-11,1672.4048219384242
2018-12,1571.7802567089266
2019-01,1713.345204704647
2019-02,1776.5222200345988
2019-03,1799.8810956372322
2019-04,1885.1924126331066
2019-05,1775.6571412970125
2019-06,1827.5730874849557
2019-07,1827.0748655118286
2019-08,1794.6154459588709
2019-09,1857.3007520805736
2019-10,1910.2197999097366
2019-11,1998.1350479980108
2019-12,2080.4132714364755
2020-01,2043.6478694510715
2020-02,1904.666326475279
2020-03,1524.8382347403751
2020-04,1694.7107018859244
2020-05,1816.5337452315853
2020-06,1867.11419704964
2020-07,1906.5084371005826
2020-08,1997.270098004675
2020-09,2019.069171917556
2020-10,1887.7931989420028
2020-11,2199.5151984418762
2020-12,2324.657961508345
2021-01,2329.2393720575733
2021-02,2415.2424502762165
2021-03,2537.904760755863
2021-04,2653.2503266466965
2021-05,2722.2959169237834
2021-06,2713.5407392271595
2021-07,2821.2191688667745
2021-08,2907.6536307677684
2021-09,2777.214066797373
2021-10,2893.4728393270766
2021-11,2805.2405290866077
2021-12,2904.69201198229
2022-01,2717.6975536586333
2022-02,2597.722986748537
2022-03,2650.9592295903417
2022-04,2607.250274013272
2022-05,2600.086545022207
2022-06,2259.577078225671
2022-07,2439.446854204183
2022-08,2285.660153863142
2022-09,2051.869472419254
2022-10,2211.805324279202
2022-11,2346.874176553922
2022-12,2308.6097331277065
2023-01,2502.220849973473
2023-02,2588.644633402523
2023-03,2495.3636565643214
2023-04,2525.7173618980505
2023-05,2455.205845582531
2023-06,2503.846504121839
2023-07,2568.6705229914287
