Date,FM GCC COUNTRIES DOMESTIC SMALL CAP
2014-06,967.0382665610072
2014-07,1010.6130498609175
2014-08,1055.2425064965844
2014-09,1112.5684769508714
2014-10,1064.6922529417589
2014-11,1033.0278103116173
2014-12,1001.3140164384236
2015-01,1076.5530481155267
2015-02,1083.9901476543914
2015-03,1084.0497842631758
2015-04,1054.5985116872594
2015-05,1064.3180867828567
2015-06,1033.194830651375
2015-07,1052.3294415655625
2015-08,957.2101933634312
2015-09,959.4558199072618
2015-10,992.1174116181347
2015-11,1036.9888270825852
2015-12,982.5471479421402
2016-01,913.4114410596203
2016-02,947.5010281306421
2016-03,951.0443840411144
2016-04,996.2524000006644
2016-05,1000.8373231714056
2016-06,1003.3011973604875
2016-07,992.1558531328546
2016-08,966.6168832400002
2016-09,951.5792093442133
2016-10,979.6877066432078
2016-11,1010.8752159978545
2016-12,1074.4697136642862
2017-01,1128.0992972946806
2017-02,1144.3278619642704
2017-03,1099.2558718754738
2017-04,1077.5606399079854
2017-05,1024.6166660378317
2017-06,996.8102628983413
2017-07,995.7539282943892
2017-08,967.4729821998721
2017-09,972.9987246884775
2017-10,964.231397300083
2017-11,921.3429183339314
2017-12,941.3740999331048
2018-01,921.524105267467
2018-02,928.5122510464457
2018-03,913.0726642716896
2018-04,927.0614018638724
2018-05,941.23761373417
2018-06,956.0842593848089
2018-07,963.3216576166272
2018-08,956.0204974777985
2018-09,936.3300025583045
2018-10,924.3265019834658
2018-11,942.6137005224473
2018-12,926.5943787313996
2019-01,913.9462096976001
2019-02,906.2541059533768
2019-03,959.886721781826
2019-04,1001.4147434064178
2019-05,1017.668643248294
2019-06,1003.208183913489
2019-07,1052.9523586336852
2019-08,1031.2561238367302
2019-09,1023.3813152948445
2019-10,1009.6445682759908
2019-11,1044.2545235855262
2019-12,1025.6078616370753
2020-01,1045.7894121850807
2020-02,1027.8975478007717
2020-03,767.5448737635845
2020-04,829.5884888700788
2020-05,810.5466601792266
2020-06,831.3416013427501
2020-07,773.9120831334308
2020-08,768.2473375605229
2020-09,805.0321195444815
2020-10,820.7742835338673
2020-11,820.8783061147662
2020-12,806.6605035285845
2021-01,805.0378984439766
2021-02,794.8802793974772
2021-03,840.9706373157949
2021-04,839.4708190414376
2021-05,847.5236379959116
2021-06,928.7496893009691
2021-07,921.1163509015306
2021-08,931.0226223117232
2021-09,941.631534625957
2021-10,1000.3881447993965
2021-11,1067.377028868804
2021-12,1143.2213838197945
2022-01,1149.0924983494308
2022-02,1122.061268196959
2022-03,1192.157166836512
2022-04,1278.674570250132
2022-05,1209.7197568122951
2022-06,1200.3198338936072
2022-07,1348.6016964044657
2022-08,1401.8956863008414
2022-09,1385.9054324387962
2022-10,1332.8765559869398
2022-11,1345.0622917907817
2022-12,1315.462956171455
2023-01,1290.4120830702743
2023-02,1323.0446351286466
2023-03,1321.2884811975
2023-04,1380.7172714976125
2023-05,1498.222817212866
2023-06,1519.7491789507412
2023-07,1613.68530570211
