Date,EUROPE ex UK SMALL CAP
2000-12,100.0
2001-01,106.51654982490183
2001-02,103.36609946996475
2001-03,97.52314590310033
2001-04,101.8933861176627
2001-05,105.0870318757076
2001-06,100.04415004556635
2001-07,96.02838584120174
2001-08,91.6840103369981
2001-09,77.7262487893895
2001-10,83.68814110765298
2001-11,90.57382496902125
2001-12,91.93219312498786
2002-01,95.16253984017332
2002-02,95.1690887427386
2002-03,100.53480133355183
2002-04,100.14251787140005
2002-05,98.38398903945998
2002-06,91.00183816067003
2002-07,81.95820396941991
2002-08,79.81069577054421
2002-09,69.20344466832401
2002-10,73.22087673529528
2002-11,76.89001982938852
2002-12,71.17979385394916
2003-01,68.66361051007448
2003-02,65.38355127347404
2003-03,64.54699522259777
2003-04,72.55015030907443
2003-05,75.73654419752152
2003-06,78.75951931137595
2003-07,83.2487824375098
2003-08,87.80793893950948
2003-09,87.48614082974055
2003-10,94.96950478487628
2003-11,97.0110253245205
2003-12,97.03042436534072
2004-01,103.48127767450858
2004-02,106.95772991615637
2004-03,104.55508921839895
2004-04,105.6310325472362
2004-05,104.19865829978269
2004-06,108.37101734913908
2004-07,105.13874744376486
2004-08,104.49842526401919
2004-09,107.95726706945054
2004-10,109.88707203265872
2004-11,116.87443538921643
2004-12,120.03783618131514
2005-01,126.5737799745539
2005-02,133.01570596761164
2005-03,132.5359598212748
2005-04,129.72125995907942
2005-05,137.80373177612313
2005-06,145.1247412803774
2005-07,154.59074794454634
2005-08,157.0279909018083
2005-09,165.66477109047943
2005-10,155.2634300962126
2005-11,159.76830696723113
2005-12,168.96378798251078
2006-01,182.44524735736104
2006-02,191.0714211178158
2006-03,200.57954434211823
2006-04,206.61670239786187
2006-05,192.49948857954953
2006-06,189.06778695629038
2006-07,187.3951548667564
2006-08,191.24451735398952
2006-09,195.3083283586759
2006-10,204.21864529298725
2006-11,210.40577195824594
2006-12,221.529217383048
2007-01,232.0072594653288
2007-02,229.21555752067107
2007-03,239.76148271600718
2007-04,248.35262918979745
2007-05,256.55408220449146
2007-06,253.30442343822443
2007-07,248.13905625037464
2007-08,237.91481161392676
2007-09,232.61183307414106
2007-10,242.37083064428987
2007-11,221.83011591629858
2007-12,218.2267480578389
2008-01,189.5575783510826
2008-02,196.07882980631442
2008-03,191.8120487874277
2008-04,198.95275161388994
2008-05,202.8234279744124
2008-06,181.70299776868103
2008-07,173.11828863648375
2008-08,178.4733826219338
2008-09,148.35818561735368
2008-10,118.1158642067712
2008-11,108.26547232771628
2008-12,107.97993458716495
2009-01,106.62806169283091
2009-02,98.12936757488741
2009-03,101.22999964988948
2009-04,122.78907729451797
2009-05,132.42291716753323
2009-06,132.03084528766908
2009-07,142.38742828553941
2009-08,155.12876441447813
2009-09,166.91423239003294
2009-10,160.84989351172075
2009-11,161.34399960556073
2009-12,169.6101502329539
2010-01,172.75676730216156
2010-02,170.9466595507553
2010-03,186.51645553483957
2010-04,188.8540236252657
2010-05,173.27862832559288
2010-06,171.10190673397673
2010-07,180.18222297148554
2010-08,175.9646289295256
2010-09,189.1132192313902
2010-10,197.68895500828287
2010-11,195.10825325436147
2010-12,215.8506813397569
2011-01,216.0056588547471
2011-02,218.04903768338656
2011-03,219.52768180193848
2011-04,224.87852274597054
2011-05,223.7480986182047
2011-06,214.86615761497754
2011-07,203.68485580393275
2011-08,182.08988064056243
2011-09,166.08861009094696
2011-10,177.28613003173555
2011-11,169.3748790129913
2011-12,169.7183695173673
2012-01,185.0213999586654
2012-02,194.95868315946825
2012-03,194.42976998109899
2012-04,192.62178039038443
2012-05,178.38929078476932
2012-06,182.58191046447166
2012-07,187.53543005882685
2012-08,191.24199545255607
2012-09,197.48555613698346
2012-10,199.45813176278975
2012-11,201.80680086299358
2012-12,209.84067251067265
2013-01,220.42953034126612
2013-02,228.17109677401575
2013-03,226.49543968669363
2013-04,229.5079892379724
2013-05,239.2814999417767
2013-06,228.16951789277374
2013-07,243.72021688209807
2013-08,244.9895722427816
2013-09,259.08479604007886
2013-10,273.5038436782761
2013-11,278.0038036962904
2013-12,281.84938235883226
2014-01,285.6739924541622
2014-02,303.3404525482628
2014-03,304.4063136406781
2014-04,304.17396986264356
2014-05,313.2039356729997
2014-06,309.3145563017637
2014-07,297.92316337621537
2014-08,300.2080745040399
2014-09,295.80044126702217
2014-10,288.5410760794748
2014-11,298.5246479901231
2014-12,300.254011420109
2015-01,322.7323529404493
2015-02,348.67266050817517
2015-03,360.68635325610364
2015-04,364.6012375514035
2015-05,370.9152257170459
2015-06,356.5859662140203
2015-07,373.0319095129041
2015-08,353.6331979785147
2015-09,343.02232596640914
2015-10,366.48743803993995
2015-11,382.3632795193555
2015-12,377.33522475992595
2016-01,348.88134635744973
2016-02,348.67135212074686
2016-03,362.46344306172034
2016-04,365.6778801860283
2016-05,378.6360341398537
2016-06,355.0217745643136
2016-07,375.65594806779166
2016-08,380.42609131264413
2016-09,386.13023370298947
2016-10,381.16660013395426
2016-11,377.94305367154476
2016-12,400.2590583171585
2017-01,405.9244096515451
2017-02,417.57917711815173
2017-03,432.34662485378607
2017-04,451.37501549141564
