Date,FM GCC COUNTRIES SMALL CAP
2014-06,967.6678004778512
2014-07,1012.1689748166087
2014-08,1056.082231335967
2014-09,1115.3291206210872
2014-10,1068.3638765894311
2014-11,1037.953402468181
2014-12,1010.3226631734973
2015-01,1087.0465821332127
2015-02,1094.79801970272
2015-03,1097.2756770226274
2015-04,1066.28401351506
2015-05,1076.5337973972678
2015-06,1047.493796214508
2015-07,1067.6684884495808
2015-08,972.0845952503693
2015-09,975.3006213871312
2015-10,1008.6353841052544
2015-11,1057.1108018248021
2015-12,1006.006057161125
2016-01,940.2999930479441
2016-02,974.4590552617741
2016-03,985.9929476757874
2016-04,1030.7408361857806
2016-05,1029.7173429856764
2016-06,1028.7632982517737
2016-07,1020.8384362026675
2016-08,1020.2591191417242
2016-09,1017.3024395066585
2016-10,1055.372070194861
2016-11,1148.6039529183402
2016-12,1237.3357351782074
2017-01,1360.1094035256174
2017-02,1393.706580570566
2017-03,1344.7337975326204
2017-04,1298.5695954842747
2017-05,1235.0559222002423
2017-06,1199.2077073790972
2017-07,1198.1547259841423
2017-08,1168.7311020540512
2017-09,1168.6997878145041
2017-10,1159.44460599268
2017-11,1103.9432517335765
2017-12,1125.9085006051469
2018-01,1097.962537135569
2018-02,1107.5369763013737
2018-03,1087.1743291210134
2018-04,1099.2718352491302
2018-05,1117.2996300985865
2018-06,1137.8093889752809
2018-07,1143.7943933489678
2018-08,1135.1773584840928
2018-09,1111.6725499180689
2018-10,1098.9724668653746
2018-11,1118.3372430976885
2018-12,1100.87466808869
2019-01,1084.3965387590981
2019-02,1076.6704139670155
2019-03,1141.6369726090825
2019-04,1188.0034037444896
2019-05,1210.2016111309679
2019-06,1174.8789225017556
2019-07,1230.4750616938868
2019-08,1206.5659569698819
2019-09,1199.0807172818181
2019-10,1183.4057289501714
2019-11,1224.3692015669621
2019-12,1204.657740482523
2020-01,1229.7456104559926
2020-02,1208.867032566099
2020-03,907.7819349860351
2020-04,979.471391440321
2020-05,957.0967257217236
2020-06,982.5171511159938
2020-07,914.0986161434125
2020-08,907.2714813126262
2020-09,951.0129301799079
2020-10,969.9891570529627
2020-11,969.9108414400346
2020-12,953.1117607881655
2021-01,951.1945676412473
2021-02,939.1928071329846
2021-03,993.6509862538466
2021-04,991.8788721735343
2021-05,1001.39370080272
2021-06,1097.3665474247935
2021-07,1088.3473571077323
2021-08,1100.052137179786
2021-09,1112.5871243914266
2021-10,1182.0111459412385
2021-11,1261.1620315608225
2021-12,1350.7761212267599
2022-01,1357.7131514676767
2022-02,1325.7743330252295
2022-03,1408.5963195785926
2022-04,1510.821176684731
2022-05,1429.347442241221
2022-06,1418.2409395116167
2022-07,1593.443749680771
2022-08,1656.4133984082919
2022-09,1637.5200734627454
2022-10,1574.8636701969856
2022-11,1589.2617571960318
2022-12,1554.2885872355719
2023-01,1524.689664682273
2023-02,1563.2467392078195
2023-03,1561.171751083064
2023-04,1631.3899887638233
2023-05,1770.2289638830146
2023-06,1795.663491109278
2023-07,1906.6539595628312
