Date,EM LATIN AMERICA SMALL CAP
1998-12,144.6407491919715
1999-01,124.07688008496638
1999-02,130.7248284920865
1999-03,154.9860363429761
1999-04,173.50945970206917
1999-05,174.0712384391932
1999-06,180.0433146373722
1999-07,169.65489447668472
1999-08,167.6158782328927
1999-09,168.7693273974446
1999-10,173.32773030882933
1999-11,199.05527467150506
1999-12,223.35450729757167
2000-01,238.57855486449827
2000-02,245.34553559208206
2000-03,247.48394440304833
2000-04,245.07892095853276
2000-05,226.7788549426032
2000-06,225.72309568135145
2000-07,243.83203902192355
2000-08,256.76069536950087
2000-09,253.22847619390686
2000-10,249.92087182076884
2000-11,235.1129484692398
2000-12,225.06299082374446
2001-01,245.27181596018997
2001-02,237.1308572041973
2001-03,238.51594503234188
2001-04,232.9121935072367
2001-05,245.37889795368736
2001-06,247.01909591795558
2001-07,223.58385457521337
2001-08,211.4432227074102
2001-09,182.48331338270424
2001-10,187.5957744036542
2001-11,205.98882870342163
2001-12,227.21168900203386
2002-01,229.6052164545407
2002-02,235.72318617335964
2002-03,238.80785845366455
2002-04,232.29850063254702
2002-05,216.69124562908246
2002-06,179.09198547816257
2002-07,162.5742389003327
2002-08,171.64955364551992
2002-09,144.51744483871653
2002-10,155.5855244780817
2002-11,161.55320116205723
2002-12,157.87962074340143
2003-01,150.78911348333574
2003-02,150.00446421849307
2003-03,157.0876797854561
2003-04,185.5882368846678
2003-05,183.00120829389357
2003-06,197.2310738269657
2003-07,205.4462832457348
2003-08,220.87405246581898
2003-09,223.87933944163302
2003-10,249.12152510692133
2003-11,254.00454256036963
2003-12,272.83539274742344
2004-01,284.6241505089309
2004-02,296.56403896650755
2004-03,311.22866300184955
2004-04,291.3556804290157
2004-05,272.99568295455305
2004-06,284.2024807252167
2004-07,303.42881219302154
2004-08,329.6582384498661
2004-09,349.15688529497476
2004-10,346.34699082093357
2004-11,368.1085099185612
2004-12,388.3631956339266
2005-01,399.72023236470966
2005-02,421.88918453606414
2005-03,399.69399979532267
2005-04,391.71670312843753
2005-05,431.49522517886845
2005-06,444.3960055484488
2005-07,467.0510049044993
2005-08,471.7194531227262
2005-09,544.071511720923
2005-10,514.497434190814
2005-11,562.6088988962439
2005-12,572.0325809279597
2006-01,637.3593810955764
2006-02,670.928343498395
2006-03,645.6732489770404
2006-04,653.7217600525755
2006-05,567.4413762435198
2006-06,587.9309139600364
2006-07,602.570179229358
2006-08,631.0331288021775
2006-09,651.745947129395
2006-10,698.2070220586422
2006-11,710.6633591737233
2006-12,782.3156505881916
2007-01,814.6263936814101
2007-02,804.0356314271419
2007-03,859.5615186676629
