Date,EM (EMERGING MARKETS) SMALL CAP
1998-12,293.1423446500108
1999-01,291.6722025524081
1999-02,295.49834912443913
1999-03,337.0779315880538
1999-04,388.54102833769707
1999-05,393.34222787788315
1999-06,428.6986575991803
1999-07,407.691799839667
1999-08,407.22526445645866
1999-09,386.13930237958317
1999-10,394.57394192035537
1999-11,436.3913084912784
1999-12,484.1586246103266
2000-01,530.0561151143113
2000-02,532.5071731105886
2000-03,522.9256798943921
2000-04,506.80126506688015
2000-05,462.43726487360004
2000-06,441.5279838028463
2000-07,443.88574358090835
2000-08,461.4121148731105
2000-09,420.47136831469487
2000-10,397.1251299522054
2000-11,365.0442329700598
2000-12,333.9070386833818
2001-01,371.65877888092797
2001-02,363.2963382550991
2001-03,352.67611406395207
2001-04,356.0780303376764
2001-05,378.71951303168623
2001-06,372.51462178330536
2001-07,338.7968853679613
2001-08,329.6587506130599
2001-09,285.9533217994227
2001-10,298.87321369629205
2001-11,331.18380194868683
2001-12,353.6712452935732
2002-01,385.80159712789305
2002-02,385.5767181370005
2002-03,412.67441444860526
2002-04,404.12346146352456
2002-05,381.6903779775186
2002-06,333.9775746525456
2002-07,327.3400381574614
2002-08,326.934703061826
2002-09,287.18304530606645
2002-10,301.5394752957302
2002-11,319.77083888207255
2002-12,296.31463889393365
2003-01,298.878782743238
2003-02,289.33424856591483
2003-03,274.8818136811991
2003-04,287.9677770960399
2003-05,298.553597872645
2003-06,325.13011660908
2003-07,351.374693491087
2003-08,379.6512641049782
2003-09,361.3785034362135
2003-10,389.9815998989671
2003-11,389.89641000078603
2003-12,396.3841674493937
2004-01,413.3689757068989
2004-02,432.74934869221084
2004-03,439.48390241576084
2004-04,422.83287038291417
2004-05,395.5644150418356
2004-06,395.94140905165034
2004-07,391.4289919368125
2004-08,403.01214498003
2004-09,418.9127212461525
2004-10,419.4516657066935
2004-11,442.93329496711016
2004-12,459.8726351125526
2005-01,481.3361779272021
2005-02,510.29278727038076
2005-03,492.0388671205153
2005-04,480.3301639284057
2005-05,513.0926459164987
2005-06,543.2634837146553
2005-07,570.7444987321487
2005-08,563.4388384356382
2005-09,613.3378264866556
2005-10,581.9462361783129
2005-11,644.3404291482042
2005-12,686.3671429245734
2006-01,721.5911857238208
2006-02,741.4679249360817
2006-03,745.0539180907015
2006-04,766.4876707857908
2006-05,685.3261329602963
2006-06,649.9905336702064
2006-07,659.1845142646906
2006-08,677.8796267745369
2006-09,707.3163833320691
2006-10,741.9769654812991
2006-11,776.2177809499505
2006-12,814.0632220510959
2007-01,825.6244468315322
2007-02,834.0138415800232
2007-03,868.2535419416469
2007-04,907.8900204338256
2007-05,1000.0
2007-06,1040.6656887575878
2007-07,1110.9030860629657
2007-08,1060.0244096934002
2007-09,1090.5284570623946
2007-10,1146.272212698085
2007-11,1028.7883457028952
2007-12,1046.7982236752325
2008-01,886.2265553732093
2008-02,926.2206693742262
2008-03,831.3448827590141
2008-04,889.0810464665981
2008-05,873.4296130051343
2008-06,758.5861939979249
2008-07,750.4947227430581
2008-08,738.1916224639758
2008-09,615.4992205825971
2008-10,475.80505603026336
2008-11,447.9013585571013
2008-12,461.3765501571108
2009-01,469.38968826127234
2009-02,455.766445939283
2009-03,497.8170639978409
2009-04,610.4855010525691
2009-05,703.8122442928666
2009-06,708.4336357840109
2009-07,789.5522879915989
2009-08,788.7707648026917
2009-09,837.2994414732146
2009-10,834.8785787096774
2009-11,859.1539166296612
2009-12,958.0349271651817
2010-01,952.5637704270092
2010-02,972.6088115824175
2010-03,1067.7652475472603
2010-04,1113.7586782414894
2010-05,1081.0277495700543
2010-06,1098.6947178256016
2010-07,1108.1169542217342
2010-08,1139.182289649402
2010-09,1189.1040884176502
2010-10,1217.306941761424
2010-11,1271.28004644478
2010-12,1306.0946781308303
2011-01,1236.853336861025
2011-02,1180.1491798917316
2011-03,1201.6081697616526
2011-04,1201.3049601441578
2011-05,1200.9981665732698
2011-06,1165.1717466287569
2011-07,1199.0721302310162
2011-08,1064.2495492717203
2011-09,960.0435286662087
2011-10,1013.5356595407719
2011-11,963.3454949684392
2011-12,985.8743002578544
2012-01,1082.9436985528848
2012-02,1153.6048361239918
2012-03,1121.2809484577547
2012-04,1107.042963049593
