Date,EM EMEA SMALL CAP
1998-12,167.1901445187451
1999-01,171.73714319686272
1999-02,181.8601920152819
1999-03,203.86219607780538
1999-04,219.27466366457224
1999-05,220.737078177882
1999-06,236.79759499138132
1999-07,229.0182235407884
1999-08,222.0785638496214
1999-09,218.07622832207514
1999-10,222.14796066055268
1999-11,253.92809914749097
1999-12,310.64927731153153
2000-01,354.00189768916204
2000-02,365.038104494402
2000-03,346.6459400642074
2000-04,352.1517283352803
2000-05,324.0886319800571
2000-06,316.5462873106179
2000-07,315.63601746980083
2000-08,342.9111978914726
2000-09,316.9288151939364
2000-10,303.03773067578055
2000-11,263.0137779163404
2000-12,255.94773845410657
2001-01,259.8196947884633
2001-02,234.0407211018649
2001-03,225.22000030571638
2001-04,249.2405345544977
2001-05,258.26931631478493
2001-06,257.5788101932795
2001-07,238.2073814155198
2001-08,229.72832743777673
2001-09,201.32603855498985
2001-10,211.90828570251853
2001-11,228.74184759822106
2001-12,232.07444909212865
2002-01,248.45296398652877
2002-02,235.0743414255568
2002-03,241.82962678488653
2002-04,240.2525220992374
2002-05,236.9019035566876
2002-06,208.0080748731101
2002-07,203.61938458069662
2002-08,201.93305555143283
2002-09,193.49651539513366
2002-10,208.604027634891
2002-11,237.2063134880565
2002-12,226.3726888838174
2003-01,217.99885324329773
2003-02,221.75456214682828
2003-03,212.37846553539998
2003-04,232.39055597023847
2003-05,235.44327961653403
2003-06,255.59519253861734
2003-07,272.5545875357898
2003-08,299.11877600182567
2003-09,292.93058878440394
2003-10,313.673721717402
2003-11,329.88857468138775
2003-12,330.44945079695526
2004-01,332.60161370409236
2004-02,348.5842017585361
2004-03,369.39136065326574
2004-04,348.3903059874391
2004-05,346.7624718366315
2004-06,365.8342597328411
2004-07,366.7432383089054
2004-08,362.38121193214477
2004-09,385.778053834564
2004-10,403.7550410376083
2004-11,434.9132318889642
2004-12,457.21654031118027
2005-01,475.1658225401027
2005-02,497.82073538028203
2005-03,469.18800493118334
2005-04,468.3182555149894
2005-05,485.4995364015718
2005-06,511.05424448600826
2005-07,551.0263349895648
2005-08,573.8556936566711
2005-09,626.9849358306732
2005-10,602.9633447485942
2005-11,655.4372989216691
2005-12,708.2095427916992
2006-01,785.4203862296333
2006-02,817.2853532675464
2006-03,816.5253112272484
2006-04,825.2454115852692
2006-05,698.0878866536154
2006-06,636.8772341280013
2006-07,681.0778165047847
2006-08,695.6162154611195
2006-09,695.3026752707866
2006-10,760.0390283313682
2006-11,779.6697237926934
2006-12,826.3834109140503
2007-01,863.7619426372212
2007-02,870.3050886814184
2007-03,916.1809728760963
2007-04,970.9286570502552
2007-05,1000.0
2007-06,999.2119963993504
2007-07,973.1558266449996
2007-08,955.9258322837892
2007-09,981.381816368156
2007-10,1045.9856785621914
2007-11,961.0114452761245
2007-12,970.3683923210837
2008-01,818.2538232701206
2008-02,830.7784584264622
2008-03,755.2382458603178
2008-04,803.789814221546
2008-05,797.1517923136967
2008-06,709.6837033316012
2008-07,723.4391646397269
2008-08,737.6325924308547
2008-09,652.9498852053929
2008-10,504.0961044556445
2008-11,468.3178222298821
2008-12,462.92554295450145
2009-01,454.994918844645
2009-02,431.7799656827814
2009-03,453.9620114033769
2009-04,546.2374803556177
2009-05,572.0396220257134
2009-06,618.2570638646426
2009-07,677.5087232294962
2009-08,723.2656926175417
2009-09,739.9410065746617
2009-10,737.6800331095892
2009-11,726.4391686017545
