Date,WORLD ex AUSTRALIA SMALL CAP
2000-12,100.0
2001-01,104.8328592850738
2001-02,103.10274066459444
2001-03,101.58891702157763
2001-04,109.36155699320966
2001-05,115.70079708504176
2001-06,115.3860642821673
2001-07,107.9045483428623
2001-08,103.57283707331383
2001-09,89.6534982782444
2001-10,96.69750244827316
2001-11,103.47761229250942
2001-12,106.84052241371835
2002-01,108.02315506941173
2002-02,106.48214095227053
2002-03,113.94392077909032
2002-04,112.25362967833918
2002-05,107.54610042098754
2002-06,96.42969307938681
2002-07,86.39981658901046
2002-08,85.76919704888137
2002-09,78.57123566043602
2002-10,79.38584268123506
2002-11,83.63978636406151
2002-12,75.4684938331376
2003-01,72.30277469447881
2003-02,70.78255618188227
2003-03,70.03229224232926
2003-04,75.61181691435021
2003-05,79.4029708231569
2003-06,83.9192368994432
2003-07,89.18811030867575
2003-08,97.29553940403258
2003-09,93.2567474867752
2003-10,101.62158748930429
2003-11,100.41225149775049
2003-12,99.3358702976452
2004-01,105.3469638480295
2004-02,107.41073675088734
2004-03,111.78946996322175
2004-04,109.48565923897567
2004-05,108.02172820505749
2004-06,113.45681170621512
2004-07,108.3701003097016
2004-08,107.04713830754591
2004-09,108.44103253299711
2004-10,108.65990179096657
2004-11,112.39580402158516
2004-12,114.37849341279227
2005-01,117.59952218691396
2005-02,119.36122634650663
2005-03,119.13507824303736
2005-04,115.23335591904687
2005-05,124.3524556449025
2005-06,130.39497088912833
2005-07,136.71830277204953
2005-08,136.3651071720407
2005-09,142.39916774589105
2005-10,138.72002564413702
2005-11,146.68668816019363
2005-12,152.74901246734433
2006-01,159.73467059750394
2006-02,161.41051960018925
2006-03,166.5140643628379
2006-04,163.8447600876846
2006-05,151.62637948956203
2006-06,149.9158071565839
2006-07,145.78504912544267
2006-08,149.37761202002525
2006-09,151.49453941525385
2006-10,156.7137786688037
2006-11,156.03959751544411
2006-12,159.46936293120564
2007-01,164.9321688166185
2007-02,163.3830263075819
2007-03,165.97015397386653
2007-04,166.83798619785114
2007-05,173.54747885641447
2007-06,171.3529697111268
2007-07,163.25278988914505
2007-08,159.60112425184076
2007-09,155.5053196672841
2007-10,160.01691581662345
2007-11,145.91715072136537
2007-12,143.92216357734958
2008-01,131.09663946867576
2008-02,128.5362401150043
2008-03,122.20503113175822
2008-04,129.288255780635
2008-05,134.38388130401984
2008-06,122.09016274295024
2008-07,121.19433868239267
2008-08,128.67483268266847
2008-09,117.27867809168586
2008-10,101.05134371644576
2008-11,92.54400135459355
2008-12,89.5543327563392
2009-01,89.92342856375993
2009-02,81.2295688703346
2009-03,83.90339695130295
2009-04,97.96948453893394
2009-05,99.58346683722525
2009-06,101.53282516759542
2009-07,109.15708374641268
2009-08,114.32756621985443
2009-09,118.74558142298716
2009-10,112.78520436484258
2009-11,113.4422692148148
2009-12,124.24610721479362
2010-01,125.46716354116641
2010-02,130.8385313085611
2010-03,142.15143232280414
2010-04,150.39515796571376
2010-05,147.85213503926195
2010-06,141.17026969609077
2010-07,142.86226879939366
2010-08,139.48363015048142
2010-09,144.55050479602016
2010-10,147.57930725074888
2010-11,158.59053766297905
2010-12,168.12671213111372
2011-01,166.3825343219478
2011-02,171.85893603653778
2011-03,169.191281209384
2011-04,168.0384813194235
2011-05,170.02819487576247
2011-06,165.10806657531816
2011-07,162.4750778452521
2011-08,148.66064923600507
2011-09,142.12526203525465
2011-10,152.53829795097752
2011-11,154.57033858018133
2011-12,159.20711310736843
2012-01,169.6108449732364
2012-02,173.39386829925672
2012-03,176.2772597423709
2012-04,176.09082603353545
2012-05,172.2461332111632
2012-06,174.12133810890228
2012-07,179.01037160899915
2012-08,180.87043904263277
2012-09,183.44956223471468
2012-10,180.91150892894382
2012-11,182.20062398215873
2012-12,185.57840988945668
2013-01,190.82078871325223
2013-02,199.7768131952772
2013-03,210.79048449234054
2013-04,208.19948599149288
2013-05,214.99549226830013
2013-06,210.35458076527684
2013-07,219.22379110181527
2013-08,216.32967767314764
2013-09,225.3460063693042
2013-10,231.283008604338
2013-11,235.77545087372047
2013-12,238.67653695128337
2014-01,239.61619051567504
2014-02,246.1830469061538
2014-03,245.5077047316017
2014-04,239.92392062460695
2014-05,246.70713352608428
2014-06,255.86191031294598
2014-07,250.80463804036057
2014-08,262.7824077128314
2014-09,259.23616303175004
2014-10,265.88864746567657
2014-11,268.9241071208607
2014-12,278.9067920893017
2015-01,293.866475895483
2015-02,313.81601607017177
2015-03,328.8153374814542
2015-04,318.0324602912359
2015-05,330.06049502935707
2015-06,322.51936163723366
2015-07,324.0057650606836
2015-08,302.7603853289726
2015-09,291.03813497792976
2015-10,310.83232525889025
2015-11,328.90935616379056
2015-12,311.51791415667634
2016-01,288.4679390361678
2016-02,289.23410861723244
2016-03,298.84567567950114
2016-04,304.4462356492239
2016-05,317.37003384765285
2016-06,311.90024140317536
2016-07,326.5912540501411
2016-08,328.70356142437555
2016-09,330.7169923036689
2016-10,326.75452552497296
2016-11,352.4826430914635
2016-12,363.17372287589495
2017-01,362.680828536992
2017-02,376.7184225275184
2017-03,377.11730888237463
2017-04,378.3240341164385
2017-05,369.08107503525963
2017-06,369.4732579742846
2017-07,365.5055770969964
2017-08,362.13505054308
2017-09,379.2095104358073
2017-10,390.29827220976824
2017-11,389.7696125129629
2017-12,392.5623848181511
2018-01,391.8996476341364
2018-02,384.3171900378124
2018-03,381.95334679392636
2018-04,392.4385580784982
2018-05,417.3292747917637
2018-06,416.1436511116856
2018-07,420.52507147248866
2018-08,432.62150273613116
2018-09,427.2223097365447
2018-10,394.6361736740944
2018-11,397.4588483309228
2018-12,357.1307321888072
2019-01,392.5515526858198
2019-02,410.52353449924834
2019-03,413.9259350273687
2019-04,427.91812155587553
2019-05,401.997748227066
2019-06,416.71366622627
2019-07,428.4039247668135
2019-08,418.7160076862746
2019-09,431.98588475566066
2019-10,434.1410147919132
2019-11,454.0787076245633
2019-12,461.69895159103146
2020-01,454.4370876377283
2020-02,416.92322612230765
2020-03,331.7231369617903
2020-04,376.0220111554254
2020-05,395.89889942772953
2020-06,402.12922543642287
2020-07,396.72048039082625
2020-08,414.11746596180893
2020-09,413.9590652378378
2020-10,416.8219283378666
2020-11,468.6565681188397
2020-12,492.0642823384966
2021-01,506.4852957090409
2021-02,532.8852729689356
2021-03,562.5843149149462
2021-04,570.3236970981577
2021-05,566.6355042140152
2021-06,585.5571585326609
2021-07,581.6634248218774
2021-08,598.5312412420376
2021-09,590.8086699189988
2021-10,612.8405633614412
2021-11,599.8013988237855
2021-12,615.2629697069605
2022-01,577.9496098743434
2022-02,577.5197384157696
2022-03,586.9184655243881
2022-04,570.6265502330218
2022-05,562.1245440294583
2022-06,520.2842892052586
2022-07,581.7620332940085
2022-08,569.865022052788
2022-09,526.1223439036083
2022-10,563.9400926325279
2022-11,574.1295193183015
2022-12,535.0588538995522
2023-01,574.4640548659988
2023-02,577.8673006883721
2023-03,549.9979725092184
2023-04,540.5522452943046
2023-05,544.796115799559
2023-06,566.6977549057098
2023-07,588.38737326981
