Date,WORLD ex EMU SMALL CAP
2000-12,1000.0
2001-01,1044.9578542864724
2001-02,1027.2697467348137
2001-03,1017.7193633867266
2001-04,1101.5373626172418
2001-05,1171.1638357660436
2001-06,1180.1811039854842
2001-07,1098.6985032448017
2001-08,1056.537810685082
2001-09,920.041188234055
2001-10,991.3697578835128
2001-11,1058.56924044399
2001-12,1095.337782932941
2002-01,1106.1283693766245
2002-02,1089.540745460325
2002-03,1167.8689104664265
2002-04,1146.2097551795002
2002-05,1100.1929034359941
2002-06,982.3119107096571
2002-07,880.8840156346114
2002-08,877.6203173587552
2002-09,812.2904089322363
2002-10,815.3402062238736
2002-11,858.0668894119165
2002-12,773.0889324422759
2003-01,739.7071199406506
2003-02,727.5365769719475
2003-03,721.4924228736413
2003-04,773.396787151172
2003-05,810.971923905442
2003-06,859.3206436858104
2003-07,912.824870810369
2003-08,1000.4472502734742
2003-09,956.5506035925343
2003-10,1043.9309250758959
2003-11,1025.9145281102224
2003-12,1015.388186734361
2004-01,1074.5202824408314
2004-02,1094.6054003422237
2004-03,1148.061662895199
2004-04,1119.052076743717
2004-05,1105.2739118442241
2004-06,1159.5037507346524
2004-07,1109.4348775831443
2004-08,1097.5762130243793
2004-09,1111.9944670567108
2004-10,1114.754049148419
2004-11,1149.2415250592858
2004-12,1168.0024282687405
2005-01,1197.710011917282
2005-02,1208.686425619172
2005-03,1207.5875340954453
2005-04,1166.6831525611174
2005-05,1261.0851877890095
2005-06,1323.7014633443748
2005-07,1385.2040010814642
2005-08,1379.977173354857
2005-09,1441.607900337984
2005-10,1410.6768516840991
2005-11,1498.347877728685
2005-12,1559.0230712827681
2006-01,1611.4200510918552
2006-02,1621.2333683776117
2006-03,1671.5993804916836
2006-04,1641.7430452781268
2006-05,1520.1731024007702
2006-06,1504.3354831236925
2006-07,1462.1086106797834
2006-08,1499.7916283266097
2006-09,1519.920513669979
2006-10,1572.5852489596066
2006-11,1560.4416763390132
2006-12,1589.2659913185862
2007-01,1638.1034473410964
2007-02,1623.1811959052068
2007-03,1643.6411470459618
2007-04,1649.3834761713015
2007-05,1716.7625717054843
2007-06,1698.4857074757786
2007-07,1611.8233208390013
2007-08,1576.9652491207266
2007-09,1544.7711010574535
2007-10,1589.0813079294448
2007-11,1447.0287134849382
2007-12,1428.147569287502
2008-01,1307.0460541015793
2008-02,1277.5721535260495
2008-03,1206.168316232853
2008-04,1281.4572574842632
2008-05,1335.4132473587088
2008-06,1213.986757157924
2008-07,1210.26208817199
2008-08,1286.2092133574104
2008-09,1181.1430032877456
2008-10,1020.5152380997007
2008-11,932.4833205281749
2008-12,899.0677015613861
2009-01,903.4977599011654
2009-02,814.8174602641469
2009-03,844.4618303295399
2009-04,982.9058597152786
2009-05,994.132910922252
2009-06,1017.0164941069095
2009-07,1096.0293360617661
2009-08,1142.590184562466
2009-09,1181.9443306665587
2009-10,1125.8937501224711
2009-11,1133.6478551185926
2009-12,1248.5521587311325
2010-01,1257.9970245474467
2010-02,1321.2430332894726
2010-03,1436.3192891374063
2010-04,1526.237044655262
2010-05,1505.1454319132556
2010-06,1433.8435632563392
2010-07,1446.714367487238
2010-08,1416.3142742945865
2010-09,1466.4029401133776
2010-10,1492.0005943458236
2010-11,1619.739842237134
2010-12,1714.2648687914655
2011-01,1689.2382245081076
2011-02,1748.5833938175908
2011-03,1718.169576160832
