Date,AC ASIA PACIFIC SMALL CAP
1998-12,392.9495144968493
1999-01,408.26958677883624
1999-02,417.7774415092241
1999-03,475.29239031041914
1999-04,544.6351121372339
1999-05,533.5658389791593
1999-06,612.1419717620206
1999-07,614.1079097745027
1999-08,640.8410956894603
1999-09,644.0282585180371
1999-10,647.259662760121
1999-11,681.904156751307
1999-12,670.0452370555026
2000-01,682.1123068333412
2000-02,678.5564243937205
2000-03,718.8880821139353
2000-04,676.5449907298718
2000-05,651.443781186776
2000-06,677.3241725392036
2000-07,640.3614941888328
2000-08,698.9930113732565
2000-09,650.6355903358001
2000-10,616.2385278290125
2000-11,596.8340433946687
2000-12,525.2608869187451
2001-01,549.9131356454573
2001-02,558.2679587908015
2001-03,549.0153628356228
2001-04,583.9550309760897
2001-05,626.4130584464225
2001-06,614.889232765634
2001-07,558.2452490083921
2001-08,544.9458945207145
2001-09,491.1007517206491
2001-10,515.1048850464698
2001-11,522.6943492615042
2001-12,508.4831972029331
2002-01,527.2680762988548
2002-02,541.5377278324471
2002-03,570.6505023109755
2002-04,569.67482147566
2002-05,577.335693132652
2002-06,523.0258214546583
2002-07,507.8266143723018
2002-08,504.1079481371973
2002-09,469.912410134688
2002-10,452.26972884831457
2002-11,457.938445277516
2002-12,428.4014568295775
2003-01,423.2262946989681
2003-02,427.3726132653541
2003-03,415.7348949950545
2003-04,422.05744303268966
2003-05,426.7715376496509
2003-06,468.1542211429454
2003-07,491.7494232317952
2003-08,542.8012578320626
2003-09,543.9027933617468
2003-10,583.7284862211992
2003-11,543.3781281710098
2003-12,549.232317903551
2004-01,577.9994489842727
2004-02,587.8246415327935
2004-03,658.8482846047942
2004-04,651.6157459801949
2004-05,612.0321804789731
2004-06,647.3826731578072
2004-07,621.2182054694508
2004-08,626.7859023545395
2004-09,614.863728498394
2004-10,615.3648176106302
2004-11,624.1023895620716
2004-12,639.107927198741
2005-01,680.887886774618
2005-02,691.8292984947191
2005-03,695.5536268667126
2005-04,687.9978907538487
2005-05,713.6908752621586
2005-06,749.0602385801978
2005-07,768.3684845288798
2005-08,772.0392801983525
2005-09,830.4905406656057
2005-10,825.4538902968496
2005-11,877.3363506304578
2005-12,954.0249019716318
2006-01,968.2287296772502
2006-02,955.5913987150361
2006-03,977.1337468516132
2006-04,971.943626387524
2006-05,893.5035185456596
2006-06,868.5023764659587
2006-07,846.5931458594474
2006-08,865.142289545058
2006-09,878.7374906127167
2006-10,888.9147447328776
2006-11,887.5017972358421
2006-12,909.8712881737088
2007-01,931.787547861293
2007-02,946.4381489493278
2007-03,956.3805834744877
2007-04,956.3362126931753
2007-05,1000.0
