Date,EFM LATIN AMERICA & CARIBBEAN SMALL CAP
2010-11,1000.0
2010-12,1026.6057787463847
2011-01,948.1419883097916
2011-02,919.9610342671641
2011-03,926.8857195668688
2011-04,930.8588052350888
2011-05,942.6514654498707
2011-06,894.0731699878179
2011-07,867.1576578515677
2011-08,807.5510351032112
2011-09,688.626796656845
2011-10,769.9185898815555
2011-11,742.7965672319802
2011-12,748.7647030266329
2012-01,849.4658990759608
2012-02,901.8166810847127
2012-03,904.5381772959319
2012-04,885.8040416752591
2012-05,828.7606312865754
2012-06,836.1973298867974
2012-07,871.9274523798534
2012-08,899.6120920944878
2012-09,922.8706589525871
2012-10,927.2469362012632
2012-11,899.9352118307963
2012-12,960.4890401425545
2013-01,986.0585575008051
2013-02,1018.5535819199358
2013-03,1022.377464154053
2013-04,970.5571113618805
2013-05,899.1886487300507
2013-06,793.4110731563195
2013-07,747.3809362647457
2013-08,725.0507615502328
2013-09,767.6441870640399
2013-10,759.7995936384327
2013-11,714.6315148307211
2013-12,703.0249264762806
2014-01,655.7356618277636
2014-02,644.5467082783537
2014-03,684.7554819980253
2014-04,686.6959521290784
2014-05,717.9920518048149
2014-06,740.0153692680068
2014-07,728.384854863191
2014-08,778.9719774178377
2014-09,722.4431690269113
2014-10,729.6920304717582
2014-11,703.0162556674262
2014-12,661.7332684509794
2015-01,645.6044954546852
2015-02,670.2844531792599
2015-03,656.9058114868221
2015-04,670.7442346106448
2015-05,650.2660443520775
2015-06,628.3200785198503
2015-07,591.8157577241227
2015-08,524.8746414267008
2015-09,503.8786348967919
2015-10,547.0971463436157
2015-11,553.0413180723122
2015-12,523.6185864052277
2016-01,491.42255275853194
2016-02,511.48558100562104
2016-03,560.219838601037
2016-04,585.5034130010897
2016-05,566.0838687655331
2016-06,618.5961601349123
2016-07,656.1431020755207
2016-08,657.5608163072436
2016-09,650.909720718493
2016-10,725.139609847646
2016-11,662.6650090849565
2016-12,673.8317441478805
2017-01,718.2452205218842
2017-02,769.3705072902707
2017-03,782.3024169216575
2017-04,781.079747424219
2017-05,740.3088494026791
2017-06,738.6925495745016
2017-07,780.7896898796622
2017-08,821.3185968539148
2017-09,846.4157348019951
2017-10,828.4868080083764
2017-11,786.287831737503
2017-12,822.0628655825964
2018-01,858.6212161442477
2018-02,856.4929897489214
2018-03,832.4150738073786
2018-04,839.308588382652
2018-05,749.2319404240444
2018-06,720.2788888752933
2018-07,774.0276860202766
2018-08,714.4787594173996
2018-09,730.2798756417995
2018-10,755.1244789725273
2018-11,757.0903676510472
2018-12,755.4768338776589
2019-01,862.5487641445657
2019-02,845.3385286095429
2019-03,830.86473861387
2019-04,846.2557516574312
2019-05,841.9698625682954
2019-06,887.3701326359231
2019-07,947.4736981729997
2019-08,870.8730506798305
2019-09,901.1497443959
2019-10,921.8437504550296
2019-11,915.1055942508042
2019-12,1032.2780484590317
2020-01,1016.0992474894806
2020-02,900.3992198717335
2020-03,522.1825268979558
2020-04,570.2773927376513
2020-05,594.236726704888
2020-06,646.1262577759907
2020-07,684.0063048943016
2020-08,658.0130134270834
2020-09,628.9374581223726
2020-10,618.23905806483
2020-11,738.4869273991673
2020-12,795.2912209752571
2021-01,749.2320533701502
2021-02,741.762467271927
2021-03,796.1926111294287
2021-04,824.3177234501692
2021-05,879.5690129936329
2021-06,939.9852722770086
2021-07,884.4955607373471
2021-08,874.410823507268
2021-09,821.1893670033535
2021-10,741.1381024683709
2021-11,723.8037176366776
2021-12,771.1322094053718
2022-01,837.6766642916373
2022-02,828.6134151803767
2022-03,955.8786362572267
2022-04,898.847522232246
2022-05,923.2267417234374
2022-06,757.9017126322688
2022-07,818.0907203704029
2022-08,878.0566883674862
2022-09,849.2932738062292
2022-10,931.4406503543643
2022-11,853.7916456872618
2022-12,810.8991458994518
2023-01,880.8798102186754
2023-02,834.5565627457095
2023-03,840.8145040317228
2023-04,847.4018646095109
2023-05,931.7425595808587
2023-06,1004.8615191254968
2023-07,1044.5702552626963
