Date,FM AFRICA SMALL CAP
2010-11,1000.0
2010-12,961.1349458280724
2011-01,968.2020995005827
2011-02,896.4128008239126
2011-03,815.6814916192285
2011-04,823.7404121760447
2011-05,856.2726709264751
2011-06,832.8154773393942
2011-07,781.9498812865885
2011-08,705.0924349658632
2011-09,663.427012692773
2011-10,636.8419651399234
2011-11,621.5965013689124
2011-12,635.4076260680528
2012-01,619.3142512739474
2012-02,641.950773967994
2012-03,631.292594360668
2012-04,674.4151716837399
2012-05,705.95079797451
2012-06,649.6010148490371
2012-07,688.8130721473409
2012-08,679.0099811962474
2012-09,710.1994763026535
2012-10,736.2599214854943
2012-11,730.8998208782882
2012-12,740.3537409817475
2013-01,848.2478246265753
2013-02,876.7530193153564
2013-03,922.6308469457348
2013-04,862.9247431923365
2013-05,978.3473359910523
2013-06,925.3859748811
2013-07,927.0260383461886
2013-08,868.2919556258063
2013-09,862.0851571281462
2013-10,915.4974804125151
2013-11,966.5005294932511
2013-12,1023.861936192012
2014-01,1001.413779502964
2014-02,971.5855659901723
2014-03,927.0274151483512
2014-04,926.1047275517168
2014-05,973.1937322232064
2014-06,1026.015021361648
2014-07,1046.8928605996784
2014-08,1079.3644778358157
2014-09,1108.3581240206984
2014-10,1023.7513293472316
2014-11,934.5733792740558
2014-12,869.3058610342276
2015-01,861.1176457884634
2015-02,834.7465331032502
2015-03,869.2022885903685
2015-04,871.4301270861082
2015-05,870.9594080960487
2015-06,854.9736390874697
2015-07,798.6439882047251
2015-08,754.8486720691886
2015-09,735.2626633792855
2015-10,692.313903326517
2015-11,694.2389020040871
2015-12,660.542571454529
2016-01,636.5297783195348
2016-02,608.2734833208776
2016-03,597.227609745712
2016-04,612.9252763042616
2016-05,654.8742785609601
2016-06,593.5010786864285
2016-07,562.2515774313214
2016-08,550.637553405484
2016-09,560.7248718388571
2016-10,566.5302735966235
2016-11,582.5923141380676
2016-12,611.9462358342544
2017-01,619.754032028663
2017-02,621.9280663170183
2017-03,621.0175863323509
2017-04,632.3588772932575
2017-05,646.9988431183693
2017-06,674.6543548740303
2017-07,678.7660477499209
2017-08,664.5693258162597
2017-09,649.6082170228839
2017-10,663.3267172614803
2017-11,668.9579518687958
2017-12,681.6013469698343
2018-01,722.1561364273037
2018-02,718.9830321828144
2018-03,721.50108397157
2018-04,717.7740983035532
2018-05,689.2770495947333
2018-06,692.0314572432006
2018-07,678.1851875453114
2018-08,656.5458935603307
2018-09,619.5472664334436
2018-10,606.5380786616564
2018-11,590.810374202085
2018-12,591.5578855113692
2019-01,591.9834978918263
2019-02,585.9728336291944
2019-03,568.1559439241577
2019-04,561.2261081232634
2019-05,549.2367040085409
2019-06,554.7486481044422
2019-07,563.4652525937832
2019-08,559.0369376116007
2019-09,563.4562564444349
2019-10,560.7757788949709
2019-11,586.0887111821112
2019-12,606.7229001762382
2020-01,614.3355034624484
2020-02,562.6653463196388
2020-03,439.1784517410531
2020-04,460.35374794726215
2020-05,483.10817226143223
2020-06,480.0735046847085
2020-07,447.06034252122527
2020-08,453.60956158341554
2020-09,466.76056090776507
2020-10,486.82523711029216
2020-11,507.609240700032
2020-12,516.7384867721495
2021-01,533.81609484046
2021-02,519.2423433739835
2021-03,540.5948319990578
2021-04,554.4489515726474
2021-05,572.0809861993123
2021-06,596.7920389060093
2021-07,612.9264411909439
2021-08,635.0086006347714
2021-09,651.2506946114878
2021-10,673.2399680436571
2021-11,668.3961773192635
2021-12,677.7836985374848
2022-01,706.1191697979635
2022-02,689.6024259350642
2022-03,682.9725096953493
2022-04,717.848513255429
2022-05,700.1874071588365
2022-06,699.0650692438978
2022-07,706.912323198192
2022-08,710.4796515919611
2022-09,710.2533878949586
2022-10,677.1410117806479
2022-11,654.221070526621
2022-12,643.2653672444713
2023-01,646.0315989667364
2023-02,676.8986489740893
2023-03,643.6258269417546
2023-04,652.5090824195958
2023-05,716.9820428467145
2023-06,665.248464588413
2023-07,684.4383364223667
