Date,EUROPE ex EMU SMALL CAP
2000-12,1000.0
2001-01,1068.7581762304876
2001-02,1034.3793528667284
2001-03,977.0230591443618
2001-04,1047.673481116041
2001-05,1111.2499800896355
2001-06,1063.159165423239
2001-07,1004.5543377563014
2001-08,985.9256238508756
2001-09,805.8882367849238
2001-10,857.6200721890611
2001-11,939.1298950794927
2001-12,973.6765842137808
2002-01,971.0351305199982
2002-02,968.7166641087382
2002-03,1034.9300995915228
2002-04,1031.9456360984104
2002-05,998.6999847982755
2002-06,900.0243771026908
2002-07,803.0746504099807
2002-08,787.6164902700751
2002-09,715.0291966323978
2002-10,729.9525741852576
2002-11,752.318534790993
2002-12,689.3921044171315
2003-01,625.8939683551387
2003-02,604.691627159123
2003-03,601.3660462384042
2003-04,668.2047549496218
2003-05,714.2258771037625
2003-06,749.0002934564368
2003-07,806.907069165753
2003-08,871.8372542169092
2003-09,853.3553810153822
2003-10,928.1796909069274
2003-11,921.6113025511463
2003-12,928.9321641047075
2004-01,1012.7558320385428
2004-02,1068.5545096503881
2004-03,1065.00185320388
2004-04,1062.9774137986115
2004-05,1054.8689210722246
2004-06,1092.9184518680702
2004-07,1054.0332920201897
2004-08,1039.2148749949295
2004-09,1066.5596939148475
2004-10,1077.2344372748987
2004-11,1137.464033109674
2004-12,1168.6969449408969
2005-01,1234.4735400548109
2005-02,1264.963867613973
2005-03,1274.6872523905968
2005-04,1237.1825867751556
2005-05,1297.8901987629586
2005-06,1352.5015121642166
2005-07,1414.2112272057411
2005-08,1461.1116643289456
2005-09,1512.9643441135886
2005-10,1451.4436865222106
2005-11,1530.288437553567
2005-12,1624.812645475099
2006-01,1724.4049587904562
2006-02,1796.4383099422814
2006-03,1865.7137366210877
2006-04,1926.024609026043
2006-05,1828.2645148205224
2006-06,1805.6845552735101
2006-07,1793.4698847415448
2006-08,1845.1836363989803
2006-09,1906.8658566167514
2006-10,1995.8551076767483
2006-11,2054.0447650283745
2006-12,2163.1805930731666
2007-01,2215.724885155439
2007-02,2174.7602508737987
2007-03,2252.337407627926
2007-04,2322.2238704709425
2007-05,2372.381335143653
2007-06,2316.111024751483
2007-07,2260.378076941143
2007-08,2176.391395136305
2007-09,2039.8918247223505
2007-10,2173.922307569609
2007-11,1934.8250302266783
2007-12,1874.8188608690264
2008-01,1669.3770914907857
2008-02,1715.9392353579847
2008-03,1642.3042508156502
2008-04,1698.634781115484
2008-05,1725.6926052726703
2008-06,1574.3457304801434
2008-07,1514.0089491747613
2008-08,1559.7009250285705
2008-09,1315.4081908367095
2008-10,1051.2485031899375
2008-11,948.1556281341245
2008-12,873.2100905212685
2009-01,920.3829895863969
2009-02,875.6093453303837
2009-03,891.785689096563
2009-04,1097.4760885303615
2009-05,1153.2224977391072
2009-06,1157.3907258497609
2009-07,1260.3965257336286
2009-08,1359.0524763992173
2009-09,1392.560843736443
2009-10,1386.8020560267469
2009-11,1367.2777855518054
2009-12,1464.550168725308
2010-01,1512.5001775848766
2010-02,1496.1397770765466
2010-03,1644.971867637397
2010-04,1716.5295183061833
2010-05,1610.1516921782427
2010-06,1612.5569679677556
2010-07,1693.7720752391958
2010-08,1684.270641301568
2010-09,1774.341823482603
2010-10,1817.9357884561339
2010-11,1863.4543426200996
2010-12,2036.2980579354391
2011-01,2012.3156304145932
2011-02,2037.2502725122151
2011-03,1983.5961210928758
2011-04,2051.0542327170356
2011-05,2081.4654267292076
2011-06,1978.494291941161
2011-07,1969.8169128241252
2011-08,1760.989720867132
2011-09,1652.8288360321233
2011-10,1781.7408164162116
2011-11,1753.909499293637
2011-12,1769.1154286994529
2012-01,1928.631486459027
2012-02,2053.045786092
2012-03,2058.4944279637257
2012-04,2099.041853210519
2012-05,1970.0157995557222
2012-06,2006.033472170655
2012-07,2101.1571641036235
2012-08,2148.4878108210764
2012-09,2214.0984290919146
2012-10,2224.3216748341406
2012-11,2219.666738961956
2012-12,2288.2421129684976
2013-01,2310.7441524345777
2013-02,2434.0652530044326
2013-03,2509.651911426089
2013-04,2506.809645742081
2013-05,2586.9338723757323
2013-06,2477.369049274966
2013-07,2640.617184895653
2013-08,2676.5566208857754
2013-09,2801.795216914594
2013-10,2897.228223380026
2013-11,2958.1331101560295
2013-12,3048.3143810087113
2014-01,3053.7796002702435
2014-02,3262.63124434588
2014-03,3185.86050296303
2014-04,3138.03054298148
2014-05,3224.51927469294
2014-06,3206.8944413808968
2014-07,3160.444827520528
2014-08,3229.7603376429392
2014-09,3168.677356245502
2014-10,3168.699734189159
2014-11,3202.1712731268512
2014-12,3310.810636015085
2015-01,3476.5574841274847
2015-02,3806.970082309366
2015-03,3835.329337993245
2015-04,3920.9665797105627
2015-05,4115.203994537771
2015-06,4009.450864785465
2015-07,4095.906177039883
2015-08,3883.4253256471775
2015-09,3785.3932585568227
2015-10,4000.174996618892
2015-11,4200.750720076787
2015-12,4078.923236071168
2016-01,3722.782105944608
2016-02,3727.674439047738
2016-03,3829.6732902547387
2016-04,3853.7363604854622
2016-05,4047.032685264427
2016-06,3639.5197275012265
2016-07,3827.6604133651867
2016-08,3898.9527436008348
2016-09,3931.3336590652398
2016-10,3773.82053951745
2016-11,3903.8788740161895
2016-12,4049.5932857667663
2017-01,4078.5248755048638
2017-02,4228.074014310287
2017-03,4267.205116223062
2017-04,4507.499245990166
2017-05,4489.450298582369
2017-06,4370.888841374387
2017-07,4401.41249429309
2017-08,4341.198076616203
2017-09,4525.498860861367
2017-10,4639.799865909999
2017-11,4530.375804319525
2017-12,4669.046255959899
2018-01,4706.330181843836
2018-02,4568.944782437665
2018-03,4504.940057644071
2018-04,4720.9906562954975
2018-05,4896.939462281902
2018-06,4859.456000122115
2018-07,4907.1471991609815
2018-08,4889.82802274902
2018-09,4799.7714680655745
2018-10,4447.852052885673
2018-11,4259.342581229516
2018-12,3996.845425038626
2019-01,4374.26494421715
2019-02,4529.634294688614
2019-03,4584.5070662489825
2019-04,4791.247225715556
2019-05,4530.953629724119
2019-06,4609.876217238834
2019-07,4582.378895941497
2019-08,4504.801382805705
2019-09,4701.70546585486
2019-10,4822.169169147198
2019-11,5074.115466074816
2019-12,5360.974054910414
2020-01,5267.949956185664
2020-02,4803.4657458593165
2020-03,3768.6407586678806
2020-04,4234.309819096141
2020-05,4442.569465469165
2020-06,4456.641469937051
2020-07,4526.819079299486
2020-08,4817.84562864728
2020-09,4774.418464110954
2020-10,4625.07223887188
2020-11,5241.3010170717735
