Date,AC EUROPE SMALL CAP
1998-12,347.15627953898513
1999-01,356.17033429710074
1999-02,367.3461224962535
1999-03,376.4667260326894
1999-04,396.7134471618958
1999-05,401.1356808083187
1999-06,412.4498451505583
1999-07,414.67993766319756
1999-08,436.6958577338013
1999-09,436.03515380509776
1999-10,442.4803388537964
1999-11,474.3015992048503
1999-12,506.9614472124662
2000-01,529.9428956880386
2000-02,568.159853697919
2000-03,554.7488668569935
2000-04,535.7727604134017
2000-05,521.2224531539899
2000-06,515.8975456062176
2000-07,524.4189162085307
2000-08,545.1405818789608
2000-09,535.3011857775795
2000-10,517.4434285216292
2000-11,474.83583120228275
2000-12,469.9994602275508
2001-01,481.0321787028068
2001-02,458.4927697348581
2001-03,431.3760725970361
2001-04,450.63641346185085
2001-05,461.8364497201541
2001-06,434.88042794720184
2001-07,414.1841617971375
2001-08,400.93642590873236
2001-09,338.8493135028532
2001-10,360.99217298749676
2001-11,386.5629147460519
2001-12,394.92507788238817
2002-01,402.4636118103009
2002-02,399.77897648443235
2002-03,418.2473691983326
2002-04,418.36577368898037
2002-05,411.8715751560156
2002-06,374.4297698574826
2002-07,337.68676772112786
2002-08,333.47229477408933
2002-09,293.5769326012608
2002-10,306.28250488968433
2002-11,322.26499824166626
2002-12,301.18519928047994
2003-01,285.97872445935377
2003-02,274.934468531911
2003-03,270.54901320146394
2003-04,299.8388833715815
2003-05,316.13536748103706
2003-06,330.2626375029172
2003-07,350.1853219554287
2003-08,370.4961501103979
2003-09,364.15852251373906
2003-10,391.8779127993511
2003-11,393.13442153720973
2003-12,396.0106293151889
2004-01,422.04660710151575
2004-02,441.6699511654417
2004-03,439.2689586337637
2004-04,440.8695350381144
2004-05,436.7103506288886
2004-06,451.554089364741
2004-07,440.3466584703541
2004-08,436.89851385206737
2004-09,449.95870715217444
2004-10,452.6089591039615
2004-11,472.24144424210255
2004-12,489.3385663422877
2005-01,517.3947306363128
2005-02,535.2663114855592
2005-03,529.6778348361212
2005-04,514.422599824044
2005-05,543.6228084589595
2005-06,566.5277756024468
2005-07,590.139338132575
2005-08,601.3927440988192
2005-09,629.3042765756666
2005-10,602.2416216805616
2005-11,630.1332868007669
2005-12,660.2696580879975
2006-01,701.2928743149092
2006-02,734.6392577074287
2006-03,759.416498858062
2006-04,776.9473786035915
2006-05,730.8248753716475
2006-06,726.9305125485516
2006-07,729.0700000505814
2006-08,751.8217564686282
2006-09,776.014652042454
2006-10,813.8588855819858
2006-11,833.7577241017657
2006-12,882.4444623483749
2007-01,912.2579146730618
2007-02,902.0619422154058
2007-03,945.304417626032
2007-04,973.0624389670568
2007-05,1000.0
2007-06,981.7837380362896
2007-07,959.8130976173173
2007-08,928.8638027294412
2007-09,904.5897672911215
2007-10,942.5320795134115
2007-11,856.6355546659369
2007-12,837.027812639929
2008-01,736.7681263840059
2008-02,753.6075786762581
2008-03,727.0263192082249
2008-04,753.3813466640007
2008-05,764.316441388714
2008-06,690.2567413938277
2008-07,662.3852941280614
2008-08,682.0681278000579
2008-09,572.0687981560686
2008-10,454.1717756841818
2008-11,414.50979733093146
2008-12,397.70601193723917
2009-01,403.1960086860328
2009-02,378.2178838485365
2009-03,388.3678582102308
2009-04,474.3827294355664
2009-05,505.06576775659306
2009-06,508.18409588021325
2009-07,549.3025543703017
2009-08,598.2664172532144
2009-09,628.0423500484432
2009-10,611.3540389443292
2009-11,606.5334804188751
2009-12,643.4110377262764
2010-01,658.9991713618168
2010-02,647.8191111647521
2010-03,709.8202168011276
2010-04,731.0210472451784
2010-05,679.3765066046188
2010-06,674.8484193517155
2010-07,710.9263685652495
2010-08,701.1733209358672
2010-09,742.6254105272009
2010-10,770.5153162033856
2010-11,770.3143200744648
2010-12,841.3385743945473
2011-01,837.6683517621485
2011-02,847.5221253995297
2011-03,839.8620607375948
2011-04,865.9359163495566
2011-05,866.4518837100446
2011-06,831.5397188748335
2011-07,805.1505546761052
2011-08,718.6175172615661
2011-09,668.0798454948202
2011-10,712.7199516030714
2011-11,690.9101839468617
2011-12,691.2653840265472
2012-01,755.4230458695649
2012-02,800.5142902709533
2012-03,801.6449340930143
2012-04,804.1647772808417
2012-05,747.4976499033969
2012-06,765.112424514086
2012-07,792.9820898065248
2012-08,810.5288287522056
2012-09,836.620308643152
2012-10,845.9394410878232
2012-11,851.1909442476036
2012-12,882.9374660805424
2013-01,908.4589386573518
2013-02,942.6876608213277
2013-03,954.8795533019357
2013-04,961.4164493820568
2013-05,997.2756392874569
2013-06,952.1515852543054
