Date,WORLD ex USA SMALL CAP
2000-12,100.0
2001-01,103.9403233095638
2001-02,102.80011775902291
2001-03,99.49867734602375
2001-04,107.86363362299242
2001-05,113.0469908008268
2001-06,110.0086659877271
2001-07,102.1896486837996
2001-08,99.34161587743247
2001-09,86.32973784365274
2001-10,91.6154396453819
2001-11,95.82046573211447
2001-12,94.6542584377246
2002-01,96.06134711217308
2002-02,97.1380046853216
2002-03,102.74175461391971
2002-04,102.80868248839064
2002-05,103.83976454475139
2002-06,94.23811003254632
2002-07,87.22655827729969
2002-08,86.19693990962736
2002-09,78.99954515237155
2002-10,78.19967505104486
2002-11,80.04301496438707
2002-12,74.64993768841224
2003-01,72.19222986330047
2003-02,71.3926917590451
2003-03,69.93781929046055
2003-04,74.71675743964485
2003-05,77.21325389019276
2003-06,83.23586364470376
2003-07,87.49654608927118
2003-08,95.61155963225876
2003-09,95.32687016796856
2003-10,103.12229845520538
2003-11,100.10113860989787
2003-12,100.96486803438307
2004-01,106.92597075993926
2004-02,110.15665800840387
2004-03,115.77047072967837
2004-04,114.49511800937518
2004-05,111.24699587734112
2004-06,117.33621202631657
2004-07,113.3603543599995
2004-08,112.90299206396799
2004-09,113.53869098511437
2004-10,114.97395641189415
2004-11,118.86056191706608
2004-12,121.67192712368632
2005-01,128.82828082593204
2005-02,131.90779818787786
2005-03,132.63496149710488
2005-04,129.84858024548245
2005-05,136.16438479567572
2005-06,142.60876556603765
2005-07,148.32329100343486
2005-08,151.01160495862706
2005-09,160.3383438305048
2005-10,155.5299017132196
2005-11,163.29535248931302
2005-12,175.92907347198678
2006-01,183.08049467111607
2006-02,184.13905365051357
2006-03,190.06138383060656
2006-04,191.17869506886552
2006-05,177.221847040458
2006-06,173.74858255561517
2006-07,169.8509743039469
2006-08,174.30966790024542
2006-09,175.73156249794468
2006-10,181.35051073050877
2006-11,182.1432808989293
2006-12,188.5635821941252
2007-01,195.26653951467426
2007-02,195.48308618937696
2007-03,200.55173575076753
2007-04,203.26938682609202
2007-05,209.29633484436846
2007-06,208.1557765469051
2007-07,204.13166611213128
2007-08,194.20222653337862
2007-09,190.42940293683043
2007-10,199.85706138922046
2007-11,180.82515795102913
2007-12,176.2777676088662
2008-01,157.20796573651756
2008-02,160.63654976417888
2008-03,152.2954104994873
2008-04,158.90979561304735
2008-05,162.5525410040133
2008-06,148.02760371053546
2008-07,141.96428519542553
2008-08,144.9127307674647
2008-09,125.22761080579222
2008-10,104.49235273664294
2008-11,99.3802716904164
2008-12,96.7990892563468
2009-01,98.91390767919759
2009-02,90.70024066537678
2009-03,92.40127289588403
2009-04,106.9321215214519
2009-05,115.01944145183964
2009-06,117.5212785594667
2009-07,125.63067358677351
2009-08,133.69827235164453
2009-09,138.66939529656426
2009-10,135.26414664255273
2009-11,133.97922287703983
2009-12,142.0022579379444
2010-01,144.66049289351548
2010-02,146.50201898696378
2010-03,158.8210271945017
2010-04,164.89626944343823
2010-05,157.30937739679615
2010-06,156.17341930413033
2010-07,159.44794938573523
2010-08,159.22431002443597
2010-09,165.09339215818954
2010-10,168.86099812941654
2010-11,175.58741215065012
2010-12,189.6853699695289
2011-01,186.60037236560686
2011-02,190.4994207402927
2011-03,185.3353937046215
2011-04,186.14192603118966
2011-05,186.93964418546756
2011-06,181.43541982402212
2011-07,182.08674423471464
2011-08,167.40175087498403
2011-09,159.07626274990048
2011-10,165.4571220434588
2011-11,162.84896848987515
2011-12,165.63941907414235
2012-01,177.84528968123982
2012-02,183.91341444559805
2012-03,183.62657247612594
2012-04,183.8811233042464
2012-05,173.85341624072407
2012-06,175.33138072133542
2012-07,182.09742247203513
2012-08,183.04966635919374
2012-09,187.9120232867837
2012-10,187.48893383245715
2012-11,187.7879763842253
2012-12,192.33807297057072
2013-01,195.8241966229364
2013-02,204.06114242083567
2013-03,211.92573449304004
2013-04,212.51341369156265
2013-05,211.26445206648938
2013-06,202.4150952844231
2013-07,210.5575732052957
2013-08,211.6863569361298
2013-09,223.5771596435209
2013-10,229.20987120096362
2013-11,229.1925950862577
2013-12,231.8560431277404
2014-01,232.84848586199476
2014-02,240.27899604725013
2014-03,240.02719177720135
2014-04,237.9479096156715
2014-05,245.0073394955835
2014-06,249.83118728206256
2014-07,249.06238325496926
2014-08,253.65180329652853
2014-09,248.55448686306022
2014-10,244.28941143598277
2014-11,245.30895737552734
2014-12,250.84387609305222
2015-01,266.624178832952
2015-02,285.43796626150237
2015-03,294.25584956368755
2015-04,296.50614637721185
2015-05,305.0980458743186
2015-06,295.9008569796241
2015-07,297.99449396470885
2015-08,280.7855155620009
2015-09,271.83174042891426
2015-10,291.0084239272247
2015-11,303.75671188188784
2015-12,295.7180358850809
2016-01,274.30226666595985
2016-02,274.6546803639121
2016-03,283.85044372894254
2016-04,291.49482283472196
2016-05,300.5256534299113
2016-06,287.9448098992644
