Date,WORLD ex EUROPE SMALL CAP
2000-12,1000.0
2001-01,1038.6226781174876
2001-02,1025.2143487943654
2001-03,1027.8018409423069
2001-04,1114.9313655980473
2001-05,1186.0486872860424
2001-06,1209.8811949124056
2001-07,1122.514611351337
2001-08,1074.2839460670507
2001-09,949.0691931398161
2001-10,1024.7180389027496
2001-11,1089.7200534061567
2001-12,1127.1968513241823
2002-01,1140.6463561369844
2002-02,1121.2028010677448
2002-03,1202.4695317852998
2002-04,1177.0702318975775
2002-05,1128.2578548863435
2002-06,1005.7901623116647
2002-07,902.7037451103851
2002-08,901.6824567549153
2002-09,837.1506553317425
2002-10,838.0173375592059
2002-11,884.8418989325611
2002-12,795.0464078903349
2003-01,767.0722240522407
2003-02,756.4975422948339
2003-03,749.8854609502271
2003-04,799.4228515753705
2003-05,835.7659659100642
2003-06,887.1017465271797
2003-07,940.1857685381927
2003-08,1032.8175176909408
2003-09,983.7385025896746
2003-10,1074.2006124083957
2003-11,1053.8653456472296
2003-12,1039.6861931989079
2004-01,1094.2909694547686
2004-02,1107.5368165134348
2004-03,1172.5907594039027
2004-04,1138.0670688645187
2004-05,1123.102145178022
2004-06,1180.826792724364
2004-07,1128.2436536649718
2004-08,1116.841212669776
2004-09,1128.9039338997734
2004-10,1130.1731744343642
2004-11,1159.9991786659907
2004-12,1176.5026906503288
2005-01,1199.5310502569266
2005-02,1206.8815674152108
2005-03,1203.7331428944944
2005-04,1161.879968731398
2005-05,1263.270804321115
2005-06,1327.7958270681356
2005-07,1389.7160058209577
2005-08,1375.0049646025352
2005-09,1438.7620308693956
2005-10,1413.0670271031931
2005-11,1502.9512417434519
2005-12,1558.1724594957768
2006-01,1603.697612810851
2006-02,1603.0431304466028
2006-03,1650.5223821328796
2006-04,1605.2583795644766
2006-05,1478.8536608106551
2006-06,1464.0871210267699
2006-07,1416.2728066978884
2006-08,1451.810960264195
2006-09,1464.802671399787
2006-10,1511.576425765131
2006-11,1487.0225982638135
2006-12,1502.6341389107172
2007-01,1551.1476197309962
2007-02,1540.4574248865401
2007-03,1551.5083679295944
2007-04,1546.7622722190656
2007-05,1617.2623352228354
2007-06,1604.4079523483501
2007-07,1513.5909948637307
2007-08,1485.871014725767
2007-09,1468.7790293661633
2007-10,1500.117049940562
2007-11,1372.4180847004516
2007-12,1359.4706607792418
2008-01,1250.797323142605
2008-02,1210.7344197778107
2008-03,1139.9052771713143
2008-04,1217.5127560181822
2008-05,1274.9150426245471
2008-06,1158.2474993543435
2008-07,1162.265789454186
2008-08,1241.9236627720416
2008-09,1156.1938661821657
2008-10,1010.3280607691647
2008-11,924.9172990276556
2008-12,897.4425856397798
2009-01,895.9503576230447
2009-02,801.731171906222
2009-03,833.0969054679489
2009-04,961.3436771765804
2009-05,966.2743917829862
2009-06,991.9469742357074
2009-07,1066.9976646186385
2009-08,1105.3323940977994
2009-09,1145.4468365413736
2009-10,1081.8494949062829
2009-11,1093.778896772822
2009-12,1210.9486351836795
2010-01,1214.439063669092
2010-02,1289.710295203666
2010-03,1399.2267688816319
2010-04,1491.6240304252424
2010-05,1483.6091808273852
2010-06,1401.973444566135
2010-07,1405.0168491622521
2010-08,1371.788723397117
2010-09,1416.0976755341
2010-10,1439.0651337873328
2010-11,1577.3353584523727
2010-12,1660.530135526202
2011-01,1635.5473210196515
2011-02,1699.259892915579
2011-03,1672.1941408906791
2011-04,1642.3690801234397
2011-05,1665.0363478203865
2011-06,1621.1460951579995
2011-07,1605.7749064042873
2011-08,1480.3732015510686
2011-09,1420.3705797555265
2011-10,1531.274121145751
2011-11,1565.2810327004113
2011-12,1620.6837711850872
2012-01,1719.3714298829402
2012-02,1743.9490355274293
2012-03,1775.6611034131893
2012-04,1772.6830621656202
2012-05,1749.7186924448065
2012-06,1762.0045158500513
2012-07,1810.455304070743
2012-08,1821.335987001471
2012-09,1839.694475766197
2012-10,1804.9006622856398
2012-11,1817.1349724392062
2012-12,1841.7168494863074
2013-01,1892.6271174783776
2013-02,1986.0767200834732
2013-03,2115.0040520017888
2013-04,2074.399801279383
2013-05,2127.6089031882443
2013-06,2087.536064230438
2013-07,2163.111249845247
2013-08,2123.725950824513
2013-09,2205.833739582642
2013-10,2252.4584960077373
2013-11,2289.5800925986155
2013-12,2310.001995696117
2014-01,2313.602090466503
2014-02,2354.1183564577073
2014-03,2356.2089615702243
2014-04,2296.676291225313
2014-05,2362.8795086981736
2014-06,2479.8999864972416
2014-07,2440.6032680647013
2014-08,2577.589044316698
2014-09,2538.5478448608615
2014-10,2629.8747482922417
2014-11,2646.637906571984
2014-12,2753.315266913177
2015-01,2892.969917927091
2015-02,3074.655208098913
2015-03,3241.694600862041
2015-04,3098.6241477553467
2015-05,3214.3023538874445
2015-06,3139.762679440057
2015-07,3127.6427579290103
2015-08,2909.435656314936
2015-09,2791.3142280064526
2015-10,2987.1140352238435
2015-11,3174.6619207972294
2015-12,2984.0160625685803
2016-01,2770.708539261185
2016-02,2785.7040780560724
2016-03,2882.4844250707592
2016-04,2944.5702720694408
2016-05,3066.3056220921317
2016-06,3079.239951387206
2016-07,3222.5329327429263
2016-08,3233.393814527291
2016-09,3250.8776944108577
2016-10,3222.0082804640374
2016-11,3525.530070991067
2016-12,3615.447110419694
2017-01,3600.8035598379624
2017-02,3746.879131411501
2017-03,3727.495355179342
2017-04,3688.7164789652243
2017-05,3558.6420765762014
2017-06,3593.369063974114
2017-07,3532.6039734920305
2017-08,3499.149770436194
2017-09,3659.9248305699184
2017-10,3778.5282817574043
2017-11,3793.154176119969
2017-12,3806.6371850251694
2018-01,3775.033356103467
2018-02,3713.6264782442995
2018-03,3697.8743747442313
2018-04,3783.640957954978
2018-05,4075.22518962341
2018-06,4071.5458231732114
2018-07,4109.0222478412625
2018-08,4263.090106198885
2018-09,4218.847818578768
2018-10,3896.347287657202
2018-11,3969.1002355052397
2018-12,3530.8129914574315
2019-01,3889.3511541229814
2019-02,4080.042694930824
2019-03,4108.246263296104
2019-04,4230.730969533054
2019-05,3976.3259854768494
2019-06,4126.206509098447
2019-07,4279.585718496704
2019-08,4173.495821458645
2019-09,4300.391040548839
2019-10,4295.485478143035
2019-11,4487.146386529366
2019-12,4529.639570361128
2020-01,4464.242521989564
2020-02,4086.939409453862
2020-03,3251.0668944950185
2020-04,3716.200639076454
2020-05,3922.0307272108103
2020-06,3988.68380392469
2020-07,3912.069792633136
2020-08,4077.5992374761677
2020-09,4075.048695093406
2020-10,4158.311871242427
2020-11,4644.295742449801
2020-12,4864.6531905835745
2021-01,5033.073915738305
2021-02,5306.777440037461
2021-03,5603.678795594373
2021-04,5650.993209185312
2021-05,5571.125901311177
2021-06,5815.120087870899
2021-07,5712.293039478813
2021-08,5870.812170927561
2021-09,5845.877975071044
2021-10,6070.12595325308
2021-11,5955.837105404701
2021-12,6090.012209343006
2022-01,5720.349524909147
2022-02,5781.260061956746
2022-03,5910.522668567168
2022-04,5736.000528855622
2022-05,5638.690821735778
2022-06,5258.160443943745
2022-07,5907.89379123132
2022-08,5863.690101208888
2022-09,5441.311319960838
2022-10,5829.017959680446
2022-11,5891.0549765473215
2022-12,5437.4125844272785
2023-01,5838.57722455013
2023-02,5827.78227383976
2023-03,5535.859742988155
2023-04,5400.238038491496
2023-05,5481.934223343696
2023-06,5734.3453007240905
2023-07,5959.713164023722
