Date,EMERGING MARKETS+CHINA A ONSH SMALL CAP
2013-09,3204.362043193906
2013-10,3224.7240709613607
2013-11,3275.6905044703717
2013-12,3190.6453379564036
2014-01,3228.3258623773277
2014-02,3270.443127042547
2014-03,3259.3354078049874
2014-04,3212.4543668102438
2014-05,3353.604987437192
2014-06,3441.2435312711727
2014-07,3668.2698478945254
2014-08,3877.5998307655086
2014-09,4190.3734835733185
2014-10,4233.679285580519
2014-11,4304.604813293117
2014-12,4257.910290875599
2015-01,4727.847165776548
2015-02,4956.306863234088
2015-03,5742.549517154436
2015-04,6233.972583417419
2015-05,7254.977738424262
2015-06,6598.123818731296
2015-07,5709.674765008351
2015-08,4931.2670219556485
2015-09,4798.407297860437
2015-10,5497.800433880056
2015-11,5946.657102086814
2015-12,5966.197740683693
2016-01,4836.37723080517
2016-02,4787.758318870416
2016-03,5200.66633508883
2016-04,5203.185698059038
2016-05,5137.187348073556
2016-06,5331.499389543291
2016-07,5396.656127397052
2016-08,5593.620652792385
2016-09,5586.480520672584
2016-10,5752.945505083823
2017-04,5746.637212
2017-05,5418.719706
2017-06,5459.511161
2017-07,5423.367407
2017-08,5544.271998
2017-09,5588.226848
2017-10,5739.420714
2017-11,5467.262401
2017-12,5520.393554
2018-01,5483.249688
2018-02,5313.02862
2018-03,5282.520097
2018-04,5227.922143222547
2018-05,5279.342389350277
