Date,EFM CEEC ex RU SMALL CAP
2010-11,1000.0
2010-12,1041.8717722202423
2011-01,1075.9912156074108
2011-02,1085.020675862065
2011-03,1076.9749101244226
2011-04,1116.8368127918798
2011-05,1082.4309153274764
2011-06,1036.053148551889
2011-07,975.319923020271
2011-08,833.3314100890611
2011-09,699.982613239301
2011-10,758.3287158730017
2011-11,704.5131704883064
2011-12,689.1858943945458
2012-01,780.196165310106
2012-02,811.2054451388793
2012-03,800.0117707530901
2012-04,787.3029974734256
2012-05,705.8312080270114
2012-06,731.741763092107
2012-07,744.6469378417984
2012-08,726.9905602340687
2012-09,792.3629271968542
2012-10,787.6471189783058
2012-11,798.1047514343621
2012-12,852.8208270211059
2013-01,832.6680550815521
2013-02,823.93016767785
2013-03,791.8935862329071
2013-04,771.1836117696718
2013-05,820.6194057822916
2013-06,781.2413221081932
2013-07,828.6982055387671
2013-08,845.0290691010684
2013-09,887.8761646061002
2013-10,943.4393610862282
2013-11,964.94785550098
2013-12,937.5264767875083
2014-01,943.4744127019521
2014-02,990.6129527992039
2014-03,958.0039685542513
2014-04,967.0586560634317
2014-05,967.0394523056913
2014-06,981.9099110047961
2014-07,955.9839680283393
2014-08,957.9140239992394
2014-09,1000.0814990566023
2014-10,994.9641894900216
2014-11,1015.6589388386227
2014-12,960.4933793018585
2015-01,1021.351316904529
2015-02,1044.361886179749
2015-03,1065.475431479876
2015-04,1086.0865225660837
2015-05,1082.349483966609
2015-06,1017.7123428017226
2015-07,1069.868771842602
2015-08,1014.3058908219842
2015-09,1022.4375286623315
2015-10,1039.6263432704147
2015-11,1018.9140325435536
2015-12,1000.5780565950669
2016-01,933.6263317248028
2016-02,971.9158759917374
2016-03,1008.5809548074928
2016-04,999.7025149721946
2016-05,978.4452263528592
2016-06,956.3706948940508
2016-07,1035.3895162788215
2016-08,1116.1624629970863
2016-09,1160.1644192752856
2016-10,1193.7782512756423
2016-11,1184.2800215382233
2016-12,1230.785575444368
2017-01,1339.1217583496707
2017-02,1411.9326810621785
2017-03,1413.7106902326607
2017-04,1441.9563260334419
2017-05,1449.1245487879967
2017-06,1489.141556121776
2017-07,1515.772682505753
2017-08,1525.8643226806628
2017-09,1535.6474760238777
2017-10,1528.2524102198724
2017-11,1473.2895574202612
2017-12,1481.6067265576053
2018-01,1495.8183023561933
2018-02,1404.3603056257675
2018-03,1363.9683351847846
2018-04,1374.5869313457627
2018-05,1351.6220114833638
2018-06,1273.9507544371927
2018-07,1324.9187201509137
2018-08,1299.1621754448408
2018-09,1246.9822653226506
2018-10,1200.4581536857306
2018-11,1246.3687342522178
2018-12,1211.6047534922084
2019-01,1291.8412690541543
2019-02,1309.1866447574673
2019-03,1291.5946481971957
2019-04,1290.3889318513718
2019-05,1265.53234144902
2019-06,1350.9092424856524
2019-07,1325.4715799096969
2019-08,1280.3858837367866
2019-09,1248.6765566023043
2019-10,1276.4261963439951
2019-11,1307.2556106164527
2019-12,1348.5774559121915
2020-01,1317.8651899116512
2020-02,1169.5898586455544
2020-03,959.6698428452772
2020-04,1105.6539617446456
2020-05,1156.7694808804017
2020-06,1201.8478957118461
2020-07,1204.4470954401372
2020-08,1230.494432495872
2020-09,1194.4158695182937
2020-10,1082.7922541545927
2020-11,1268.1765579048338
2020-12,1352.7880630518312
2021-01,1405.5143075038955
2021-02,1452.7010444160237
2021-03,1425.626481531455
2021-04,1516.4799320001912
2021-05,1682.281191600025
2021-06,1682.635247738573
2021-07,1697.8117454223288
2021-08,1810.8183057254946
2021-09,1798.4753267368949
2021-10,1923.4229910530394
2021-11,1769.4961281669594
2021-12,1796.0500915217135
2022-01,1749.8559952767046
2022-02,1576.6087378468521
2022-03,1720.1397930254557
2022-04,1627.2733260621214
2022-05,1656.3113813027073
2022-06,1568.7474303900196
2022-07,1572.0807315194431
2022-08,1533.1387610026459
2022-09,1348.3005869074836
2022-10,1455.4127455349649
2022-11,1581.8458558402963
2022-12,1606.4601004946353
2023-01,1729.91189067371
2023-02,1713.9871659252826
2023-03,1700.411092561973
2023-04,1823.211241862727
2023-05,1798.5904510461867
2023-06,1917.4555794946675
2023-07,2097.6870351396246
