Date,ASIA APEX SMALL CAP 200
2003-08,538.9299558317957
2003-09,515.9168259450912
2003-10,553.1382982109861
2003-11,538.0107201470242
2003-12,537.3416855743591
2004-01,582.2880695340688
2004-02,607.1342917403451
2004-03,601.6531760020298
2004-04,576.5629608667779
2004-05,547.5575546469164
2004-06,545.5883344751164
2004-07,534.9065092806018
2004-08,561.874686882888
2004-09,576.4644770518597
2004-10,570.5517780211926
2004-11,597.3929856880167
2004-12,610.3707286847455
2005-01,627.3415141348537
2005-02,670.1271360958299
2005-03,656.1434408836222
2005-04,651.5935798476003
2005-05,700.8767385939647
2005-06,745.0847163679788
2005-07,790.9844752468623
2005-08,764.1366316600006
2005-09,835.5265363419782
2005-10,785.661640629153
2005-11,891.6095808326024
2005-12,950.3768511916827
2006-01,966.3826326228651
2006-02,992.1381037487953
2006-03,1021.2549990225698
2006-04,1055.422956926397
2006-05,981.6567231091994
2006-06,947.8501194714609
2006-07,951.233029589999
2006-08,974.5902772261918
2006-09,1027.8006747073414
2006-10,1056.3102744240416
2006-11,1122.0991273032114
2006-12,1161.7792328439102
2007-01,1162.4264404802007
2007-02,1184.9448214925856
2007-03,1232.8331151203965
2007-04,1269.7003123953987
2007-05,1407.8070662891885
2007-06,1498.5042014335472
2007-07,1637.6913670745819
2007-08,1563.627232920422
2007-09,1617.9915048065727
2007-10,1719.122888662006
2007-11,1479.7949804976674
2007-12,1459.1531812492037
2008-01,1210.4384309301183
2008-02,1273.7959997266476
2008-03,1152.1463927558782
2008-04,1249.1671015405582
2008-05,1219.5731312428393
2008-06,1081.6358962258073
2008-07,1042.0237335620363
2008-08,1000.0000000000001
2008-09,840.9579234732888
2008-10,655.1366738848886
2008-11,628.9047847467524
2008-12,680.3809124757381
2009-01,692.9027342081829
2009-02,688.8648699806439
2009-03,767.6661354575376
2009-04,947.3473974659881
2009-05,1092.5397400899735
2009-06,1070.7145721030247
2009-07,1200.1401379331344
2009-08,1135.471566751794
2009-09,1203.319395828169
2009-10,1210.8710189953579
2009-11,1233.283243464362
2009-12,1371.8776443457298
2010-01,1331.757030438239
2010-02,1367.544427777319
2010-03,1492.8562214039925
2010-04,1537.4184148396532
2010-05,1505.977960859956
2010-06,1524.33325639325
2010-07,1524.9763033469294
2010-08,1545.6335956308646
2010-09,1631.4820047565374
2010-10,1645.9566088817996
2010-11,1771.3802159320533
2010-12,1785.2445670595628
2011-01,1764.7854859652875
2011-02,1636.1776810463982
2011-03,1667.147249990827
2011-04,1674.6754027546142
2011-05,1714.1369264510754
2011-06,1668.2931061018908
2011-07,1717.9237865714267
2011-08,1530.807711525025
2011-09,1329.6823371417502
2011-10,1450.629971244496
2011-11,1384.9493011423913
2011-12,1404.5873492487883
2012-01,1523.9707081042143
2012-02,1625.6675836963414
2012-03,1552.086916366371
2012-04,1532.4872753018979
2012-05,1517.9638563990097
2012-06,1497.2442053482844
2012-07,1552.3185670226826
2012-08,1558.6209784394528
2012-09,1604.8189050663846
2012-10,1576.2854667064762
2012-11,1625.5184549212654
2012-12,1643.7710814281304
2013-01,1647.0901277082025
2013-02,1743.5353532532122
2013-03,1805.5156445487069
2013-04,1795.7767330596776
2013-05,1879.0412978349489
2013-06,1715.486650344517
2013-07,1712.621278306927
2013-08,1717.475630629014
2013-09,1769.4169624081171
2013-10,1790.0651380230022
2013-11,1789.5759979547342
2013-12,1780.5489203548489
2014-01,1775.7903059754728
2014-02,1783.9069126553907
2014-03,1768.4861487409526
2014-04,1751.348304299593
2014-05,1813.2545815527762
2014-06,1835.4834774477285
2014-07,1889.291437297529
2014-08,1942.0533097960724
2014-09,1929.013961318229
2014-10,1901.6007182601977
2014-11,1870.453281724416
2014-12,1893.085284234819
2015-01,2066.5235161452442
2015-02,2088.934396083474
2015-03,2255.0818525715113
2015-04,2434.5255192749983
2015-05,2501.260146199129
2015-06,2289.7133871557407
2015-07,2076.5875159948328
2015-08,1836.1893222489546
2015-09,1840.8276181432016
2015-10,1988.9891856815311
2015-11,2049.248054455584
2015-12,1976.239306937902
2016-01,1820.0784412852095
2016-02,1800.7396155470792
2016-03,1850.9545960203995
2016-04,1844.8586851785096
2016-05,1856.1505565966838
2016-06,1865.8325090528865
2016-07,1899.347513508433
2016-08,1986.2308482928281
2016-09,2006.0009763051273
2016-10,1954.1211990210977
2016-11,1963.875248361698
2016-12,1929.935470540118
2017-01,1990.427182062705
2017-02,2134.367873314455
2017-03,2194.7957271999385
2017-04,2164.5317976924116
2017-05,2137.6698689047694
2017-06,2136.1709164907834
2017-07,2154.2292772386913
2017-08,2192.9776930562903
2017-09,2246.2464399954442
2017-10,2384.804140431551
2017-11,2393.5479432571096
2017-12,2413.2605862391365
2018-01,2541.372126339899
2018-02,2470.724414244695
2018-03,2460.795618280379
2018-04,2505.307527458498
2018-05,2693.0826776227987
2018-06,2500.0068894647407
2018-07,2468.002417146169
2018-08,2424.6197306122513
2018-09,2399.5698671131063
2018-10,2080.9096666108376
2018-11,2255.2091457504675
2018-12,2166.3082155764937
2019-01,2276.29968308743
2019-02,2367.240058547461
2019-03,2412.8185898832767
2019-04,2415.0119394159265
2019-05,2202.0922513998103
2019-06,2276.101054819784
2019-07,2322.96707863183
2019-08,2235.5840249926255
2019-09,2313.3657346573664
2019-10,2366.368819082806
2019-11,2367.81553565063
2019-12,2464.1790676905516
2020-01,2334.2367423082233
2020-02,2288.5706347568134
2020-03,1967.2370429487498
2020-04,2253.966705592343
2020-05,2290.3482741867615
2020-06,2497.0232356777747
2020-07,2564.112612502897
2020-08,2627.5759219076294
2020-09,2614.948835895788
2020-10,2659.2201125561846
2020-11,2913.0723923146247
2020-12,3041.6799811286146
2021-01,3173.0100143158115
2021-02,3437.236606859004
2021-03,3579.2928837374307
2021-04,3701.1536632609823
2021-05,3695.2593772847404
2021-06,3904.5258123935405
2021-07,3867.9538817028833
2021-08,3927.3667701041363
2021-09,3983.6358933027477
2021-10,4048.6437831271273
2021-11,4121.92352934662
2021-12,4246.451796791758
2022-01,4033.2943968824115
2022-02,3971.4789880849553
2022-03,4053.797608391854
2022-04,4036.339272350348
2022-05,3949.7159321783115
2022-06,3635.8916602967347
2022-07,3870.787392105235
2022-08,4051.713275530096
2022-09,3740.697854757841
2022-10,3623.903142037633
2022-11,3895.9570158672414
2022-12,3693.7513783301706
2023-01,3875.5993430940466
2023-02,3938.452592614179
2023-03,3949.7165218591767
2023-04,3930.1719145676643
2023-05,4233.260876190307
2023-06,4389.903899391567
2023-07,4680.4744845927
