Date,GOLDEN DRAGON SMALL CAP
2007-05,1000.0
2007-06,1057.4925397239963
2007-07,1173.6504002927427
2007-08,1110.5325329093735
2007-09,1139.8985916815905
2007-10,1149.0947138094173
2007-11,997.6067115793056
2007-12,983.072699844877
2008-01,823.7469380128377
2008-02,896.9077504889276
2008-03,836.5401920884228
2008-04,897.4841735078605
2008-05,876.1623027714695
2008-06,736.4639313741772
2008-07,720.5935050790475
2008-08,713.6433686214713
2008-09,564.5169056776095
2008-10,472.7766647286055
2008-11,454.33125906981576
2008-12,473.06494510387347
2009-01,486.89006018077976
2009-02,505.32701258566397
2009-03,555.7519745816036
2009-04,662.9496057156086
2009-05,799.6309286879306
2009-06,786.1691144147034
2009-07,899.4612444550858
2009-08,827.977040908248
2009-09,886.1016275079992
2009-10,908.6988983843676
2009-11,955.2366841971486
2009-12,1074.9732564785957
2010-01,1040.0178710233067
2010-02,1066.2177473374568
2010-03,1175.876366461112
2010-04,1209.3603777248377
2010-05,1165.1557754706319
2010-06,1164.7739767148018
2010-07,1175.1890016892462
2010-08,1197.4919375254847
2010-09,1252.2246035273047
2010-10,1262.4842097904498
2010-11,1372.3461739559712
2010-12,1397.9632887618286
2011-01,1367.893933175409
2011-02,1281.4507130791717
2011-03,1268.6601362636252
2011-04,1255.2702078735595
2011-05,1275.343217970606
2011-06,1208.1422991070017
2011-07,1212.2575157746608
2011-08,1059.586092747023
2011-09,944.6100812413075
2011-10,1001.5161338381912
2011-11,935.4151072659663
2011-12,961.8096187887495
2012-01,1041.4570795728434
2012-02,1153.4648759578174
2012-03,1097.0921699504258
2012-04,1079.5791834423464
2012-05,1089.3124619692383
2012-06,1048.630904449249
2012-07,1064.8098509224715
2012-08,1069.9428754165854
2012-09,1107.1097657511364
2012-10,1075.2895122891516
2012-11,1122.2532679277208
2012-12,1168.7196074280416
2013-01,1192.7882908090237
2013-02,1252.027009836106
2013-03,1268.6703157632826
2013-04,1263.7550369428732
2013-05,1341.416764147258
2013-06,1244.2730591832888
2013-07,1248.1368662046868
2013-08,1285.6132653327493
2013-09,1304.4941669829552
2013-10,1342.2704915956654
2013-11,1358.4450275520885
2013-12,1361.3161625508126
2014-01,1367.0223431204251
2014-02,1375.477004726126
2014-03,1359.8086370327644
2014-04,1318.9130952793928
2014-05,1376.8066341016981
2014-06,1396.6433315627494
2014-07,1447.8187319715141
2014-08,1475.9015330080745
2014-09,1474.6973239829217
2014-10,1457.160963520129
2014-11,1457.412404419065
2014-12,1475.1488774389231
2015-01,1584.8477204463707
2015-02,1612.9284008998034
2015-03,1743.6726358470776
2015-04,1931.947745940559
2015-05,2037.0381968881904
2015-06,1821.2787461314983
2015-07,1590.8012110027546
2015-08,1381.1176856860075
2015-09,1422.177933622756
2015-10,1557.518865900137
2015-11,1601.8102362779161
2015-12,1572.6114700686387
2016-01,1396.302967895126
2016-02,1419.5038933186736
2016-03,1435.637674066814
2016-04,1424.018471322473
2016-05,1439.3320238982872
2016-06,1437.1286287542844
2016-07,1466.0379438438576
2016-08,1551.1035346486756
2016-09,1568.5858977086118
2016-10,1580.280166099089
2016-11,1630.2628955556827
2016-12,1594.6739234628799
2017-01,1626.7158852566693
2017-02,1739.06445722305
2017-03,1758.4161279689208
2017-04,1724.0382853942972
2017-05,1673.2083901164654
2017-06,1669.5832798076167
2017-07,1680.674817981246
2017-08,1713.4262703546628
2017-09,1763.144398670151
2017-10,1844.1333720485798
2017-11,1808.9545208760699
2017-12,1819.5654689470307
2018-01,1861.256676083732
2018-02,1829.720653923318
2018-03,1803.3291155233555
2018-04,1820.3059906153037
2018-05,1947.7002410901853
2018-06,1846.4736325542594
2018-07,1834.1068019532697
2018-08,1777.752719825274
2018-09,1729.416349204487
2018-10,1549.3142343471704
2018-11,1642.4958951413907
2018-12,1574.9981616736954
2019-01,1654.5179589214774
2019-02,1748.2745555550923
2019-03,1811.3237989948714
2019-04,1824.6777948339093
2019-05,1693.5139851684046
2019-06,1730.0414562295766
2019-07,1791.5849495327732
2019-08,1735.896050628748
2019-09,1782.3341708790365
2019-10,1816.038495310431
2019-11,1827.5296393786584
2019-12,1887.6172952646116
2020-01,1808.5566618615035
2020-02,1812.2850197866585
2020-03,1558.6174776356324
2020-04,1761.422864150607
2020-05,1733.2134177224423
2020-06,1892.9900158961036
2020-07,1924.9559512732048
2020-08,1970.0459578791952
2020-09,1967.0925047166047
2020-10,2009.2086319770124
2020-11,2151.996674884832
2020-12,2192.944718810284
2021-01,2271.505039865852
2021-02,2485.7946362139164
2021-03,2559.0213683426086
2021-04,2710.201504031846
2021-05,2610.2896295775995
2021-06,2788.6802328964113
2021-07,2680.658433889208
2021-08,2697.597120925998
2021-09,2634.7334682117526
2021-10,2688.8136497466626
2021-11,2796.4304218933203
2021-12,2812.083968228659
2022-01,2675.2284954686397
2022-02,2659.555812028706
2022-03,2614.815284347742
2022-04,2545.4795644104042
2022-05,2536.984182020181
2022-06,2455.805416676318
2022-07,2458.2349119122014
2022-08,2518.1523260633476
2022-09,2228.530362419462
2022-10,2043.826843914168
2022-11,2364.5183140834333
2022-12,2321.6290595938294
2023-01,2501.2137778683996
2023-02,2525.079903357626
2023-03,2464.200821421108
2023-04,2391.064651742145
2023-05,2470.038800766339
2023-06,2481.7728311009146
2023-07,2566.2498210787935
