Date,EFM AFRICA SMALL CAP
2010-11,1000.0
2010-12,1057.5291426551341
2011-01,930.6327011337758
2011-02,942.3827954098448
2011-03,926.4020422489716
2011-04,934.5818966664347
2011-05,936.0976732783316
2011-06,933.3042383921024
2011-07,949.4956880130335
2011-08,890.4713643510198
2011-09,816.0232999299221
2011-10,825.5660479792176
2011-11,837.0623664464524
2011-12,880.8159687122968
2012-01,937.0593286963513
2012-02,992.1738495539374
2012-03,981.2873665525184
2012-04,1006.9260843967916
2012-05,967.9852525288613
2012-06,1003.6317053368202
2012-07,1060.481282937525
2012-08,1045.9165896247348
2012-09,1071.0108718134602
2012-10,1025.2286229523984
2012-11,1008.9668895687395
2012-12,1074.5483725808185
2013-01,1024.2125291796683
2013-02,1069.242137227745
2013-03,1098.7002970705494
2013-04,1083.2788496377573
2013-05,1024.8275869456932
2013-06,1022.4912169609704
2013-07,1031.2292640222258
2013-08,1004.1758677796315
2013-09,1044.0950550878097
2013-10,1108.5091785808313
2013-11,1082.4071377370105
2013-12,1063.3807946766556
2014-01,1014.8910653354884
2014-02,1050.484786182062
2014-03,1083.941684975143
2014-04,1109.9971097595242
2014-05,1143.9052900419777
2014-06,1165.5870272771585
2014-07,1206.4171572637167
2014-08,1260.5598245668389
2014-09,1245.104193227287
2014-10,1269.942496774361
2014-11,1279.975578925714
2014-12,1258.7777071238004
2015-01,1392.4440787896167
2015-02,1402.9032183147388
2015-03,1379.324560167465
2015-04,1364.8382014602976
2015-05,1353.0435059379752
2015-06,1288.2624540490992
2015-07,1238.769732788165
2015-08,1145.3373474478485
2015-09,1072.3871858918094
2015-10,1127.2329594532155
2015-11,1069.5533701283457
2015-12,981.5213343363749
2016-01,935.9126040599058
2016-02,993.2867903444961
2016-03,1088.7801986858688
2016-04,1162.7110824824463
2016-05,1058.4202029637745
2016-06,1116.8406758118476
2016-07,1217.5121319391258
2016-08,1149.9469455038186
2016-09,1221.3595809029662
2016-10,1261.493087477537
2016-11,1226.0480302155142
2016-12,1296.8302287556126
2017-01,1310.4081498322805
2017-02,1390.1218316656239
2017-03,1350.050442698669
2017-04,1316.4176267026517
2017-05,1268.4513870647343
2017-06,1243.3939877469143
2017-07,1218.4031060148584
2017-08,1248.6092097895466
2017-09,1205.2272292502382
2017-10,1223.1695647186104
2017-11,1233.390251671493
2017-12,1363.602086778808
2018-01,1390.803357012956
2018-02,1439.935375066409
2018-03,1386.8953843432275
2018-04,1380.2306568424995
2018-05,1311.243317918898
2018-06,1211.0375529578018
2018-07,1251.0404330752278
2018-08,1155.941073026634
2018-09,1153.7233205602804
2018-10,1106.011095195604
2018-11,1145.7390094890486
2018-12,1109.4342363776673
2019-01,1198.7377991046073
2019-02,1186.379457110645
2019-03,1149.2075969593704
2019-04,1172.2337907908443
2019-05,1114.4513326458891
2019-06,1144.5910779614974
2019-07,1163.2351625373146
2019-08,1139.0236618154959
2019-09,1152.7003856614285
2019-10,1208.2075890448118
2019-11,1253.182295223051
2019-12,1299.7598659344583
2020-01,1200.565193796368
2020-02,1043.091125814584
2020-03,708.0662371762112
2020-04,770.0093888123552
2020-05,771.272624638347
2020-06,834.7048866097525
2020-07,835.1739980900895
2020-08,826.0378230451772
2020-09,864.2737187099957
2020-10,879.9516159002586
2020-11,982.5499604154311
2020-12,1053.296260953753
2021-01,1093.767418129531
2021-02,1124.1772074468245
2021-03,1233.5526252718603
2021-04,1268.234700840789
2021-05,1365.6737038614122
2021-06,1374.4029159067245
2021-07,1360.2103867286844
2021-08,1456.5344731802847
2021-09,1442.9101900412531
2021-10,1457.4137767540487
2021-11,1435.6405363853653
2021-12,1501.858985147484
2022-01,1555.7035572115299
2022-02,1539.3441158884873
2022-03,1688.6354649099203
2022-04,1664.215631329369
2022-05,1617.8890610585215
2022-06,1487.5476448127945
2022-07,1575.382209563004
2022-08,1570.4827228520542
2022-09,1509.0915771578902
2022-10,1526.9745546349936
2022-11,1590.6982912632288
2022-12,1520.6399014415458
2023-01,1491.299649032173
2023-02,1456.9315497426403
2023-03,1381.5540478433195
2023-04,1361.1359510967072
2023-05,1227.1961190129
2023-06,1296.0422549794548
2023-07,1382.2095578891654
