Date,ACWI FM ex USA SMALL CAP
2010-11,1000.0
2010-12,1066.0614967829601
2011-01,1039.382547862333
2011-02,1043.4566592982007
2011-03,1025.1961420614289
2011-04,1028.275135042709
2011-05,1031.5740103756496
2011-06,1001.3137512755338
2011-07,1010.482972173476
2011-08,921.9830537595826
2011-09,867.0843807815454
2011-10,903.6744302992288
2011-11,883.115182637041
2011-12,899.3287942046551
2012-01,968.9856889432874
2012-02,1009.1176727346889
2012-03,1001.7492305605547
2012-04,1000.4392778380258
2012-05,953.0968684190182
2012-06,959.2617891901575
2012-07,994.0149039470265
2012-08,997.9196314287485
2012-09,1027.6060481314344
2012-10,1020.6849177409913
2012-11,1024.8020767723165
2012-12,1051.9055540722402
2013-01,1066.4589035434906
2013-02,1113.0445579034422
2013-03,1151.4271128872376
2013-04,1152.0217651391188
2013-05,1151.5412368216703
2013-06,1090.807672428716
2013-07,1120.7521567406939
2013-08,1118.7421142307169
2013-09,1176.2946564714723
2013-10,1207.65864476016
2013-11,1203.6564124304573
2013-12,1210.7000587229804
2014-01,1214.485920111263
2014-02,1248.9990136583772
2014-03,1253.851610863258
2014-04,1245.591228986434
2014-05,1286.8303451896024
2014-06,1310.7497776869159
2014-07,1316.8121014836331
2014-08,1347.4309271346456
2014-09,1326.9428778572094
2014-10,1306.3608886524116
2014-11,1307.0321114205447
2014-12,1329.6991524453736
2015-01,1420.5126281390558
2015-02,1506.4318394486397
2015-03,1556.7982821622393
2015-04,1581.0704934936255
2015-05,1626.090412420944
2015-06,1565.649012365114
2015-07,1549.663591442665
2015-08,1443.2836267752566
2015-09,1408.0995263476061
2015-10,1506.6852234526154
2015-11,1564.415118429033
2015-12,1522.9316451902826
2016-01,1412.4587984398715
2016-02,1411.5146624611057
2016-03,1462.5483681274152
2016-04,1496.423808169357
2016-05,1531.0220063570875
2016-06,1490.3193749060638
2016-07,1562.6759610739434
2016-08,1565.4868275975105
2016-09,1590.5804832828348
2016-10,1588.2857783753348
2016-11,1593.6168580890362
2016-12,1637.5184494036757
2017-01,1660.4546174568386
2017-02,1733.2159847252094
2017-03,1758.581703232842
2017-04,1779.1415163254853
2017-05,1770.6999771958806
2017-06,1754.1108602435606
2017-07,1757.1607957189187
2017-08,1761.6158008719917
2017-09,1809.9107253667964
2017-10,1870.8118803811853
2017-11,1855.3090248279723
2017-12,1899.0948510273076
2018-01,1920.47882391533
2018-02,1884.7157656731345
2018-03,1848.951082163785
2018-04,1904.3904104435846
2018-05,1951.4366610384839
2018-06,1898.9839235919972
2018-07,1908.4995067199907
2018-08,1901.115389282694
2018-09,1881.225854614384
2018-10,1742.013086645837
2018-11,1747.709213910339
2018-12,1638.244835097667
2019-01,1759.2700024256906
2019-02,1809.6321255869218
2019-03,1838.6613079919848
2019-04,1883.3441287102107
2019-05,1798.661449568327
2019-06,1838.0773720495058
2019-07,1868.155692097495
2019-08,1834.8912052241974
2019-09,1898.791671912364
2019-10,1930.2778775013082
2019-11,1986.0412948422877
2019-12,2046.9599609913803
2020-01,2009.4507183962867
2020-02,1841.7944913187246
2020-03,1488.897977801653
2020-04,1672.7974734877191
2020-05,1747.3651426023664
2020-06,1787.39258447577
2020-07,1782.5645892955692
2020-08,1878.8098490216948
2020-09,1893.0555626296652
2020-10,1855.7876641052403
2020-11,2056.3378025963916
2020-12,2151.798481393685
2021-01,2163.8979656778506
2021-02,2244.104077132186
2021-03,2365.8212983058966
2021-04,2416.836052632288
2021-05,2436.517156553646
2021-06,2497.963897149247
2021-07,2518.65574812959
2021-08,2589.882379140817
2021-09,2559.7427708207
2021-10,2605.0146558189167
2021-11,2547.5725538362253
2021-12,2628.9214221109996
2022-01,2501.577061057118
2022-02,2465.343565573029
2022-03,2515.9373773385714
2022-04,2484.3245524229687
2022-05,2424.7003491423193
2022-06,2212.5900508289355
2022-07,2399.3863772237323
2022-08,2371.2343499615226
2022-09,2166.970921069283
2022-10,2216.159833425706
2022-11,2329.627665945954
2022-12,2252.3451891794966
2023-01,2372.136630390894
2023-02,2367.6898191540836
2023-03,2318.611941179669
2023-04,2317.1447767429677
2023-05,2335.6478793829906
2023-06,2361.639215878464
2023-07,2457.143704432498
