Date,ACFM AMERICA INDEX SMALL CAP
2010-11,1000.0
2010-12,1047.929548158713
2011-01,1034.0676869507583
2011-02,1078.30260465878
2011-03,1070.979132277127
2011-04,1054.745331078734
2011-05,1069.7836762804707
2011-06,1034.4916903977262
2011-07,1011.0669393561535
2011-08,926.316768886304
2011-09,875.5269364582739
2011-10,967.6761842867026
2011-11,996.0891433446168
2011-12,1030.8921390785301
2012-01,1097.0346147565356
2012-02,1114.6672404450865
2012-03,1136.5163356856174
2012-04,1133.5933070807016
2012-05,1124.5101451070927
2012-06,1133.1577072238736
2012-07,1163.193088573224
2012-08,1178.8390722036806
2012-09,1188.7061921683878
2012-10,1164.4554727942752
2012-11,1171.5883173200702
2012-12,1188.302098507689
2013-01,1225.7603425082928
2013-02,1280.8748672802476
2013-03,1360.1880167493891
2013-04,1322.009492436601
2013-05,1383.2833482497329
2013-06,1359.0966644516257
2013-07,1416.3368189892508
2013-08,1384.212390728317
2013-09,1426.8803127173983
2013-10,1464.1533572692606
2013-11,1498.9198000247588
2013-12,1516.3443825052323
2014-01,1516.3042447031335
2014-02,1555.621477722355
2014-03,1554.7907746319704
2014-04,1512.8409766674567
2014-05,1552.898761533135
2014-06,1631.2376038106436
2014-07,1586.3043150100925
2014-08,1692.8280217801814
2014-09,1663.409332599712
2014-10,1739.900478041483
2014-11,1757.2265946715634
2014-12,1829.5046762278173
2015-01,1903.8444004355902
2015-02,2029.9776530786696
2015-03,2138.003063818974
2015-04,2029.4883305027663
2015-05,2107.7842552228562
2015-06,2060.303734275299
2015-07,2051.626872506491
2015-08,1904.2726689941578
2015-09,1820.7303016706355
2015-10,1943.5056125466376
2015-11,2069.016832265577
2015-12,1922.7508862928796
2016-01,1782.5613460448533
2016-02,1798.1049097306984
2016-03,1865.8006545863223
2016-04,1901.7458086647227
2016-05,1986.9192983590785
2016-06,2000.8585871271537
2016-07,2090.8028989996956
2016-08,2112.5640260400337
2016-09,2106.8674849412637
2016-10,2073.9831295006456
2016-11,2321.4678965462294
2016-12,2384.9999992492153
2017-01,2367.817202404843
2017-02,2459.765429997467
2017-03,2445.6609418139083
2017-04,2417.6785626358287
2017-05,2311.2007766131032
2017-06,2339.6030729969284
2017-07,2297.8290643874475
2017-08,2267.5854786061395
2017-09,2387.8032629954023
2017-10,2452.196743251628
2017-11,2456.4434613073095
2017-12,2460.019148372544
2018-01,2432.463451244341
2018-02,2378.924750064648
2018-03,2380.3569343545737
2018-04,2437.3163607002775
2018-05,2645.5218901485327
2018-06,2663.964306437279
2018-07,2703.6575433943326
2018-08,2826.4642939789924
2018-09,2781.5626239745015
2018-10,2569.7188580188404
2018-11,2610.257001056747
2018-12,2308.2128641603003
2019-01,2572.201210438358
2019-02,2710.6639459215153
2019-03,2718.7343619031017
2019-04,2810.4954333048304
2019-05,2624.2859940523354
2019-06,2745.436588149078
2019-07,2849.566763450416
2019-08,2763.4608242624377
2019-09,2837.9339952417786
2019-10,2821.2932802379455
2019-11,2963.5154893278213
2019-12,3005.0226195534888
2020-01,2962.362488563264
2020-02,2724.3641533662867
2020-03,2084.2189566307197
2020-04,2411.254834333381
2020-05,2541.5497628234925
2020-06,2606.210590417948
2020-07,2585.2231637342766
2020-08,2670.2402018548737
2020-09,2638.5447131878523
2020-10,2715.0416630383693
2020-11,3082.8444302154753
2020-12,3249.2615940277137
2021-01,3384.0497820822125
2021-02,3600.524610371802
2021-03,3798.2894506144703
2021-04,3851.445404986078
2021-05,3805.6250442229866
2021-06,3979.0010539394175
2021-07,3894.298864961618
2021-08,3994.754873941493
2021-09,3951.2391119748786
2021-10,4137.887653410766
2021-11,4067.2842281352137
2021-12,4164.1693185825825
2022-01,3910.3979084190055
2022-02,3944.778664042367
2022-03,4052.5446150038156
2022-04,3916.4406407425663
2022-05,3865.088800241544
2022-06,3580.8921766665226
2022-07,4055.4387521246513
2022-08,4013.0360112098847
2022-09,3729.313828452486
2022-10,4069.776909047332
2022-11,4067.881951504293
2022-12,3699.593829356438
2023-01,4011.3522058193785
2023-02,4024.3816092727693
2023-03,3781.551838698401
2023-04,3674.363147471528
2023-05,3739.6712049449666
2023-06,3960.917544693182
2023-07,4123.177724232372
