Date,EM GCC COUNTRIES DOMESTIC SMALL CAP
2014-06,796.2974885800799
2014-07,962.664367277389
2014-08,1007.777728870103
2014-09,1039.4598107679085
2014-10,958.5545211623516
2014-11,966.0104891989497
2014-12,923.299012581347
2015-01,991.8572042998088
2015-02,1038.6035598623168
2015-03,1004.4853537748772
2015-04,1117.3170574626508
2015-05,1101.144611427939
2015-06,1133.493573784234
2015-07,1159.977693654204
2015-08,1024.5393069593395
2015-09,1027.0038800621574
2015-10,1012.7429246406607
2015-11,932.3644425216047
2015-12,922.2952439647596
2016-01,805.486602887118
2016-02,932.616695520475
2016-03,948.7364346750508
2016-04,952.9456571126573
2016-05,941.5095514646175
2016-06,960.8041795087688
2016-07,1000.6660817523949
2016-08,1008.8564986812257
2016-09,985.3184197407514
2016-10,966.8057118336533
2016-11,1012.1350078651494
2016-12,1088.060434998193
2017-01,1102.6966278642603
2017-02,1105.5945931111112
2017-03,1063.411519265671
2017-04,1031.83461589046
2017-05,958.5804189154493
2017-06,920.1467263960728
2017-07,931.4012838187779
2017-08,874.6815141600392
2017-09,868.4025523068411
2017-10,869.3570061900185
2017-11,807.1136328155384
2017-12,872.1640482870737
2018-01,881.1828207225309
2018-02,870.1814199639866
2018-03,856.3396164496811
2018-04,874.274172380306
2018-05,891.7728042815039
2018-06,855.5933230103044
2018-07,876.2604730032713
2018-08,862.8423348805496
2018-09,855.5399426435798
2018-10,874.2884881440582
2018-11,847.404810764366
2018-12,813.2436646457885
2019-01,841.2965828434238
2019-02,815.4509522359072
2019-03,847.9020233662895
2019-04,866.586932054936
2019-05,820.086668830169
2019-06,830.8494727732058
2019-07,894.9117043737447
2019-08,883.6353863617608
2019-09,924.7899784214371
2019-10,880.6639389893113
2019-11,898.6803245623739
2019-12,956.6750217151629
2020-01,1004.7725200819573
2020-02,919.6080277434903
2020-03,748.6406389032289
2020-04,855.4229201753135
2020-05,808.7857598830792
2020-06,871.4787732196512
2020-07,880.3066355626771
2020-08,917.1958409360358
2020-09,998.9084759715278
2020-10,943.8323831193924
2020-11,993.8139585765175
2020-12,1001.3138599301933
2021-01,1038.9877482896588
2021-02,1031.0043122063453
2021-03,1121.955941305387
2021-04,1165.8724242954863
2021-05,1187.567885354271
2021-06,1258.5782154987937
2021-07,1267.731986234239
2021-08,1281.6091762406372
2021-09,1292.5104706023048
2021-10,1288.8645704225075
2021-11,1253.7922336478136
2021-12,1281.606514214504
2022-01,1362.8237783557395
2022-02,1361.446061030312
2022-03,1428.6963856312798
2022-04,1543.4625698900597
2022-05,1431.3223061911926
2022-06,1353.626004284555
2022-07,1437.7194069788313
2022-08,1498.9776845863607
2022-09,1445.79581888102
2022-10,1444.2589362852248
2022-11,1342.6614227375485
2022-12,1256.2447554968887
2023-01,1279.7285849355842
2023-02,1320.805856296325
2023-03,1309.1280023439988
2023-04,1355.7010573456491
2023-05,1450.048848806929
2023-06,1480.6972766459025
2023-07,1509.385319569178
