Date,AC AMERICAS SMALL CAP
2007-05,1000.0
2007-06,982.6824248389905
2007-07,921.2308304878643
2007-08,929.6935370694009
2007-09,917.7770980300459
2007-10,934.2167384060339
2007-11,855.3813008822119
2007-12,854.0775654341945
2008-01,790.1047357548011
2008-02,756.4032827526635
2008-03,713.2777986694366
2008-04,767.5515031991769
2008-05,808.1176445724938
2008-06,734.0116260020728
2008-07,742.0416090454324
2008-08,803.6659326768945
2008-09,747.928151475355
2008-10,644.7688931600778
2008-11,576.0362816922129
2008-12,555.1661455106341
2009-01,552.3442259607842
2009-02,495.86164689683676
2009-03,518.9947472896017
2009-04,611.4918752841933
2009-05,604.256629734308
2009-06,613.7940145810043
2009-07,667.448562918492
2009-08,690.7236313215977
2009-09,723.9633462068917
2009-10,679.5701594322506
2009-11,697.7022817321373
2009-12,784.2025825199156
2010-01,782.000428357224
2010-02,836.1335982012006
2010-03,909.8083230014753
2010-04,974.346679815851
2010-05,973.4259451250656
2010-06,907.6242839233194
2010-07,915.4342559258673
2010-08,887.1369520990354
2010-09,921.5229061402022
2010-10,942.7673286317494
2010-11,1038.7840137544842
2010-12,1088.5934255900197
2011-01,1074.2010401426026
2011-02,1120.1806412836283
2011-03,1112.5677942950958
2011-04,1095.7209956258764
2011-05,1111.3385786143976
2011-06,1074.6869015018447
2011-07,1050.3599326041406
2011-08,962.3134257825213
2011-09,909.5756995981775
2011-10,1005.321170465607
2011-11,1034.8429123928208
2011-12,1070.9931151099602
2012-01,1139.7012879333495
2012-02,1158.0259274358652
2012-03,1180.7353069251444
2012-04,1177.7439950991438
2012-05,1168.3373110389227
2012-06,1177.3262512449412
2012-07,1208.5090227574747
2012-08,1224.7759334328393
2012-09,1234.993256594773
2012-10,1209.8285671410324
2012-11,1217.2114513046583
2012-12,1234.535222498747
2013-01,1273.456083440909
2013-02,1330.800241845927
2013-03,1413.1920930398273
2013-04,1373.5294066009646
2013-05,1437.2172057335092
2013-06,1412.1113893465993
2013-07,1471.5956456690228
2013-08,1438.1263779472163
2013-09,1482.3304254120615
2013-10,1521.0310117822662
2013-11,1556.978238156456
2013-12,1575.1379361807858
2014-01,1575.159988904073
2014-02,1615.9790097120135
2014-03,1615.1027277957974
2014-04,1571.413952008264
2014-05,1612.964911187776
2014-06,1694.3041433987996
2014-07,1647.5712148614155
2014-08,1758.3706568805894
2014-09,1727.7345590054135
2014-10,1807.183985184987
2014-11,1825.125836389771
2014-12,1900.324565111186
2015-01,1977.4972937541745
2015-02,2108.374337392421
2015-03,2220.2818930091807
2015-04,2107.6890461132875
2015-05,2189.0853159303115
2015-06,2139.81002223209
2015-07,2130.8095554188258
2015-08,1977.7096553135495
2015-09,1890.9450570625825
2015-10,2017.9890438265556
2015-11,2148.521157602583
2015-12,1996.6155119895323
2016-01,1850.9145814323704
2016-02,1867.0290022710274
2016-03,1937.4964444371083
2016-04,1974.9069315275492
2016-05,2063.2245898955566
2016-06,2077.4115312503814
2016-07,2170.796551372794
2016-08,2193.557866219855
2016-09,2187.259485998824
2016-10,2152.7536827098193
2016-11,2409.8926158919285
2016-12,2475.895529809421
2017-01,2457.7696231592245
2017-02,2553.066327719062
2017-03,2538.0363636255656
2017-04,2508.9390527442915
2017-05,2398.3489660132395
2017-06,2427.9942615727314
2017-07,2384.647002365454
2017-08,2353.0889758428198
2017-09,2477.6685293868295
2017-10,2544.2551389859404
2017-11,2548.694452001334
2017-12,2552.320034999336
2018-01,2523.6631959123292
2018-02,2468.1037632099474
2018-03,2469.7615810032553
2018-04,2528.9568784712683
2018-05,2745.534244121985
2018-06,2764.8143680508906
2018-07,2805.9339755530787
2018-08,2933.603832892016
2018-09,2887.0588946471485
2018-10,2666.987560272208
2018-11,2709.0348818680814
2018-12,2395.4187134094386
2019-01,2669.347440153956
2019-02,2813.27530985167
2019-03,2821.8488176826513
2019-04,2917.2480551089157
2019-05,2723.8800096022696
2019-06,2849.628377790595
2019-07,2957.7103869704383
2019-08,2868.336649887769
2019-09,2945.6361447378235
2019-10,2928.363899621567
2019-11,3075.983569558221
2019-12,3119.065932735822
2020-01,3074.786811376852
2020-02,2827.756225140855
2020-03,2163.316942005256
2020-04,2502.764125626223
2020-05,2638.0038639288055
2020-06,2705.118628130594
2020-07,2683.33470971385
2020-08,2771.5782209535278
2020-09,2738.679859963017
2020-10,2818.079937913979
2020-11,3199.841151158537
2020-12,3372.5739961267395
2021-01,3512.477517238486
2021-02,3737.1677601070155
2021-03,3942.4379540417
2021-04,3997.6112247264896
2021-05,3950.0519400303033
2021-06,4130.007725368298
2021-07,4042.0910120797757
2021-08,4146.359417019202
2021-09,4101.192192718148
2021-10,4294.924214300737
2021-11,4221.641325487024
2021-12,4322.203292321511
2022-01,4058.8010287268517
2022-02,4094.4865649716576
2022-03,4206.342330770412
2022-04,4065.0730881810555
2022-05,4011.7723991120924
2022-06,3716.7902578717994
2022-07,4209.346302999948
2022-08,4165.334339901475
2022-09,3870.844644934872
2022-10,4224.228605883382
2022-11,4222.261732995966
2022-12,3839.996745122659
2023-01,4163.5866325808365
2023-02,4177.11051362283
2023-03,3925.065134688174
2023-04,3813.8085361505046
2023-05,3881.5950931877433
2023-06,4111.237930669513
2023-07,4279.656030069873
