Date,ACWI FM ex JAPAN SMALL CAP
2010-11,1000.0
2010-12,1055.866138833565
2011-01,1036.5680038683886
2011-02,1059.1688596823117
2011-03,1054.6390572451064
2011-04,1051.2142825722703
2011-05,1061.1469655670353
2011-06,1024.455990606935
2011-07,1009.1204738004875
2011-08,916.5564772557454
2011-09,856.183682682272
2011-10,933.7920789301664
2011-11,938.0561266198208
2011-12,961.916364799204
2012-01,1032.414908042691
2012-02,1065.6051136284855
2012-03,1073.7711229305155
2012-04,1072.6012454753668
2012-05,1045.8132659292278
2012-06,1054.2753463046624
2012-07,1086.6120826344472
2012-08,1099.8099355866987
2012-09,1120.1436460749353
2012-10,1106.4038081493145
2012-11,1114.7880404147413
2012-12,1137.6896032261513
2013-01,1167.5859303819766
2013-02,1219.836512285733
2013-03,1274.6070857168372
2013-04,1251.5652935976445
2013-05,1297.4779747255225
2013-06,1253.500217124385
2013-07,1303.6819704169768
2013-08,1285.0741111298657
2013-09,1332.2302455939991
2013-10,1373.1459655614763
2013-11,1394.8123574893993
2013-12,1409.2618126423934
2014-01,1410.647881275396
2014-02,1458.5017994028865
2014-03,1458.5701673555934
2014-04,1430.1083603256109
2014-05,1470.2418841329052
2014-06,1515.2670212664352
2014-07,1490.0014698320317
2014-08,1565.1323381874504
2014-09,1540.4864703282774
2014-10,1580.0261099246943
2014-11,1593.961144676713
2014-12,1644.423243744262
2015-01,1729.0482616464606
2015-02,1843.4570166823853
2015-03,1925.456985717695
2015-04,1878.259525082408
2015-05,1946.5406455858893
2015-06,1885.20165897691
2015-07,1876.4474342134654
2015-08,1739.8207208227059
2015-09,1679.6297750442425
2015-10,1793.094034864031
2015-11,1888.4962798598845
2015-12,1789.3988264556626
2016-01,1654.5562861852738
2016-02,1660.9106634007633
2016-03,1724.2923488878284
2016-04,1750.752977803183
2016-05,1816.6392026783333
2016-06,1793.7061176164912
2016-07,1877.8770016843089
2016-08,1901.2201496865214
2016-09,1904.4105547103147
2016-10,1874.6664597947554
2016-11,2019.162307818437
2016-12,2075.742326407816
2017-01,2075.582787130547
2017-02,2161.321568308652
2017-03,2171.4463364359376
2017-04,2174.5127847017534
2017-05,2113.218014760201
2017-06,2116.628431465809
2017-07,2096.8965983054445
2017-08,2079.2680490587227
2017-09,2169.624083211588
2017-10,2234.1718844503553
2017-11,2226.4484437643764
2017-12,2250.973855487331
2018-01,2251.213908598923
2018-02,2199.5821116968104
2018-03,2182.218732457938
2018-04,2241.5922271733243
2018-05,2376.692828820191
2018-06,2360.671945536435
2018-07,2390.756429460158
2018-08,2454.6284579194694
2018-09,2411.3808737067275
2018-10,2225.117601601234
2018-11,2246.6947635722136
2018-12,2037.6139211576062
2019-01,2239.314172800057
2019-02,2342.216289812685
2019-03,2362.4381395778087
2019-04,2439.995926177764
2019-05,2293.249962226222
2019-06,2379.4151619697163
2019-07,2440.5996942356796
2019-08,2372.895454787919
2019-09,2442.181125529291
2019-10,2447.787622661237
2019-11,2554.2681612175925
2019-12,2609.6308627121493
2020-01,2568.9211432899538
2020-02,2369.4318396218237
2020-03,1833.6807393662461
2020-04,2104.0099114552254
2020-05,2206.0694960245382
2020-06,2268.303683992239
2020-07,2269.807505398012
2020-08,2363.059586798501
2020-09,2342.586035628464
2020-10,2364.0885648003023
2020-11,2678.1046170561585
2020-12,2822.5754983014413
2021-01,2903.5329087013506
2021-02,3068.8760245636718
2021-03,3230.180599180984
2021-04,3301.64853259041
2021-05,3291.8834843402674
2021-06,3409.244710042658
2021-07,3383.5520442264574
2021-08,3476.359013824464
2021-09,3422.8628137055707
2021-10,3563.5147622547993
2021-11,3500.9494024679007
2021-12,3603.531702603774
2022-01,3387.597898414114
2022-02,3372.7458061527923
2022-03,3460.340115011226
2022-04,3379.265089502258
2022-05,3312.5100765779816
2022-06,3038.0258329606886
2022-07,3384.9535347963647
2022-08,3343.6173359743
2022-09,3072.0979061894486
2022-10,3281.140551100517
2022-11,3348.2810147257333
2022-12,3111.190633520264
2023-01,3344.349887247063
2023-02,3355.859270393094
2023-03,3189.6311196873125
2023-04,3138.1965560066697
2023-05,3176.5145750750103
2023-06,3306.1485192232835
2023-07,3444.460472869848
