Date,AC ASIA SMALL CAP
1998-12,442.36345009761936
1999-01,455.980391950214
1999-02,465.4848762456937
1999-03,534.4531385236655
1999-04,615.8578901189478
1999-05,604.553097122239
1999-06,702.3715791414625
1999-07,706.0123223102224
1999-08,740.6253399713573
1999-09,743.2038981462503
1999-10,748.6067810143192
1999-11,784.9947364916239
1999-12,764.5179552346552
2000-01,783.8148600554506
2000-02,779.3498933313593
2000-03,828.1227801782703
2000-04,779.8862007472003
2000-05,753.1510236091535
2000-06,778.8216482964217
2000-07,729.4320435984483
2000-08,799.2562840258506
2000-09,745.3304560108752
2000-10,700.6886532909473
2000-11,676.5927907049341
2000-12,586.9245309560954
2001-01,615.7616163285956
2001-02,629.4392824729468
2001-03,623.1023870857298
2001-04,662.621353315578
2001-05,713.2016287583214
2001-06,695.7922058656302
2001-07,627.2016659713158
2001-08,609.5935634819224
2001-09,551.1881309197378
2001-10,573.871854266489
2001-11,578.7096353704575
2001-12,560.2819391029294
2002-01,579.525400590061
2002-02,596.1855672439617
2002-03,628.8397205967848
2002-04,631.475887919173
2002-05,637.2760281051823
2002-06,576.4666608816511
2002-07,563.3359032814403
2002-08,552.4729659412385
2002-09,513.3466916323616
2002-10,489.3784096239148
2002-11,495.7439980677637
2002-12,460.3179120309324
2003-01,451.2606675067914
2003-02,457.68644655756475
2003-03,443.09260793408566
2003-04,445.9639197593761
2003-05,450.9429345751473
2003-06,495.648860436512
2003-07,522.7554521960359
2003-08,582.0640478292554
2003-09,582.3523702562723
2003-10,623.4310205223337
2003-11,576.051759355878
2003-12,581.5716017520175
2004-01,614.5837192964652
2004-02,622.4606008214495
2004-03,707.9904914921863
2004-04,702.6144571092403
2004-05,655.3666734260255
2004-06,698.4383360734923
2004-07,659.8905481151753
2004-08,664.0520832198507
2004-09,644.7175571379946
2004-10,638.4054908848271
2004-11,645.906094653118
2004-12,662.2001728446719
2005-01,707.1192404504311
2005-02,720.8160618058108
2005-03,726.0107327511722
2005-04,720.4971064795899
2005-05,747.5201096565027
2005-06,779.4473589496149
2005-07,798.6656723671326
2005-08,800.8890620471104
2005-09,860.4384548742654
2005-10,861.8234248990358
2005-11,917.2952337020552
2005-12,1007.6435988488904
2006-01,1022.2908026382007
2006-02,1005.013918883985
2006-03,1030.5780643307053
2006-04,1019.8601370704163
2006-05,934.0754074545441
2006-06,902.8451421391353
2006-07,873.0024387942585
2006-08,891.5318871970702
2006-09,905.34913184347
2006-10,907.5692992640796
2006-11,903.1078161047062
2006-12,921.9319462623034
2007-01,946.2447621936562
2007-02,963.2735091886929
2007-03,965.8903779116208
2007-04,957.6603451344942
2007-05,1000.0
2007-06,1020.4876705624685
2007-07,1050.1107625201887
2007-08,1001.1667059410028
2007-09,995.5939626432822
2007-10,1015.7630137157339
2007-11,941.3659405167416
2007-12,925.4127724697236
2008-01,825.7331037069133
2008-02,834.7935686576457
2008-03,774.4950284301023
2008-04,812.4458125966454
2008-05,816.1833289685989
2008-06,729.75248469579
2008-07,713.1523617806379
2008-08,709.1222664392303
2008-09,635.8184246560758
2008-10,570.2151050438168
2008-11,573.2031145233187
2008-12,579.1076766621427
2009-01,594.3353697801215
2009-02,542.2004259736533
2009-03,559.5814189496288
2009-04,628.0462463216395
2009-05,701.2662604249896
2009-06,723.0062577275206
2009-07,767.698082753024
2009-08,773.619669315365
2009-09,786.3591329690538
2009-10,766.5683810281107
