Date,ZHONG HUA SMALL CAP
2007-05,1000.0
2007-06,1024.9710962616361
2007-07,1106.411081615386
2007-08,1066.8362813729711
2007-09,1124.7352433518859
2007-10,1186.2021406357323
2007-11,1048.2885741285604
2007-12,1049.036973141727
2008-01,858.3118142875388
2008-02,868.949049938152
2008-03,726.4415138946789
2008-04,791.0073744129322
2008-05,788.7843359673916
2008-06,682.6040059546182
2008-07,655.9496513652936
2008-08,616.3279607087251
2008-09,515.0111527018051
2008-10,385.9691792654102
2008-11,395.1240452933632
2008-12,440.1159661540759
2009-01,460.4439027514734
2009-02,463.06297410786095
2009-03,486.64919756295325
2009-04,585.0397975663914
2009-05,724.7078014953108
2009-06,755.9544330567765
2009-07,864.0834436164802
2009-08,790.1046184406437
2009-09,814.352273513902
2009-10,875.0938425049451
2009-11,920.5334392927239
2009-12,1005.651839826518
2010-01,993.1251998914105
2010-02,1054.1973629303673
2010-03,1149.634377223968
2010-04,1171.5014983937608
2010-05,1122.3413945023517
2010-06,1126.5414733133991
2010-07,1129.7917815919277
2010-08,1154.8037966480058
2010-09,1217.7318599297364
2010-10,1247.5202424258775
2010-11,1362.2589456849437
2010-12,1339.5981140379074
2011-01,1294.8098825018783
2011-02,1229.0743643419726
2011-03,1229.8378359579626
2011-04,1215.1520000187293
2011-05,1218.174014066417
2011-06,1145.2346184383455
2011-07,1142.1726508099794
2011-08,1003.8307954492167
2011-09,858.0730233332773
2011-10,943.449578347947
2011-11,904.2178995846117
2011-12,913.16442760329
2012-01,960.5235561590578
2012-02,1062.9749795865323
2012-03,996.5324423592733
2012-04,1010.7506070738999
2012-05,991.433136321799
2012-06,949.5751944914628
2012-07,953.8908180453551
2012-08,948.8610915423374
2012-09,978.9712041271042
2012-10,1016.4972519952346
2012-11,1055.300744556264
2012-12,1108.6185765439627
2013-01,1161.6177015771752
2013-02,1217.437913654352
2013-03,1217.7843468328147
2013-04,1206.488715370034
2013-05,1283.421966396423
2013-06,1165.645966341523
2013-07,1156.772240936064
2013-08,1202.5823239409576
2013-09,1215.7568319036802
2013-10,1251.3511348045254
2013-11,1289.8756004761692
2013-12,1287.7038607997722
2014-01,1297.1620344438277
2014-02,1290.180661120724
2014-03,1259.0698568682817
2014-04,1217.812359763602
2014-05,1257.3919415716493
2014-06,1268.6473869615058
2014-07,1343.2618178941968
2014-08,1376.9678994082913
2014-09,1393.186085419998
2014-10,1420.9400143791322
2014-11,1428.9315523464913
2014-12,1401.3834975483487
2015-01,1498.9294656342083
2015-02,1516.8856676228286
2015-03,1658.3441689185308
2015-04,1960.5166120420986
2015-05,2125.6993568274856
2015-06,1862.3676656714713
2015-07,1606.7506033697898
2015-08,1364.597063079582
2015-09,1383.4462825566427
2015-10,1521.927818045982
2015-11,1565.6164603652746
2015-12,1540.1896582417478
2016-01,1312.2424298646001
2016-02,1314.3150426818904
2016-03,1340.5717267558675
2016-04,1355.9760893621133
2016-05,1360.4779772843572
2016-06,1341.9824348550771
2016-07,1348.4244564904911
2016-08,1442.0627840483323
2016-09,1456.3698758244939
2016-10,1474.414124593407
2016-11,1536.7291734041892
2016-12,1483.7063799394825
2017-01,1499.5901019715677
2017-02,1572.6583400091201
2017-03,1587.6874624401994
2017-04,1558.7099345528695
2017-05,1503.3938878356805
2017-06,1488.7969618550926
2017-07,1492.2508814266514
2017-08,1504.085284061712
2017-09,1585.8826024085986
2017-10,1641.9040605132548
2017-11,1569.1871359192814
2017-12,1592.3631110829374
2018-01,1643.0201969034042
2018-02,1600.1830061294806
2018-03,1575.0710047348168
2018-04,1628.5497242649092
2018-05,1736.0980324150453
2018-06,1599.097042583685
2018-07,1562.0540820529168
2018-08,1488.6013789674628
2018-09,1459.6666338724585
2018-10,1343.1610573728804
2018-11,1382.7599475483603
2018-12,1320.8601527937733
2019-01,1397.5158529493697
2019-02,1481.262031947608
2019-03,1526.1055734237414
2019-04,1530.657310609745
2019-05,1402.3558997294435
2019-06,1411.2176964761975
2019-07,1412.7967716290195
2019-08,1329.7167816990425
2019-09,1359.447976917801
2019-10,1360.196533572298
2019-11,1362.650652074759
2019-12,1411.7119042889728
2020-01,1349.8378670404845
2020-02,1373.9204918898918
2020-03,1211.8701735535667
2020-04,1282.6587696778545
2020-05,1223.1903616998675
2020-06,1346.4567916597175
2020-07,1382.2419686527528
2020-08,1430.9098603694429
2020-09,1420.8374704225312
2020-10,1439.1305824721721
2020-11,1553.6499303643332
2020-12,1572.0023511141806
2021-01,1722.9542648153456
2021-02,1891.5462242801682
2021-03,1882.3410517564016
2021-04,1891.8401733064811
2021-05,1880.0200726797011
2021-06,1948.5412009480215
2021-07,1771.3051335312314
2021-08,1822.4196109297586
2021-09,1730.1447114446762
2021-10,1727.9419694679084
2021-11,1704.0382361555519
2021-12,1639.0241115257204
2022-01,1584.1627354105601
2022-02,1533.5360571775732
2022-03,1457.617712439805
2022-04,1463.0615331021954
2022-05,1429.5886085978084
2022-06,1524.893136792854
2022-07,1441.666609724008
2022-08,1427.6230152340645
2022-09,1258.1149040497419
2022-10,1115.137576615237
2022-11,1336.2255060418458
2022-12,1400.4925867017018
2023-01,1521.2679019293755
2023-02,1445.3737237766995
2023-03,1354.895278952649
2023-04,1316.945893532721
2023-05,1207.081885013842
2023-06,1194.522268062916
2023-07,1266.7260910008135
