Date,ACFM EUROPE + CIS (E+C) SMALL CAP
2010-11,1000.0
2010-12,1092.085117151329
2011-01,1087.5018811286784
2011-02,1100.2334877197927
2011-03,1090.3002399953866
2011-04,1123.9789296813967
2011-05,1124.601941456937
2011-06,1079.3162773007705
2011-07,1045.0948959678174
2011-08,932.7485341440274
2011-09,867.0823846469812
2011-10,924.841947917592
2011-11,896.4967194994769
2011-12,896.9199252102533
2012-01,980.0680048438121
2012-02,1038.4872536040136
2012-03,1040.0391296732519
2012-04,1043.3184552331566
2012-05,969.7349802465262
2012-06,992.5475736309882
2012-07,1028.6857995066514
2012-08,1051.3678671029513
2012-09,1085.3105343327584
2012-10,1097.4125461779536
2012-11,1104.1878127206394
2012-12,1145.3968578884073
2013-01,1178.489908265318
2013-02,1222.83647657448
2013-03,1238.6993613322602
2013-04,1247.1602146113833
2013-05,1293.515447611362
2013-06,1235.1241349848115
2013-07,1313.287520941105
2013-08,1324.881381433382
2013-09,1396.2075398781196
2013-10,1460.8370853999647
2013-11,1487.800542828703
2013-12,1516.7311159720396
2014-01,1526.7612067380887
2014-02,1625.6079802053212
2014-03,1607.5108641149948
2014-04,1589.6997274833793
2014-05,1630.3240040341318
2014-06,1614.9707477759498
2014-07,1574.9603220494862
2014-08,1597.9924952963347
2014-09,1571.860458963009
2014-10,1549.3152936680228
2014-11,1584.467268073217
2014-12,1613.9680146487026
2015-01,1714.8172129653767
2015-02,1867.9121399516948
2015-03,1902.3085673378046
2015-04,1930.630726232989
2015-05,2000.8749837940522
2015-06,1940.6969318283823
2015-07,2005.6908116993366
2015-08,1899.1649800429595
2015-09,1841.2394828360982
2015-10,1957.9485152108516
2015-11,2036.4858499205513
2015-12,1990.3047530631013
2016-01,1828.5323220830883
2016-02,1819.7221657585592
2016-03,1882.0194377572382
2016-04,1899.0352978608537
2016-05,1978.659010453918
2016-06,1806.4811630223126
2016-07,1905.763821937579
2016-08,1936.9883955424243
2016-09,1956.9962874290968
2016-10,1910.165296860167
2016-11,1931.8660934820923
2016-12,2026.361889184444
2017-01,2046.229326284679
2017-02,2113.2310320378238
2017-03,2169.5205549414404
2017-04,2275.400924466476
2017-05,2301.886172571745
2017-06,2248.9413003516106
2017-07,2274.0890490679144
2017-08,2261.72604710173
2017-09,2360.559474535141
2017-10,2408.8869550022782
2017-11,2362.3991713498403
2017-12,2420.98667851356
2018-01,2468.941551418316
2018-02,2398.0767502146077
2018-03,2357.5491844118155
2018-04,2453.544704024138
2018-05,2494.6356248104944
2018-06,2466.68949375316
2018-07,2499.244263377413
2018-08,2481.6462197045726
2018-09,2436.7260148827663
2018-10,2253.3662686531197
2018-11,2180.0493354263313
2018-12,2041.2263464549326
2019-01,2224.4704558244744
2019-02,2300.2851004217578
2019-03,2329.7775817689276
2019-04,2438.8292103319427
2019-05,2303.2412944517732
2019-06,2373.6014244715275
2019-07,2372.6006497011717
2019-08,2331.306727782082
2019-09,2413.0087318944147
2019-10,2471.3225611561043
2019-11,2584.864857711013
2019-12,2693.9507768270773
2020-01,2650.716747842762
2020-02,2433.631660392255
2020-03,1916.9064159122227
2020-04,2136.9105699459046
2020-05,2249.265927263292
2020-06,2283.5146437435615
2020-07,2306.944453120142
2020-08,2434.8541086852783
2020-09,2420.2979216873723
2020-10,2311.676335295842
2020-11,2667.0692779885376
2020-12,2830.369796640013
2021-01,2845.6488028996873
2021-02,2957.4668450575055
2021-03,3105.411364819679
2021-04,3223.651729796195
2021-05,3293.100171272753
2021-06,3275.500594262245
2021-07,3394.00949902295
2021-08,3514.3022742051826
2021-09,3359.7770231122
2021-10,3481.128434673625
2021-11,3364.706064183824
2021-12,3508.5047326378694
2022-01,3280.9587614445845
2022-02,3139.9671644486625
2022-03,3160.6688728479344
2022-04,3110.7654187333087
2022-05,3062.329212795611
2022-06,2708.571371178083
2022-07,2970.2617968592667
2022-08,2773.3617930727974
2022-09,2474.7560021986037
2022-10,2652.5565046570205
2022-11,2826.724111979005
2022-12,2762.706493685241
2023-01,2959.695243843223
2023-02,3043.0292898393363
2023-03,2916.4585385429536
2023-04,2966.7083176567207
2023-05,2901.0236148554536
2023-06,2924.9656991745233
2023-07,3034.707469110941
