Date,EM EUROPE & MIDDLE EAST SMALL CAP
2007-05,1000.0
2007-06,1016.6831438613352
2007-07,993.572758348541
2007-08,949.9533914945195
2007-09,973.8244275071477
2007-10,1004.1449288293722
2007-11,932.0397976825791
2007-12,954.9322600172527
2008-01,831.5955425578638
2008-02,823.7664073158048
2008-03,752.6545922608113
2008-04,779.3743126243309
2008-05,796.2295310590823
2008-06,712.7866072676852
2008-07,705.8523613950503
2008-08,696.4233476097298
2008-09,598.985265816236
2008-10,427.4661129778087
2008-11,379.5372370178777
2008-12,333.772054423546
2009-01,338.78619059814656
2009-02,316.11163119155367
2009-03,343.7580456362444
2009-04,433.5026151660656
2009-05,476.9237811531968
2009-06,517.8499349437493
2009-07,591.8546261914549
2009-08,652.1097867358501
2009-09,662.3106413993621
2009-10,666.4158673222396
2009-11,653.6547479640793
2009-12,731.4254475371878
2010-01,802.8070748771785
2010-02,787.9420239087061
2010-03,897.3310945205187
2010-04,932.5070577251546
2010-05,855.3633038001528
2010-06,830.4913876011764
2010-07,880.8932336056616
2010-08,910.7719175593598
2010-09,953.8316899666158
2010-10,984.5129193974782
2010-11,990.2345898191294
2010-12,1038.2753971042061
2011-01,1020.2213913651402
2011-02,1009.4025208741348
2011-03,1045.845453710116
2011-04,1078.160858034686
2011-05,1002.153513813453
2011-06,967.4872803502328
2011-07,922.6592936981949
2011-08,762.562391897934
2011-09,705.8811825356886
2011-10,743.1485705995158
2011-11,689.521779338067
2011-12,653.3247226564815
2012-01,752.6334745100482
2012-02,798.7052934095424
2012-03,802.906868249156
2012-04,804.7090722940676
2012-05,717.9542439245046
2012-06,764.8401892399659
2012-07,801.53284668791
2012-08,786.8228330085788
2012-09,806.2837025634748
2012-10,809.8188116819402
2012-11,829.1159733888768
2012-12,876.4966958189021
2013-01,887.7057793034854
2013-02,895.4857967634358
2013-03,908.3771801811947
2013-04,896.6075515703428
2013-05,905.821072758846
2013-06,814.9120894055209
2013-07,815.761906731128
2013-08,755.2208211931109
2013-09,810.2373956533561
2013-10,859.6721281591815
2013-11,867.9361435742668
2013-12,802.7335750322871
2014-01,760.8183243435819
2014-02,791.8018579526441
2014-03,787.7309829811086
2014-04,803.4099077889487
2014-05,829.1552986322964
2014-06,797.5962394221714
2014-07,814.1269653451847
2014-08,823.00244617364
2014-09,811.0518785007636
2014-10,791.8488427549888
2014-11,795.9102428329762
2014-12,732.0524316770235
2015-01,785.0736856579417
2015-02,830.3383184129407
2015-03,807.1354607313024
2015-04,848.8785053258424
2015-05,839.3286125452164
2015-06,809.4635124518464
2015-07,813.6347804638827
2015-08,731.4735702701969
2015-09,734.0518409729495
2015-10,763.817610625966
2015-11,745.0415975235056
2015-12,717.0138466415758
2016-01,664.047918995517
2016-02,701.9735007883446
2016-03,751.7819472941363
2016-04,767.0799640229103
2016-05,755.8389024401012
2016-06,755.6256244705519
2016-07,773.8306555614844
2016-08,808.5491358499727
2016-09,817.5092974886911
2016-10,842.5528754302655
2016-11,846.1619067056275
2016-12,896.4953312143556
2017-01,922.7210307200886
2017-02,942.1602896915699
2017-03,944.9632616160068
2017-04,960.4849194723139
2017-05,950.5661592961727
2017-06,963.4172967850933
2017-07,986.6391461830184
2017-08,988.168340828679
2017-09,970.7047409761079
2017-10,970.618886672465
2017-11,907.3421977407452
2017-12,959.1886343259199
2018-01,984.1658230544817
2018-02,965.2663430193728
2018-03,939.501236872186
2018-04,917.8347619028017
2018-05,888.5991133704065
2018-06,852.6833876441552
2018-07,854.9372313872818
2018-08,790.753003192782
2018-09,796.4955746619069
2018-10,778.145717197182
2018-11,802.9508689158321
2018-12,767.8889239326959
2019-01,826.0344207715553
2019-02,846.4673545513031
2019-03,830.6032764181933
2019-04,851.0120783616217
2019-05,851.0491578117432
2019-06,887.8650731492245
2019-07,933.4922422881889
2019-08,896.8553045357121
2019-09,924.8449270029497
2019-10,895.3320893089763
2019-11,923.9032526466194
2019-12,959.340060109617
2020-01,991.1725574292511
2020-02,881.6333355898397
2020-03,718.118582523837
2020-04,814.998900967175
2020-05,813.7444533926858
2020-06,868.9080231176941
2020-07,865.3769490389984
2020-08,883.450314592461
2020-09,907.4041959578484
2020-10,844.7282792948328
2020-11,973.6179971016692
2020-12,1035.283190249631
2021-01,1075.0280271615875
2021-02,1105.097392489032
2021-03,1147.1999249326298
2021-04,1193.0310375816312
2021-05,1210.2836650649217
2021-06,1233.7781708352582
2021-07,1246.6178008020072
2021-08,1291.888553302912
2021-09,1270.7275519222762
2021-10,1304.565587752878
2021-11,1232.8733447082477
2021-12,1250.4048523710935
2022-01,1299.6853416607184
2022-02,1199.8702295898722
2022-03,1206.103766346443
2022-04,1291.3140621071677
2022-05,1226.8275286361866
2022-06,1165.3985359737328
2022-07,1227.1860053638507
2022-08,1289.4902642147304
2022-09,1239.2268325853606
2022-10,1293.9901767569766
2022-11,1310.459001706589
2022-12,1284.2422582063366
2023-01,1279.5492460299563
2023-02,1324.1875590381953
2023-03,1278.2476213204252
2023-04,1311.5942595360025
2023-05,1390.5342817805918
2023-06,1406.1767738630679
2023-07,1504.3138632946168
