Date,ACWI ex AUSTRALIA SMALL CAP
2007-05,1000.0
2007-06,989.0465810447008
2007-07,953.9274453508132
2007-08,942.1037991137966
2007-09,928.7490233325942
2007-10,952.1684576570226
2007-11,872.2514049204354
2007-12,863.5712674696078
2008-01,782.5183688084992
2008-02,770.4602695315655
2008-03,728.0733013446637
2008-04,772.1689322743298
2008-05,797.6735736398468
2008-06,721.0431860885826
2008-07,715.4916099342483
2008-08,753.5493282631735
2008-09,680.8786367719836
2008-10,580.9947898773323
2008-11,533.3305386626439
2008-12,519.155642125876
2009-01,521.9636111532618
2009-02,474.98326794452635
2009-03,493.60038063873236
2009-04,579.5697881360793
2009-05,598.255819117377
2009-06,608.9830353785997
2009-07,657.7171776280214
2009-08,684.7599581191911
2009-09,713.1060548155796
2009-10,681.4469803469176
2009-11,687.4525228944993
2009-12,754.6781377780248
2010-01,760.5591588457106
2010-02,790.9821904891572
2010-03,860.4929096755791
2010-04,908.7783246670077
2010-05,892.0463005006593
2010-06,858.5623724816589
2010-07,868.4672451365756
2010-08,853.8116600804166
2010-09,885.7008143663785
2010-10,904.5947581681384
2010-11,968.2898599607851
2010-12,1022.4276102167947
2011-01,1006.3571717494588
2011-02,1029.897153383622
2011-03,1017.7625637532012
2011-04,1011.589998112983
2011-05,1022.1667205989045
2011-06,992.4709213036803
2011-07,981.9888774545107
2011-08,895.1557701667277
2011-09,850.0202196605067
2011-10,910.6018454746932
2011-11,916.2827721827688
2011-12,943.0913620450341
2012-01,1008.1565417981848
2012-02,1035.5434800836379
2012-03,1047.3190563938956
2012-04,1044.8293803107638
2012-05,1021.6252607747034
2012-06,1031.890432452384
2012-07,1061.038032668957
2012-08,1070.7870270183596
2012-09,1089.244952186727
2012-10,1073.2067916567335
2012-11,1081.678680508295
2012-12,1103.7135359644212
2013-01,1130.8628572239054
2013-02,1184.3822805488753
2013-03,1245.0080094430248
2013-04,1230.587992904648
2013-05,1267.770364155875
2013-06,1230.3681666125588
2013-07,1274.6506609547775
2013-08,1256.1277933314134
2013-09,1307.9296165567603
2013-10,1343.11110927488
2013-11,1364.060206988544
2013-12,1376.7873170923572
2014-01,1380.9023748228087
2014-02,1417.4131774551977
2014-03,1417.1272318165222
2014-04,1387.8005184982983
2014-05,1429.6041770622219
2014-06,1479.3011555173753
2014-07,1457.862515601431
2014-08,1526.364596653011
2014-09,1507.5725176733758
2014-10,1540.5645833850385
2014-11,1554.679499086527
2014-12,1606.4314846636505
2015-01,1698.2968655581928
2015-02,1806.4840945012431
2015-03,1891.9370207687737
2015-04,1845.2410134759318
2015-05,1912.7141484640701
2015-06,1860.6232630322525
2015-07,1853.8787798440533
2015-08,1723.9826789058857
2015-09,1664.5135960054415
2015-10,1778.1099881001771
2015-11,1874.335551616429
2015-12,1780.3501457085738
2016-01,1648.412845653499
2016-02,1650.9565735380725
2016-03,1708.587854689923
2016-04,1738.9883341118707
2016-05,1803.5858035119873
2016-06,1781.2622606124428
2016-07,1863.0845090086093
2016-08,1878.5612137628532
2016-09,1889.6591671897486
2016-10,1871.7057931703537
2016-11,1999.017587054523
2016-12,2054.1686240076624
2017-01,2056.3087399101605
2017-02,2142.726030825471
2017-03,2149.3538030785708
2017-04,2153.88619238475
2017-05,2101.20331214077
2017-06,2101.736090749321
2017-07,2082.34732436423
2017-08,2068.0442016409083
2017-09,2155.75054644417
2017-10,2223.9413835082687
2017-11,2219.805054670113
2017-12,2241.55038748675
2018-01,2243.436385657897
2018-02,2199.743863667238
2018-03,2182.3894180869747
2018-04,2239.583184233961
2018-05,2368.542132518213
2018-06,2346.200828513592
2018-07,2371.017425316744
2018-08,2428.8821676289563
2018-09,2394.2220598786053
2018-10,2210.133315815114
2018-11,2235.8658905520233
2018-12,2025.831285797866
2019-01,2216.2089774184246
2019-02,2312.0617221817956
2019-03,2334.8096679745754
2019-04,2406.720594885331
2019-05,2265.3983604781424
2019-06,2343.628972480699
2019-07,2404.575100490139
2019-08,2346.113401806843
2019-09,2420.086229307147
2019-10,2434.620455643551
2019-11,2536.246481075424
2019-12,2585.6602665271134
2020-01,2541.7666271768103
2020-02,2337.3967529231936
2020-03,1853.3830376021601
2020-04,2102.4445701805585
2020-05,2203.6975982843614
2020-06,2252.872535891897
2020-07,2235.244033582024
2020-08,2329.6904319195405
2020-09,2329.7451414183165
2020-10,2344.4024110384116
2020-11,2632.543483628642
2020-12,2765.189769248166
2021-01,2839.2884368681625
2021-02,2990.09627462952
2021-03,3154.357736823647
2021-04,3205.64170354728
2021-05,3191.0241577392985
2021-06,3306.1387423639903
2021-07,3281.732622621858
2021-08,3372.079101750299
2021-09,3333.2616440695338
2021-10,3444.081841431272
2021-11,3378.6741253200776
2021-12,3468.3148883544263
2022-01,3270.6699120593944
2022-02,3257.7277154891913
2022-03,3318.842850755895
2022-04,3239.0754985312733
2022-05,3184.1259582248695
2022-06,2943.84608489501
2022-07,3268.0938913143054
2022-08,3225.075470644784
2022-09,2977.796223577208
2022-10,3160.398712633069
2022-11,3229.9846558637105
2022-12,3019.954927685379
2023-01,3229.486307466517
2023-02,3244.130679640018
2023-03,3101.8183615350904
2023-04,3051.912929438204
2023-05,3092.0611188379444
2023-06,3208.5470399378073
2023-07,3338.8192750142157
