Date,ACWI + FRONTIER MARKETS (ACWI FM)
2002-05,816.1240401964882
2002-06,724.5027845130626
2002-07,669.6752221491427
2002-08,672.1219126996027
2002-09,595.5154719006034
2002-10,637.1669451709307
2002-11,667.5893337961778
2002-12,602.9940211315719
2003-01,571.5888807484836
2003-02,559.3953610587126
2003-03,550.7340114259766
2003-04,584.8724591121484
2003-05,586.938427614714
2003-06,612.0641272804959
2003-07,637.2079246883759
2003-08,668.0090245139783
2003-09,633.3061740391634
2003-10,671.9324760572596
2003-11,661.2138788206099
2003-12,667.020808578324
2004-01,689.0722722039968
2004-02,701.9207388903283
2004-03,705.7035086068478
2004-04,706.4136774368022
2004-05,699.3022494124946
2004-06,715.3312998923517
2004-07,699.9232383483679
2004-08,697.4159419442705
2004-09,696.3157109325332
2004-10,696.2748052327424
2004-11,701.6456079484966
2004-12,712.5654777078727
2005-01,726.7800852243345
2005-02,738.3273213263618
2005-03,737.9444358936515
2005-04,727.0667845660013
2005-05,774.7713172693019
2005-06,798.7263091751515
2005-07,825.3651562592016
2005-08,821.5829712095971
2005-09,863.0444342199676
2005-10,846.7950665045225
2005-11,890.5078255822574
2005-12,911.2067034122634
2006-01,927.5305856985298
2006-02,942.9409392491239
2006-03,947.8135353357087
2006-04,940.1287344075668
2006-05,886.8505199371647
2006-06,891.2951033705801
2006-07,900.3877332165945
2006-08,920.8858229514647
2006-09,941.2138334555049
2006-10,968.5794000496486
2006-11,957.9226572941276
2006-12,984.6032222688942
2007-01,1008.562895564858
2007-02,986.3551870442633
2007-03,997.9256897330882
2007-04,1016.3543519371881
2007-05,1061.8765747027926
2007-06,1055.0539982909736
2007-07,1025.460788427627
2007-08,1026.8005805629675
2007-09,1037.4414817376169
2007-10,1059.7048894057618
2007-11,1000.0
2007-12,992.9487366955574
2008-01,900.3668450574831
2008-02,880.9712250053935
2008-03,830.9545596228335
2008-04,892.9675883357448
2008-05,909.3914236567972
2008-06,823.6954389155135
2008-07,810.1587733953772
2008-08,839.7400337056936
2008-09,770.1052187948861
2008-10,683.7674519463316
2008-11,638.188400046856
2008-12,603.2412774195418
2009-01,598.1293250989722
2009-02,544.5051208750718
2009-03,563.7692558491159
2009-04,631.5349630574877
2009-05,650.350052919077
2009-06,652.7257722160606
2009-07,702.3760393343522
2009-08,718.7983456114425
2009-09,738.00556996713
2009-10,719.7791918328147
2009-11,736.0894203349212
2009-12,786.0963573577737
2010-01,776.4517067620018
2010-02,801.0452838798445
2010-03,859.9358228615673
2010-04,876.574550406589
2010-05,859.8323922416065
2010-06,834.8926686755204
2010-07,848.757837678211
2010-08,839.7646657294131
2010-09,856.505481151928
2010-10,871.7050770902413
2010-11,910.083484973535
2010-12,947.640542223916
2011-01,941.770809213971
2011-02,961.6413516939396
2011-03,935.0710805941727
2011-04,931.0302291431107
2011-05,940.1055558558922
2011-06,917.498488068515
2011-07,910.600916296284
2011-08,842.5166220220999
2011-09,818.9200670499825
2011-10,871.8662849725612
2011-11,876.3295099126703
2011-12,906.86593179703
2012-01,951.4185681597203
2012-02,977.7978122686361
2012-03,988.7872435976137
2012-04,983.5088695936607
2012-05,958.5341943761882
2012-06,979.8474152983214
2012-07,1023.4910023130399
2012-08,1021.7252740066524
2012-09,1032.6446055210663
2012-10,1018.3943673516612
2012-11,1027.6265905942769
2012-12,1036.7080188716025
2013-01,1053.4129778804688
2013-02,1093.5675344891335
2013-03,1133.6778224197935
2013-04,1135.7582330412492
2013-05,1152.4456764779957
2013-06,1115.3274565351608
2013-07,1144.0932894407727
2013-08,1128.1044393716484
2013-09,1155.5828474231612
2013-10,1196.7837482322348
2013-11,1211.9245394854697
2013-12,1218.1839081071719
2014-01,1195.1872783789881
2014-02,1223.2857472722494
2014-03,1231.4321685644393
2014-04,1235.9497340415319
2014-05,1282.800286146568
2014-06,1302.48646684342
2014-07,1316.75866435767
2014-08,1366.974994604642
2014-09,1379.2938336916163
2014-10,1400.2663807981237
2014-11,1430.5753000446643
2014-12,1445.3167786848144
2015-01,1525.5028353229438
2015-02,1620.0895807687855
2015-03,1665.7329152260309
2015-04,1642.8961926930717
2015-05,1676.8246857966703
2015-06,1611.2100681932018
2015-07,1638.7966624368803
2015-08,1505.1815404935357
2015-09,1456.2254063373948
2015-10,1586.8473571293819
2015-11,1645.8680869365369
2015-12,1571.3889844735165
2016-01,1482.3859306257293
2016-02,1466.2347321645213
2016-03,1501.4826869429646
2016-04,1515.9873839737695
2016-05,1561.7039966588545
2016-06,1555.3412965392165
2016-07,1611.660676884294
2016-08,1623.5558783902059
2016-09,1618.9778657667362
2016-10,1631.626246057958
2016-11,1698.7755416989523
2016-12,1745.45237420571
2017-01,1750.3014532578693
2017-02,1829.8909218678039
2017-03,1840.3032669891718
2017-04,1835.6675328338047
2017-05,1816.991195272733
2017-06,1799.5764577731052
2017-07,1789.5088836210755
2017-08,1781.5607605653001
2017-09,1826.277938615619
2017-10,1891.7618929222874
2017-11,1884.0299355420739
2017-12,1901.0112112757627
2018-01,1935.8011554212462
2018-02,1894.3370310055122
2018-03,1838.5759584773257
2018-04,1889.1677401116167
2018-05,1957.2861463664876
2018-06,1946.1134095368245
2018-07,2000.5508914567915
2018-08,2027.2954295366026
2018-09,2039.6002754712256
2018-10,1934.331040261017
2018-11,1964.0427003743923
2018-12,1808.5065460737067
2019-01,1943.8393162569025
2019-02,2011.0708159119663
2019-03,2065.1045872037644
2019-04,2138.756296103824
2019-05,2023.7778001498111
2019-06,2109.8080281363127
2019-07,2164.3661717474924
2019-08,2136.3715957018126
2019-09,2203.2342634307583
2019-10,2211.807179476057
2019-11,2292.569391413089
2019-12,2331.2706558328246
2020-01,2335.326827895386
2020-02,2165.878805632689
2020-03,1875.0865842139037
2020-04,2079.491247285714
2020-05,2136.7282420156603
2020-06,2183.7324693402816
2020-07,2183.569973952115
2020-08,2291.2437012968194
2020-09,2261.6068936805605
2020-10,2221.5688525739542
2020-11,2429.6278584704446
2020-12,2485.6337388068673
2021-01,2491.9712749889254
2021-02,2551.93800642794
2021-03,2705.849718321514
2021-04,2757.3723492603194
2021-05,2757.19324515051
2021-06,2880.1512511763253
2021-07,2900.1976450163197
2021-08,2986.260189710972
2021-09,2916.231341148648
2021-10,3069.5425827859845
2021-11,3079.7602901630953
2021-12,3170.1643972281413
2022-01,3058.098454650681
2022-02,2973.198526497479
2022-03,3066.2955452854717
2022-04,2975.3956891104785
2022-05,2933.2626215337846
