Date,AC ASEAN
2000-12,999.99999989009
2001-01,1077.68217033476
2001-02,1062.0119000805257
2001-03,951.9861929750926
2001-04,910.9413378344219
2001-05,937.3778544726963
2001-06,962.213813189022
2001-07,966.6228919178402
2001-08,969.8169414019328
2001-09,814.8720570840964
2001-10,804.3117079856378
2001-11,868.3448104274867
2001-12,945.8312031081018
2002-01,1084.470494596807
2002-02,1064.292756723239
2002-03,1115.7656463166265
2002-04,1094.2223674277363
2002-05,1035.8932882829777
2002-06,930.9850191594903
2002-07,917.1003580652311
2002-08,906.761488248948
2002-09,809.0251167072275
2002-10,850.6132211576903
2002-11,820.5340182753766
2002-12,779.0309937480179
2003-01,755.3543346139355
2003-02,739.908888060099
2003-03,723.7171237657263
2003-04,722.7638584115384
2003-05,747.4917380816984
2003-06,811.1019022093375
2003-07,865.9966239222376
2003-08,923.1284747129922
2003-09,904.0815390587827
2003-10,975.8498855247084
2003-11,931.5586805871751
2003-12,960.2444590651601
2004-01,1001.4212434069472
2004-02,1029.6436263780417
2004-03,1028.689392337986
2004-04,1035.0949584281436
2004-05,982.1950628696749
2004-06,996.6857003723155
2004-07,1027.0879020437628
2004-08,1022.3876122354
2004-09,1054.091323029591
2004-10,1043.0613830693326
2004-11,1063.8967205490183
2004-12,1059.210628722942
2005-01,1137.3717524640588
2005-02,1135.640202456363
2005-03,1120.6719663243084
2005-04,1118.248525690451
2005-05,1174.5878560884464
2005-06,1220.0372505907944
2005-07,1294.2946426830238
2005-08,1228.3945909965032
2005-09,1278.4935194062823
2005-10,1241.4916828254431
2005-11,1292.9535879524756
2005-12,1350.8142743301896
2006-01,1403.0463749359672
2006-02,1451.7357599145932
2006-03,1470.0649843912133
2006-04,1511.8350888460327
2006-05,1371.989503770944
2006-06,1370.909198313766
2006-07,1409.905885951375
2006-08,1449.9597283811481
2006-09,1506.675394951234
2006-10,1592.089805816259
2006-11,1653.5720660686652
2006-12,1720.440723663556
2007-01,1814.6455455238329
2007-02,1793.1709298328967
2007-03,1864.9055800657077
2007-04,1919.7264235682612
2007-05,2043.7485679349213
2007-06,2060.924017978081
2007-07,2109.1288944713906
2007-08,2003.2921509183427
2007-09,2112.839503627151
2007-10,2244.2423258952367
2007-11,2101.65406854399
2007-12,2156.6448682882724
2008-01,1980.785055433665
2008-02,2018.6825538167566
2008-03,1854.963748451802
2008-04,1929.5961930203453
2008-05,1927.7798150639046
2008-06,1752.0712944429663
2008-07,1731.7547427909592
2008-08,1717.261002972963
2008-09,1551.4421208846347
2008-10,1234.3358402362223
2008-11,1190.1170868420234
2008-12,1186.3380128716283
2009-01,1227.267651780614
2009-02,1154.513855521913
2009-03,1180.8274048464707
2009-04,1402.3740359327858
2009-05,1529.5707497849992
2009-06,1586.2489535955608
2009-07,1789.7056814684645
2009-08,1752.1089650343606
2009-09,1838.843032687526
2009-10,1811.5041813789571
2009-11,1837.2541899153941
2009-12,2007.0880143009638
2010-01,2003.499870021829
2010-02,2053.1351687523807
2010-03,2237.822653987592
2010-04,2375.986068094956
2010-05,2388.2699487345044
2010-06,2489.609227412075
2010-07,2495.034781533394
2010-08,2609.8083076643447
2010-09,2668.549498208484
2010-10,2694.8224312873167
2010-11,2787.271205768703
2010-12,2836.9399973705686
2011-01,2681.305249070428
2011-02,2641.6519051888945
2011-03,2737.9252514352956
2011-04,2744.8937559545016
2011-05,2791.6816766963807
2011-06,2760.337416381781
2011-07,2924.6580162978516
2011-08,2679.508024439174
2011-09,2520.5054264627447
2011-10,2686.0859558265106
2011-11,2617.411015749469
2011-12,2748.0677841340876
2012-01,2960.4276614902
