Date,ACWI ex CZECH REPUBLIC
2015-12,2157.767207719518
2016-01,2035.5728665132724
2016-02,2013.226013837762
2016-03,2061.8178600198903
2016-04,2081.651896559645
2016-05,2144.4049046567543
2016-06,2135.8380687042354
2016-07,2213.326996844435
2016-08,2229.7847668256622
2016-09,2223.380622663657
2016-10,2240.650435095594
2016-11,2333.0658065469556
2016-12,2397.1295737713763
2017-01,2403.5422669197987
2017-02,2513.0558605922124
2017-03,2527.271916585295
2017-04,2520.9210087030797
2017-05,2495.115698655532
2017-06,2471.202098367542
2017-07,2457.4035209424965
2017-08,2446.269773550685
2017-09,2507.6646390070664
2017-10,2597.640153709127
2017-11,2587.0758438112907
2017-12,2610.276302158434
2018-01,2658.025308895749
2018-02,2600.886846210046
2018-03,2524.07279087132
2018-04,2593.848744506988
2018-05,2688.111031252417
2018-06,2672.978957572435
2018-07,2747.687743695064
2018-08,2784.881519625976
2018-09,2801.818935123592
2018-10,2656.9350199435135
2018-11,2697.695232250695
2018-12,2483.7525099921513
2019-01,2669.832623872442
2019-02,2762.3196002209597
2019-03,2836.5648520675927
2019-04,2937.999601189055
2019-05,2779.43726964579
2019-06,2897.8601492352395
2019-07,2972.6687902975295
2019-08,2934.1853584590363
2019-09,3026.315774363225
2019-10,3038.214332225706
2019-11,3149.2331210213697
2019-12,3202.3261964524045
2020-01,3207.8329080806107
2020-02,2974.9302118860737
2020-03,2576.183268340051
2020-04,2857.2332128451876
2020-05,2935.798021105348
2020-06,3000.4569788425238
2020-07,3000.605980362452
2020-08,3148.4530435945517
2020-09,3107.5033120539097
2020-10,3052.263504952039
2020-11,3338.608534747087
2020-12,3415.496302360011
2021-01,3424.159394357211
2021-02,3506.6455547218075
2021-03,3718.2545275856182
2021-04,3788.9406778320877
2021-05,3788.538481457646
2021-06,3957.4368392351307
2021-07,3985.0274964884497
2021-08,4103.254601681333
2021-09,4006.682671590704
2021-10,4217.420633485516
2021-11,4231.580128869868
2021-12,4355.898003470039
2022-01,4201.793958789082
2022-02,4085.2579325315264
2022-03,4213.287245573109
2022-04,4088.0051907439674
2022-05,4030.475646027173
2022-06,3781.786102209815
2022-07,4148.3035698640015
2022-08,4051.6509231832865
2022-09,3760.660396209639
2022-10,3952.5368208327504
2022-11,4088.290201057706
2022-12,3789.01729497518
2023-01,3990.253231722842
2023-02,3969.179285444786
2023-03,3993.8336292366093
2023-04,3986.786013613553
2023-05,4084.406590003429
2023-06,4222.944527348106
2023-07,4331.65370888865
