Date,ASIA APEX 50
2002-05,532.8052818005674
2002-06,476.1457827000235
2002-07,460.41412792712606
2002-08,448.3175694167386
2002-09,394.0262288443044
2002-10,418.22298689637034
2002-11,441.68162069331606
2002-12,381.69598227161475
2003-01,373.1811194051289
2003-02,355.59092851592703
2003-03,334.1621469479513
2003-04,339.4643347632389
2003-05,347.8364337227493
2003-06,376.63940103168034
2003-07,422.5647188845242
2003-08,470.1494535592285
2003-09,441.14705339136896
2003-10,476.08013667959494
2003-11,454.2275941677903
2003-12,449.988973590358
2004-01,495.14096999395304
2004-02,511.3030593622814
2004-03,504.56815762931944
2004-04,487.20584289125156
2004-05,467.98616996486624
2004-06,462.5525600943257
2004-07,453.4233481636188
2004-08,479.7644595633035
2004-09,481.49879112403
2004-10,470.0649682299687
2004-11,486.7625042793574
2004-12,489.82757957251533
2005-01,514.1710195080494
2005-02,535.2095606345312
2005-03,520.1035491331766
2005-04,519.1831653850361
2005-05,558.184207519479
2005-06,582.615453181135
2005-07,623.4488972624945
2005-08,600.0670635036362
2005-09,642.0059911623772
2005-10,605.5263409226641
2005-11,657.3087272852184
2005-12,692.8326509797148
2006-01,726.2040906891241
2006-02,728.953422171426
2006-03,721.3996607774144
2006-04,736.6909718007515
2006-05,680.1380913764738
2006-06,687.7044072521015
2006-07,690.0640855261869
2006-08,710.0520891048247
2006-09,735.0896610004103
2006-10,746.1393788848312
2006-11,771.4748319635944
2006-12,816.8900830521253
2007-01,807.690913241982
2007-02,795.1672916328156
2007-03,802.0450463134003
2007-04,796.342304383685
2007-05,837.9143074144482
2007-06,886.6318856178588
2007-07,932.2109748754737
2007-08,941.4152837912577
2007-09,1026.0757547418518
2007-10,1118.2209785564253
2007-11,1000.0
2007-12,977.771030225681
2008-01,827.45177394969
2008-02,850.9151925499231
2008-03,776.7709316762874
2008-04,876.0207241812359
2008-05,848.2341485084746
2008-06,756.0633459058809
2008-07,759.7441421725646
2008-08,751.8619891972987
2008-09,669.6507296467804
2008-10,576.9391946704101
2008-11,542.7581531755886
2008-12,532.6475220603332
2009-01,541.362205713984
2009-02,519.5111955695007
2009-03,558.2883862233449
2009-04,634.7544562552516
2009-05,670.993866662711
2009-06,681.7071604276964
2009-07,764.9577021260437
2009-08,726.5137571411296
2009-09,771.1098579143288
2009-10,766.7501161779442
2009-11,766.6436846688864
2009-12,831.7642729691956
2010-01,800.7372461024153
2010-02,817.1281648148309
2010-03,875.6668504522573
2010-04,910.662020061628
2010-05,907.5487663999479
2010-06,915.6686579880691
2010-07,910.454117867625
2010-08,908.3397755123422
2010-09,924.7925113016609
2010-10,937.1306966086606
2010-11,1007.6794672769552
2010-12,1026.6113808376242
2011-01,1026.676001283214
2011-02,983.9115961883481
2011-03,1007.0703793422355
2011-04,999.1064875148592
2011-05,1026.0807517525104
2011-06,974.8716371075562
2011-07,989.70012047204
2011-08,894.9748447238404
2011-09,850.6687552777851
2011-10,914.8961012928828
2011-11,878.0716650102939
2011-12,926.890920200506
2012-01,1018.9263611922796
2012-02,1057.8963743736065
2012-03,1032.3515355299355
2012-04,1055.3404165522068
2012-05,1012.2890768875546
2012-06,1015.1191143504506
2012-07,1087.8659598424838
2012-08,1041.0790933984028
2012-09,1093.6433891857716
2012-10,1093.053774206683
2012-11,1118.3703935483586
2012-12,1142.1936164618817
2013-01,1116.178039940435
2013-02,1159.5170785498485
2013-03,1150.906909183328
2013-04,1138.360207048675
2013-05,1145.5809437296107
2013-06,1079.8967569895415
2013-07,1094.5472198950913
2013-08,1112.6933467595934
2013-09,1141.6687101752427
2013-10,1175.2514907888726
2013-11,1199.263493644096
2013-12,1161.6805447422566
2014-01,1120.475834716638
2014-02,1137.3539703078427
2014-03,1133.1513969651915
2014-04,1135.2201286694828
2014-05,1210.6597430926254
2014-06,1228.685184605489
2014-07,1315.1529869898475
2014-08,1336.1594047653243
2014-09,1289.726507983326
2014-10,1340.8504945268808
2014-11,1357.2266251089297
2014-12,1381.0779362960309
2015-01,1522.85788567227
2015-02,1559.4579461835517
2015-03,1643.5116737464962
2015-04,1717.8568306012485
2015-05,1702.0665820864374
2015-06,1626.0701072362594
2015-07,1523.9255490951184
2015-08,1344.7851737867488
2015-09,1325.3435394518986
2015-10,1471.5295193330746
2015-11,1487.2221279163314
2015-12,1431.0603492184505
2016-01,1301.058229121807
2016-02,1288.3264671245358
2016-03,1375.773980030571
2016-04,1356.74625851582
2016-05,1388.0675967353463
2016-06,1433.5142896914062
2016-07,1497.2451147957986
2016-08,1584.134433345529
2016-09,1619.0415479561486
2016-10,1638.439864041723
2016-11,1660.143941375099
2016-12,1627.3113791284957
2017-01,1709.5129289294937
2017-02,1786.5688343644201
2017-03,1821.5582644928977
2017-04,1843.0816454214516
2017-05,1878.5262206820466
2017-06,1905.3686297750182
2017-07,1966.6235220894844
2017-08,1981.5019086708164
2017-09,1999.0517757018918
2017-10,2140.9354249375815
2017-11,2107.843023163885
2017-12,2122.8997182154785
2018-01,2233.031680222173
2018-02,2151.802933052426
2018-03,2097.303531904937
2018-04,2146.6168534273493
2018-05,2200.152585485722
2018-06,2103.955988882037
2018-07,2102.050223711942
2018-08,2082.7952745649013
2018-09,2069.0769487960647
2018-10,1860.70337714331
2018-11,1954.073696019624
2018-12,1862.6563642568995
2019-01,2037.6734477367922
2019-02,2101.454909567127
2019-03,2154.4476868581996
2019-04,2229.748664418577
2019-05,1978.8156355933622
2019-06,2108.5179974229504
2019-07,2141.616542043571
2019-08,2054.176887558254
2019-09,2123.867976069927
2019-10,2169.6981463430097
2019-11,2239.6471797184267
2019-12,2387.630081339478
2020-01,2322.603620393383
2020-02,2307.3412751080673
2020-03,2113.7958761763457
2020-04,2263.2921053602254
2020-05,2187.5052081005583
2020-06,2386.9021602513517
2020-07,2497.430761038139
2020-08,2598.701610263024
2020-09,2622.5000598238466
2020-10,2749.993611090688
2020-11,2818.2757644178632
2020-12,2926.267458825619
2021-01,3155.806728911753
2021-02,3165.9382923973144
2021-03,3130.572644610748
2021-04,3109.384915108733
2021-05,3057.0419116560147
2021-06,3153.795612431941
2021-07,2856.884873238516
2021-08,2902.035885072793
2021-09,2795.293679945665
2021-10,2864.538363562908
2021-11,2803.419984284473
2021-12,2790.93445932142
2022-01,2774.1165408121187
2022-02,2628.9697066767753
2022-03,2576.9550556357613
2022-04,2542.840231872889
2022-05,2534.8827118364375
2022-06,2466.7157871416744
2022-07,2469.8056401316394
2022-08,2498.723498616703
2022-09,2178.9613078413154
2022-10,1971.8036752720639
2022-11,2343.141298341098
2022-12,2262.6460100483123
2023-01,2490.3233087651042
2023-02,2337.0617768383518
2023-03,2404.221014589694
2023-04,2241.828314539762
2023-05,2304.077012351243
2023-06,2331.4570638327514
2023-07,2450.6507566297773
