Date,ACWI ex ANDEAN
2015-12,1934.6297530066788
2016-01,1824.8613591916271
2016-02,1804.639453364929
2016-03,1848.0260458083712
2016-04,1865.6482583240415
2016-05,1922.209217078403
2016-06,1914.1866113208182
2016-07,1983.7690110697959
2016-08,1998.5531435865628
2016-09,1992.8591530494723
2016-10,2008.1062799443487
2016-11,2091.119867371243
2016-12,2148.5771020615693
2017-01,2154.2107630742803
2017-02,2252.4629505270577
2017-03,2265.004238344811
2017-04,2259.470680649614
2017-05,2236.3427716040846
2017-06,2214.948732485161
2017-07,2202.4005330589002
2017-08,2192.175036915768
2017-09,2247.2304935834354
2017-10,2327.8756094702567
2017-11,2318.8684358619366
2017-12,2339.1870133254406
2018-01,2381.833768376472
2018-02,2330.6345716489363
2018-03,2261.7082672801926
2018-04,2324.0648452102887
2018-05,2408.918202702403
2018-06,2395.491055797033
2018-07,2462.4861120230867
2018-08,2496.2588872462748
2018-09,2511.314164281145
2018-10,2381.489247471899
2018-11,2418.0684589963553
2018-12,2226.0867409029993
2019-01,2392.6764436124513
2019-02,2475.7022238157556
2019-03,2542.3730917357016
2019-04,2633.5544265164153
2019-05,2491.5896971579205
2019-06,2597.563274660257
2019-07,2664.885343973834
2019-08,2631.068029549655
2019-09,2713.6033987745436
2019-10,2724.5376132342285
2019-11,2824.5682750837614
2019-12,2871.888971819728
2020-01,2877.138920458475
2020-02,2668.379192413526
2020-03,2311.252690768551
2020-04,2563.3294128411353
2020-05,2634.026910032971
2020-06,2692.012661637611
2020-07,2692.014759698866
2020-08,2825.008680667169
2020-09,2788.3297959110832
2020-10,2738.6915751135098
2020-11,2995.5070212767846
2020-12,3064.1936836722857
2021-01,3072.1947186644143
2021-02,3146.0076041261054
2021-03,3335.9476216996622
2021-04,3399.8561594814823
2021-05,3399.6038770912087
2021-06,3551.3173783031198
2021-07,3576.2918485660607
2021-08,3682.171468832138
2021-09,3595.5942716460586
2021-10,3784.826536938144
2021-11,3797.592462183792
2021-12,3909.446119195911
2022-01,3770.6270886676316
2022-02,3665.7638996354253
2022-03,3780.305010670721
2022-04,3668.169513950567
2022-05,3616.1046051243334
2022-06,3393.5352406654515
2022-07,3722.354828224386
2022-08,3635.4396968529154
2022-09,3374.303917232065
2022-10,3546.4327489373736
2022-11,3668.2350621067717
2022-12,3399.7058110251032
2023-01,3580.2550569602777
2023-02,3561.529056615454
2023-03,3583.737389047762
2023-04,3577.531101229476
2023-05,3665.137082071086
2023-06,3789.3059173450943
2023-07,3886.70754821171
