Date,FM GCC COUNTRIES DOMESTIC
2014-05,1000.0
2014-06,953.5912992192826
2014-07,999.2782899712504
2014-08,1030.2460846547808
2014-09,1075.097420023467
2014-10,1037.072268551859
2014-11,1001.9149298186765
2014-12,960.9715339685794
2015-01,1039.5751941279348
2015-02,1083.6256305547165
2015-03,1052.9975854792076
2015-04,1048.4364611756955
2015-05,1021.0734258136663
2015-06,1015.8312613456077
2015-07,1019.7898506533422
2015-08,916.6640697298317
2015-09,928.8070667778411
2015-10,932.4811640304214
2015-11,955.0028346017272
2015-12,906.5674415094328
2016-01,816.7780492963145
2016-02,855.8483769793397
2016-03,848.8309494249663
2016-04,868.5725148817146
2016-05,858.8808592367938
2016-06,834.6680982869154
2016-07,843.8511100873674
2016-08,830.4774012465667
2016-09,840.2291487185753
2016-10,866.5354521124032
2016-11,927.7350334369673
2016-12,976.9300258850711
2017-01,1055.0412290049303
2017-02,1044.7616818214567
2017-03,1033.3868337563438
2017-04,1002.5141287962549
2017-05,970.6271668863337
2017-06,946.0948924381657
2017-07,967.8870283381312
2017-08,1027.0729914596584
2017-09,1046.7320549621409
2017-10,1029.7446194224196
2017-11,968.7182505420492
2017-12,969.4112432906854
2018-01,970.240141057162
2018-02,1004.4029017947285
2018-03,1009.4590367594026
2018-04,997.9682675719156
2018-05,1012.8592023231741
2018-06,1048.7165925593588
2018-07,1126.046641189391
2018-08,1125.5293611305485
2018-09,1147.5131145551602
2018-10,1150.1977663444677
2018-11,1163.71902032112
2018-12,1146.1415897853994
2019-01,1172.2574996433777
2019-02,1197.6129094031169
2019-03,1321.6010228569207
2019-04,1376.9823217333212
2019-05,1431.8682059441005
2019-06,1432.8085661040948
2019-07,1553.0073672300398
2019-08,1531.679738946854
2019-09,1462.0262914186576
2019-10,1443.9197351405467
2019-11,1525.1108460794057
2019-12,1615.0003552398505
2020-01,1651.7220435037218
2020-02,1592.2495976764576
2020-03,1235.8848385975382
2020-04,1309.3910546993059
2020-05,1322.04665912273
2020-06,1342.93912036149
2020-07,1247.9028572184864
2020-08,1343.4328963890318
2020-09,1403.8856904413828
2020-10,1404.344785475517
2020-11,1376.3819273811755
2020-12,1348.1531255275247
2021-01,1335.5740153913046
2021-02,1346.9907606359707
2021-03,1406.7417274764555
2021-04,1416.3165435157364
2021-05,1436.393398447938
2021-06,1596.0594618116731
2021-07,1614.857981296752
2021-08,1691.6021341377536
2021-09,1812.6588900947695
2021-10,1871.2578334605805
2021-11,1839.3897385852442
2021-12,1876.24969743354
2022-01,1931.0250182032735
2022-02,2082.3595294148113
2022-03,2281.211099447506
2022-04,2467.298322569874
2022-05,2260.5454131775077
2022-06,2239.2307416845547
2022-07,2511.861883946112
2022-08,2540.1899312177347
2022-09,2561.3125247703206
2022-10,2511.3080479574237
2022-11,2416.304270842822
2022-12,2379.5548799064263
2023-01,2347.2887731981114
2023-02,2450.4319090987487
2023-03,2466.647208455421
2023-04,2410.888159598645
2023-05,2530.7381224069654
2023-06,2526.5710864097896
2023-07,2534.721102038035
