Date,BRIC WITH BRAZIL + INDIA + RUSSIA DR
2010-02,1000.0
2010-03,1077.3764899002233
2010-04,1089.3730417474865
2010-05,1074.8153053658705
2010-06,1066.668679771643
2010-07,1083.6453120986823
2010-08,1075.721833042273
2010-09,1101.8385740797353
2010-10,1111.83090064998
2010-11,1159.8482496748322
2010-12,1174.7197464636406
2011-01,1131.0986548603098
2011-02,1135.602395413744
2011-03,1160.56875956539
2011-04,1114.9630254589324
2011-05,1121.1273950718332
2011-06,1091.5122804466437
2011-07,1084.4619690516172
2011-08,978.5152354536278
2011-09,864.1615710873668
2011-10,966.0293150493818
2011-11,935.9026671697997
2011-12,955.0313535445355
2012-01,1065.3856001919792
2012-02,1107.2751933430868
2012-03,1042.949162624354
2012-04,1040.2134572734158
2012-05,964.2602297265897
2012-06,971.9420899114973
2012-07,1012.3883152033349
2012-08,978.4992239678804
2012-09,1016.7524204553265
2012-10,1026.5991751585175
2012-11,1025.7261531634585
2012-12,1073.5130473359632
2013-01,1082.4600085580216
2013-02,1075.6517604885241
2013-03,1060.4014439466127
2013-04,1040.215512298222
2013-05,1025.4242290568243
2013-06,941.641552058267
2013-07,946.8598920491935
2013-08,958.4845023807609
2013-09,1007.8792902279557
2013-10,1042.684053160063
2013-11,1048.6130772920358
2013-12,1011.669374043822
2014-01,946.0111817363439
2014-02,945.7913309913698
2014-03,951.7219022071329
2014-04,935.3925536493382
2014-05,992.3235945953548
2014-06,1026.7506831749956
2014-07,1095.1319774914741
2014-08,1141.0061934142955
2014-09,1081.5309383094395
2014-10,1116.8415636520026
2014-11,1107.973570391336
2014-12,1095.245419244288
2015-01,1173.8301294717767
2015-02,1242.7506808574494
2015-03,1282.93142259614
2015-04,1431.279806419037
2015-05,1390.2293387274851
2015-06,1306.9162074744206
2015-07,1184.331743656514
2015-08,1037.65212630536
2015-09,1002.9336290545997
2015-10,1095.2217474163772
2015-11,1112.089932011169
2015-12,1049.05644880037
2016-01,940.4786115997641
2016-02,920.0082781816068
2016-03,1003.407388814827
2016-04,1022.2630737871378
2016-05,1019.1710465000265
2016-06,1051.218681218303
2016-07,1084.6233314783785
2016-08,1154.360781913791
2016-09,1170.4817198397961
2016-10,1207.0857222865695
2016-11,1222.9481076021223
2016-12,1204.4979409101759
2017-01,1252.242277479352
2017-02,1305.1710549960412
2017-03,1315.0601193026646
2017-04,1311.2820316762916
2017-05,1307.5438434226648
2017-06,1305.990200545945
2017-07,1371.6355479230813
2017-08,1421.9748946487568
2017-09,1450.2955219159328
2017-10,1513.3528190673774
2017-11,1494.1174294640516
2017-12,1524.045354093789
2018-01,1657.68776312596
2018-02,1606.3668000657426
2018-03,1542.9901487027296
2018-04,1553.2035271583334
2018-05,1597.561776475811
2018-06,1517.9788504773724
2018-07,1510.0175575906342
2018-08,1451.855079877469
2018-09,1455.800190050834
2018-10,1376.8167879399898
2018-11,1450.7139091265083
2018-12,1360.5143099321635
2019-01,1513.9220906345615
2019-02,1552.4817980248988
2019-03,1605.4248356682988
2019-04,1641.5900561613826
2019-05,1483.696393791035
2019-06,1564.7338835300502
2019-07,1591.6284302986774
2019-08,1529.5232012357847
2019-09,1554.507599745675
2019-10,1585.8669522964412
2019-11,1618.021426619035
2019-12,1727.2951091171649
2020-01,1659.6165407388703
2020-02,1642.5092773529702
2020-03,1463.6909937517164
2020-04,1563.7596170823224
2020-05,1548.0997615920169
2020-06,1657.4540513902525
2020-07,1719.2237528485352
2020-08,1777.0154190903868
2020-09,1758.34444430062
2020-10,1843.9462775916797
2020-11,1888.8835721656749
2020-12,1923.2063220315636
2021-01,2046.918103609608
2021-02,2030.1164504644598
2021-03,2001.0080632553056
2021-04,1984.5921196922607
2021-05,1998.6621741119936
2021-06,2079.470528188998
2021-07,1831.9408806664346
2021-08,1846.4339841486305
2021-09,1795.5131327004644
2021-10,1846.1220429717782
2021-11,1781.1010872378108
2021-12,1736.1019751675026
2022-01,1720.936506929132
2022-02,1575.0294263890598
2022-03,1469.8526713439785
2022-04,1468.3836857217345
2022-05,1471.2243011480853
2022-06,1561.1772724855432
2022-07,1481.3414760611063
2022-08,1511.4857806937384
2022-09,1348.3565367702085
2022-10,1160.1062094268439
2022-11,1391.7612863674867
2022-12,1387.8677871540124
2023-01,1511.063395262413
2023-02,1394.8487265501265
2023-03,1413.9754487294242
2023-04,1329.002028277927
2023-05,1276.6590866664365
2023-06,1308.1097682748054
2023-07,1420.2176428278692
