Date,EM (EMERGING MARKETS)
2000-12,100.0
2001-01,114.84701255312685
2001-02,107.03610344990892
2001-03,100.36013445177127
2001-04,105.00410453903586
2001-05,111.10165335171698
2001-06,108.91625421211467
2001-07,98.67503995893938
2001-08,94.09376734165285
2001-09,79.31157923061397
2001-10,85.16543265240186
2001-11,94.61252991581462
2001-12,102.6840431627873
2002-01,109.7864915425345
2002-02,111.03692777121937
2002-03,116.68328042511905
2002-04,113.69091096172416
2002-05,107.88356418461538
2002-06,94.37164057698347
2002-07,87.7972655246417
2002-08,89.11216840775737
2002-09,78.88737866042153
2002-10,83.8387247056361
2002-11,89.20752856572972
2002-12,81.74901012302736
2003-01,79.56154633535013
2003-02,77.01700554814884
2003-03,73.89901047303167
2003-04,78.68269001025877
2003-05,79.99657887987172
2003-06,86.57753910330686
2003-07,93.82443115378878
2003-08,102.62372335142976
2003-09,97.45498791127368
2003-10,105.93260491712547
2003-11,103.98378206243295
2003-12,105.97458576878776
2004-01,111.35657167300195
2004-02,116.4449185592844
2004-03,119.20501143750698
2004-04,112.19663329608414
2004-05,107.94143149547743
2004-06,108.80245591722345
2004-07,107.93697151447262
2004-08,111.36361503442096
2004-09,115.25611265621905
2004-10,115.22250363317092
2004-11,120.48976233917735
2004-12,123.47109541982563
2005-01,129.07354340138966
2005-02,137.81895549503537
2005-03,131.4538585234753
2005-04,128.78754450646258
2005-05,139.3362141833349
2005-06,146.93805905629873
2005-07,156.6909409630498
2005-08,156.0798889905206
2005-09,174.03710621826912
2005-10,163.73482662045583
2005-11,180.10683693289155
2005-12,190.65516668547508
2006-01,205.88523766213618
2006-02,209.4437311849563
2006-03,208.16400645838752
2006-04,214.2252376270253
2006-05,188.074204690684
2006-06,188.46518102731775
2006-07,191.49971990819537
2006-08,195.78031111304398
2006-09,199.48323455304964
2006-10,207.3863945303778
2006-11,214.529662319338
2006-12,225.36301184598253
2007-01,226.27842437280555
2007-02,221.27431995939372
2007-03,228.29056618039823
2007-04,233.23432850859996
2007-05,248.027260376465
2007-06,258.71174534153187
2007-07,268.72102976833554
2007-08,264.09057150655883
2007-09,281.11138686584144
2007-10,307.1481818283833
2007-11,281.2676484072767
2007-12,283.37892735475185
2008-01,244.90762672362496
2008-02,256.4886113911184
2008-03,232.728472988497
2008-04,256.08385128233897
2008-05,261.3130828795982
2008-06,232.0358389629349
2008-07,225.4729680670556
2008-08,219.86432181177034
2008-09,190.11675198075125
2008-10,152.96114690271838
2008-11,141.35194315141607
2008-12,139.09638770971037
2009-01,141.13477560720042
2009-02,134.37368318893692
2009-03,147.01101590646925
2009-04,171.81160226031704
2009-05,188.32750554141785
2009-06,187.48609511542162
2009-07,206.3471149102649
2009-08,203.12972008447912
2009-09,217.52816722955671
2009-10,215.7675495635214
2009-11,221.153839657061
2009-12,240.55867118849247
2010-01,234.46332492799945
2010-02,239.6419368623013
2010-03,261.2091588304083
2010-04,269.03625988444634
2010-05,265.8896448306311
2010-06,264.39836527969743
2010-07,269.29013184413293
2010-08,270.6776136671071
2010-09,279.99430401368323
2010-10,283.0040878689648
2010-11,294.1915546900319
2010-12,305.8342729032177
2011-01,291.1453516026581
2011-02,286.3003246598355
2011-03,295.03720472746505
2011-04,290.9645905529602
2011-05,292.39881254400495
2011-06,285.4681207380039
2011-07,286.7416263053527
2011-08,260.609398254593
2011-09,238.89066235999604
2011-10,260.2342499552261
2011-11,251.6687217423917
2011-12,257.8289050267361
2012-01,284.6831987780985
2012-02,295.27326820785373
2012-03,286.7031990692252
2012-04,285.0211378993089
2012-05,270.8837495466246
2012-06,274.11144584966627
2012-07,287.9676547137482
2012-08,280.41698372197203
2012-09,291.32872185710164
2012-10,287.48192371933936
2012-11,290.0571775003101
2012-12,300.13241503529764
2013-01,295.52826648362867
2013-02,302.98703640353824
2013-03,303.159655785334
2013-04,297.4982314443049
2013-05,294.87588383138785
2013-06,275.2865349267714
2013-07,272.2972791502923
2013-08,269.4971960980905
2013-09,279.5908312644478
2013-10,291.91275499386677
2013-11,287.21114962830717
2013-12,279.6900142070533
2014-01,267.22988951207424
2014-02,269.56563730189
2014-03,278.42459213934796
2014-04,277.6827157464997
2014-05,292.0086512710513
2014-06,298.759836609541
2014-07,311.62650052523117
2014-08,323.68086296997694
2014-09,312.48802883926834
2014-10,318.7843931716331
2014-11,316.99379482722867
2014-12,311.530999850221
2015-01,336.0608119232406
2015-02,348.566633725707
2015-03,358.8547310170094
2015-04,370.40189176139165
2015-05,363.41718312195337
2015-06,348.3077703451484
2015-07,326.90676367228343
2015-08,293.1861420024757
2015-09,285.44868220873474
2015-10,309.0221749746529
2015-11,310.6051513992616
2015-12,295.25265660808515
2016-01,277.1828285002988
2016-02,275.5831982269697
2016-03,297.53708612633415
2016-04,297.63925317742604
2016-05,294.7988360453723
