Date,EMERGING + FRONTIER MARKETS WORKFORCE
2004-12,1040.456228816272
2005-01,1079.0405528844456
2005-02,1152.7530180306674
2005-03,1096.1750209320417
2005-04,1080.8445329438598
2005-05,1177.7863175366913
2005-06,1245.8952022478277
2005-07,1329.9087597414239
2005-08,1352.4906373712804
2005-09,1540.8399820466802
2005-10,1479.624449900444
2005-11,1615.8727086076235
2005-12,1683.3915781543026
2006-01,1850.7077612737708
2006-02,1863.589142111655
2006-03,1836.1867264740727
2006-04,1869.8046327113525
2006-05,1592.389153563566
2006-06,1593.1683643440856
2006-07,1648.9415256993298
2006-08,1672.6958155450764
2006-09,1686.3523529063175
2006-10,1796.631043877036
2006-11,1826.3576106168612
2006-12,1942.694357524283
2007-01,2016.793092363308
2007-02,1954.6211339794206
2007-03,2059.634684353062
2007-04,2128.300244223023
2007-05,2285.8497684664553
2007-06,2295.840508750122
2007-07,2301.5073024834796
2007-08,2236.316853939426
2007-09,2357.5437416248137
2007-10,2574.7155689537767
2007-11,2412.0374239508033
2007-12,2440.518943014035
2008-01,2242.014727949587
2008-02,2310.524649547502
2008-03,2107.706222573594
2008-04,2291.3988052501422
2008-05,2403.0465665026304
2008-06,2192.272130075673
2008-07,2153.1877285903206
2008-08,2135.748992684347
2008-09,1902.491532793959
2008-10,1506.6671850955033
2008-11,1433.9574726505562
2008-12,1375.5228668404104
2009-01,1392.600989188048
2009-02,1335.4776409674619
2009-03,1413.1317758791624
2009-04,1624.0939004628808
2009-05,1762.6619133697918
2009-06,1796.630061101929
2009-07,1942.1015685150999
2009-08,1974.234934457897
2009-09,2060.21519061613
2009-10,2047.0978920547775
2009-11,2099.0281559562472
2009-12,2278.294316480068
2010-01,2253.395937930963
2010-02,2333.168725806819
2010-03,2554.887199743456
2010-04,2623.3931717174737
2010-05,2616.752219388734
2010-06,2585.721080626283
2010-07,2652.357522326388
2010-08,2706.0334320148977
2010-09,2801.9261468020854
2010-10,2842.0446248402222
2010-11,2933.8881290419395
2010-12,3049.807901586925
2011-01,2791.986194157468
2011-02,2809.670085337901
2011-03,2852.0336358564277
2011-04,2805.876552386649
2011-05,2814.2884470051745
2011-06,2773.654220164073
2011-07,2762.97046770427
2011-08,2611.953067074501
2011-09,2431.4468961430066
2011-10,2610.6721474149144
2011-11,2595.5590335888273
2011-12,2669.0742441872508
2012-01,2882.321093488631
2012-02,2943.3714929831704
2012-03,2924.625182932786
2012-04,2904.824229423955
2012-05,2783.4027173082827
2012-06,2835.8381862129872
2012-07,2990.87857034016
2012-08,2902.6356484697303
2012-09,2957.43581196494
2012-10,2951.5558331747284
2012-11,2911.7883690511226
2012-12,3026.7520673091426
2013-01,2966.675794714075
2013-02,3062.169568034498
2013-03,3140.8666096731868
2013-04,3073.4466139012907
2013-05,2992.7282192312923
2013-06,2814.40898335797
2013-07,2739.8529722908747
2013-08,2630.436511926679
2013-09,2719.999110611947
2013-10,2837.9485076536603
2013-11,2733.0905367005807
2013-12,2651.2278455852456
2014-01,2522.6748399825087
2014-02,2571.3463929799486
2014-03,2711.3887970560577
2014-04,2729.275662463656
2014-05,2831.2822454911216
2014-06,2877.3956093232437
2014-07,3034.393938153967
2014-08,3175.305777658606
2014-09,3040.947254950741
2014-10,3122.837902329072
2014-11,3093.3697293734394
2014-12,3032.3654756766905
2015-01,3217.224105346097
2015-02,3318.2534398283774
2015-03,3368.352207930115
2015-04,3486.512939912655
2015-05,3372.740795061237
2015-06,3268.2676341984147
2015-07,3056.7458387011534
2015-08,2704.8759452994404
2015-09,2562.5776391544487
2015-10,2788.2906302343204
2015-11,2801.6369061073287
2015-12,2624.924652698138
2016-01,2505.8081690041154
2016-02,2529.8580140538534
2016-03,2777.445754827284
2016-04,2838.924555950724
2016-05,2707.4414607440876
2016-06,2899.303605515432
2016-07,3012.400340960609
2016-08,3034.447448402212
2016-09,3038.0608649913115
2016-10,3203.738461340483
2016-11,3033.943464192692
2016-12,3085.1964159116724
2017-01,3176.875130926377
2017-02,3320.836446416932
2017-03,3345.7570011902208
2017-04,3372.4970888463135
2017-05,3305.514652821428
2017-06,3264.7366829594594
2017-07,3360.02807503258
2017-08,3453.197721920361
2017-09,3450.820417839819
2017-10,3503.9044738050366
2017-11,3446.920410270169
2017-12,3613.0673837855297
2018-01,3778.6149672736733
2018-02,3733.095098188231
2018-03,3587.725737476506
2018-04,3596.69521179952
2018-05,3432.411805850106
2018-06,3288.4886028527353
2018-07,3432.5036554189323
2018-08,3222.521562107667
2018-09,3254.049806709773
2018-10,3188.576562934508
2018-11,3300.1160933680785
2018-12,3218.684269398505
2019-01,3578.2869656590806
2019-02,3524.3832106265286
2019-03,3537.6880139534896
2019-04,3619.6308637265656
2019-05,3454.410094445882
2019-06,3584.0904373495623
2019-07,3646.9912243565545
2019-08,3441.8600407364775
2019-09,3498.741088387732
2019-10,3523.774296619243
2019-11,3514.142961025905
2019-12,3736.432763296519
2020-01,3584.380900549919
2020-02,3304.3587735773554
2020-03,2555.995715936194
2020-04,2763.748540928593
2020-05,2801.2661904085476
2020-06,2968.2623593055537
2020-07,3026.1482713522064
2020-08,2984.3627533862746
2020-09,2946.7129162386273
2020-10,3024.6597660837965
2020-11,3268.91978242158
2020-12,3444.742865936331
2021-01,3417.5430120233
2021-02,3404.861266095674
2021-03,3521.2990436013483
2021-04,3498.5632894505284
2021-05,3598.989127129324
2021-06,3651.3679944869587
2021-07,3463.7272162321333
2021-08,3573.2330823085795
2021-09,3436.5698304184284
2021-10,3451.4987191662112
2021-11,3405.9992393104353
2021-12,3493.403461231253
