Date,ACWI ex UK
2000-12,100.0
2001-01,103.93817547228274
2001-02,96.0511175167779
2001-03,92.92639540596353
2001-04,99.46092718888107
2001-05,103.04109625634773
2001-06,100.01174274387927
2001-07,95.05301939604207
2001-08,86.97128930517373
2001-09,78.55655694814133
2001-10,81.12025424835797
2001-11,86.9580079385234
2001-12,88.10111410797327
2002-01,88.75306505763282
2002-02,87.62993775659274
2002-03,90.76504251591183
2002-04,84.71698226750073
2002-05,81.93432911891739
2002-06,72.57235756601987
2002-07,66.80819072721124
2002-08,67.04183142145273
2002-09,59.15760459449844
2002-10,63.328833655117236
2002-11,66.6601262119129
2002-12,59.955860465910675
2003-01,57.183121075502164
2003-02,55.921391401368716
2003-03,54.97457716970175
2003-04,58.41874016568198
2003-05,58.59288325846779
2003-06,61.206114162699386
2003-07,63.92612945501903
2003-08,67.29333818657666
2003-09,63.62317567788673
2003-10,67.52882019452169
2003-11,66.36061607602355
2003-12,66.95773676777124
2004-01,69.29147784258885
2004-02,70.31555967788879
2004-03,70.83471048226225
2004-04,70.77556974265859
2004-05,69.90397579633793
2004-06,71.70811059766908
2004-07,69.96636082093222
2004-08,69.73797681749316
2004-09,69.5670228627378
2004-10,69.58440465711617
2004-11,70.15234325653518
2004-12,71.29700603343414
2005-01,72.644581655369
2005-02,73.69585938434524
2005-03,73.64719216053855
2005-04,72.40618029015006
2005-05,77.37207974337592
2005-06,79.65770343590273
2005-07,82.53836536875824
2005-08,81.92371506232385
2005-09,86.20635796103701
2005-10,84.4736063672841
2005-11,89.26797530466358
2005-12,91.37416697951693
2006-01,93.02473773255646
2006-02,94.66149926374494
2006-03,95.14220068252614
2006-04,94.17665474395328
2006-05,88.50220137525173
2006-06,88.75781569535022
2006-07,89.37119328334173
2006-08,91.42602909144932
2006-09,93.64248187926238
2006-10,96.29157407024655
2006-11,95.38135624630955
2006-12,97.98577917293385
2007-01,100.55564583809085
2007-02,98.3544819562361
2007-03,99.41374313306848
2007-04,101.25865949296457
2007-05,105.90830434059487
2007-06,105.02645784175178
2007-07,102.1544216515725
2007-08,102.35542548712269
2007-09,103.57204630257543
2007-10,105.54966283518065
2007-11,99.54335598430629
2007-12,99.00347698899348
2008-01,89.83228288401075
2008-02,87.84900317067631
2008-03,82.98924948203592
2008-04,89.09721661176131
2008-05,90.85418901904153
2008-06,82.08185997780512
2008-07,80.86196734186083
2008-08,83.94077750975289
2008-09,77.19024465665825
2008-10,68.48989613669355
2008-11,63.93890279830366
2008-12,60.852479612353044
2009-01,60.227141636330266
2009-02,54.728862002728874
2009-03,56.88851263860028
2009-04,63.686748064024286
2009-05,65.34837924561931
2009-06,65.62007286208166
2009-07,70.60747270882494
2009-08,72.1215992540719
2009-09,74.17760654831079
2009-10,72.15337230736047
2009-11,73.9094341942272
2009-12,78.89984432495294
2010-01,77.96259622940609
2010-02,80.62389736706247
2010-03,86.58099344877101
2010-04,88.36087220157724
2010-05,86.79163681574087
2010-06,84.19980963120335
2010-07,85.32078321811946
2010-08,84.27762794006541
2010-09,86.0096323924902
2010-10,87.50783048418708
2010-11,91.59229458450444
2010-12,95.38478864017581
2011-01,94.76616174613049
2011-02,96.68563447249436
2011-03,94.21187208791041
2011-04,93.56066309975525
2011-05,94.48233043768022
2011-06,92.31994925436365
2011-07,91.48598026109882
2011-08,84.63861675449225
2011-09,82.19715305496844
2011-10,87.44184348627886
2011-11,87.86517346238885
2011-12,90.90669654129353
2012-01,95.58478546375812
2012-02,98.22811328189003
2012-03,99.49319161213404
2012-04,98.74418546691076
2012-05,96.46553042951986
2012-06,98.44910214566909
2012-07,102.85381694888615
2012-08,102.56775422737418
