Date,EM 50
2008-05,1000.0
2008-06,889.348171001748
2008-07,846.424922834144
2008-08,823.7024169038964
2008-09,721.2224022569824
2008-10,581.13032786428
2008-11,531.4224856282326
2008-12,512.8694580039148
2009-01,514.5941118043536
2009-02,495.2300235204684
2009-03,546.1897765175484
2009-04,626.7228361989273
2009-05,681.923572270236
2009-06,675.287818435597
2009-07,740.0145393592269
2009-08,725.1922701463599
2009-09,779.6361993735507
2009-10,778.7498128559064
2009-11,798.0099031750583
2009-12,863.559276950309
2010-01,820.374413733279
2010-02,837.8579218053147
2010-03,908.7300089169228
2010-04,939.5738744549083
2010-05,919.9222737716381
2010-06,906.13426316939
2010-07,924.3999966604136
2010-08,912.8139443312764
2010-09,931.2541895449893
2010-10,942.8185728791353
2010-11,996.5084254429067
2010-12,1043.0551863043397
2011-01,1005.9424348059191
2011-02,1001.6839701940805
2011-03,1025.8293241678844
2011-04,1003.9513415400543
2011-05,1004.3952745284155
2011-06,973.718121336323
2011-07,967.6080965011805
2011-08,881.6532129270056
2011-09,824.0531529618316
2011-10,900.1602415504581
2011-11,882.0358281626303
2011-12,907.5818589454693
2012-01,992.2271209221681
2012-02,1023.052215247131
2012-03,994.0530341036533
2012-04,995.4774721999879
2012-05,939.3160653224991
2012-06,943.927663312587
2012-07,995.8093567150079
2012-08,962.6647582529054
2012-09,1004.33697892792
2012-10,991.0942696367073
2012-11,998.7521164304598
2012-12,1034.7876198244414
2013-01,1013.0679323487732
2013-02,1033.5254560014903
2013-03,1022.2680566620394
2013-04,997.1130350386869
2013-05,995.8099634167921
2013-06,934.7562419458318
2013-07,936.2593776261726
2013-08,948.5823769150703
2013-09,987.041447090475
2013-10,1024.1234565321472
2013-11,1027.5475056670077
2013-12,999.6179869969873
2014-01,950.3777696703836
2014-02,959.963523884868
2014-03,977.3426145040356
2014-04,965.9563141283877
2014-05,1032.7130909354464
2014-06,1060.8134130665749
2014-07,1115.0041823997046
2014-08,1157.9969728952055
2014-09,1102.9313005758845
2014-10,1135.2211832543815
2014-11,1126.2166147735898
2014-12,1117.7555395773197
2015-01,1207.3289701353465
2015-02,1257.1081524901774
2015-03,1295.4835992381688
2015-04,1361.1846613559228
2015-05,1321.5031094758629
2015-06,1275.292608385487
2015-07,1176.601048284855
2015-08,1049.935711679979
2015-09,1018.3356595869975
2015-10,1120.5922101038032
2015-11,1138.098947994004
2015-12,1067.888002001797
2016-01,995.0847750384542
2016-02,983.7148930988506
2016-03,1067.1891972958624
2016-04,1062.9851100926946
2016-05,1072.1844496299243
2016-06,1115.7424586245095
2016-07,1158.8799360510402
2016-08,1222.6410293442066
2016-09,1246.9703430355576
2016-10,1279.4455093800425
2016-11,1269.9703343509286
2016-12,1273.2489758433594
2017-01,1324.98804115408
2017-02,1384.106811738524
2017-03,1413.0525719193051
2017-04,1427.3714830201625
2017-05,1435.3132684053103
2017-06,1442.5147163531794
2017-07,1500.8408316730759
2017-08,1528.024757511359
2017-09,1540.828266587722
2017-10,1642.0479680196904
2017-11,1616.1173859848288
2017-12,1640.2827366196655
2018-01,1742.0035368396234
2018-02,1688.2580890097213
2018-03,1639.1940518864308
2018-04,1646.1626419731226
2018-05,1659.5921723940587
2018-06,1599.4724427087408
2018-07,1617.2055108299653
2018-08,1576.5578604677455
2018-09,1577.0308727025488
2018-10,1452.7052507172273
2018-11,1510.317570803925
2018-12,1435.7813721856771
2019-01,1593.896385929018
2019-02,1608.9437367006385
2019-03,1651.877081492468
2019-04,1712.2300071883803
2019-05,1547.5099189611483
2019-06,1639.0834139455721
2019-07,1670.8168288540867
2019-08,1600.8868779483996
2019-09,1659.9598970479765
2019-10,1689.4867181609218
2019-11,1738.1694474033577
2019-12,1871.4200873008965
2020-01,1810.0777505354674
2020-02,1757.7141781225357
2020-03,1560.796218005441
2020-04,1673.3312207051629
2020-05,1653.5302210568425
2020-06,1788.502848224616
2020-07,1890.3234921154185
2020-08,1946.5730632858351
2020-09,1968.4934803063086
2020-10,2067.2803545321517
2020-11,2132.231282297361
2020-12,2222.918472935474
2021-01,2400.2722715033665
2021-02,2394.066994587302
2021-03,2368.9192170178953
2021-04,2356.868663040623
2021-05,2324.7910333705104
2021-06,2417.791912456398
2021-07,2181.5035657038857
2021-08,2189.236591747413
2021-09,2105.7939726431828
2021-10,2172.8782834655563
2021-11,2117.008216441197
2021-12,2126.2417049524406
2022-01,2132.354889947841
2022-02,1949.7299714805354
2022-03,1894.2021609136414
2022-04,1870.76693478684
2022-05,1874.348037995661
2022-06,1793.9113122326787
2022-07,1806.0077482736651
2022-08,1834.8561120098525
2022-09,1604.4187215010768
2022-10,1454.1583664511093
2022-11,1702.9259282656162
2022-12,1636.1319510710396
2023-01,1822.113460170261
2023-02,1702.1291193187058
2023-03,1750.375964409016
2023-04,1628.8986173795827
2023-05,1683.3284679090734
2023-06,1711.4969701034868
2023-07,1803.6261111295628
