Date,ANDEAN
2002-05,1000.0
2002-06,853.1909850020841
2002-07,831.346188370534
2002-08,835.4205347140194
2002-09,728.4506104845487
2002-10,761.5945913610949
2002-11,802.1202526242985
2002-12,791.1921846111685
2003-01,764.7339263931258
2003-02,762.2947263982858
2003-03,776.4249324634052
2003-04,872.044223744588
2003-05,860.2237171287071
2003-06,899.0249380225238
2003-07,982.5252086647237
2003-08,1062.5415603830609
2003-09,1091.2663158006992
2003-10,1204.151282270774
2003-11,1175.652889763378
2003-12,1198.4721245971557
2004-01,1155.4011101826252
2004-02,1248.4631483572261
2004-03,1227.067409151522
2004-04,1183.2759624944674
2004-05,1153.0799647064214
2004-06,1181.6830550416032
2004-07,1219.297959377365
2004-08,1274.6265877892456
2004-09,1295.1917870444975
2004-10,1304.889496922358
2004-11,1314.6969848756594
2004-12,1344.2899818102
2005-01,1354.3893023389971
2005-02,1452.0976308648887
2005-03,1450.7484109126724
2005-04,1456.8458784756385
2005-05,1550.825892111112
2005-06,1680.0498545801536
2005-07,1791.8162508755213
2005-08,1803.1614164045347
2005-09,2021.4366976028646
2005-10,1902.239049111458
2005-11,2031.847800081548
2005-12,2035.9852068026744
2006-01,2115.8628725559897
2006-02,2217.2664126443456
2006-03,2165.70683081538
2006-04,2164.6956577161063
2006-05,1919.7864147434354
2006-06,1903.7472793542934
2006-07,1984.3938948957084
2006-08,2042.2732518156738
2006-09,2130.057177571681
2006-10,2258.2540284422007
2006-11,2275.069685181896
2006-12,2394.2676994045137
2007-01,2530.632591149469
2007-02,2500.019628988806
2007-03,2573.039914360199
2007-04,2792.841803987909
2007-05,2919.845560804299
2007-06,3077.8622153259353
2007-07,3133.6464673165324
2007-08,2999.5986571280396
2007-09,3027.5649735038564
2007-10,3282.307513354573
2007-11,2940.246854520685
2007-12,2896.1368728861494
2008-01,2759.4411707107074
2008-02,2878.1566517534166
2008-03,2845.68761461559
2008-04,3015.334948933649
2008-05,3032.9350186470515
2008-06,2727.9764089365376
2008-07,2733.245820596044
2008-08,2736.6337260463188
2008-09,2523.1211471432025
2008-10,1991.19391436545
2008-11,2037.088261899588
2008-12,1996.990626803283
2009-01,2186.3979177250367
2009-02,2143.8993634851317
2009-03,2220.216442895304
2009-04,2407.297221856343
2009-05,2686.3889454016544
2009-06,2780.9336104309577
2009-07,2959.387398182573
2009-08,2915.9240440484746
2009-09,3206.9012050005244
2009-10,3085.148010270591
2009-11,3245.6131218019773
2009-12,3517.305494746038
2010-01,3634.7929849410734
2010-02,3778.819874580416
2010-03,3834.23601490649
2010-04,3988.1701487746686
2010-05,4286.138291220593
2010-06,4370.499971067508
2010-07,4582.173088480545
2010-08,5031.491848341101
2010-09,5131.22551923351
2010-10,5329.239054053355
2010-11,5474.264755454437
2010-12,5488.026407105662
2011-01,4940.057371943394
2011-02,4821.805704188217
2011-03,4817.230509916951
2011-04,4840.9985490646495
2011-05,5017.447980793254
2011-06,4862.757872733189
2011-07,4781.875624263244
2011-08,4712.312434561352
2011-09,4251.992678118228
2011-10,4669.489544086487
2011-11,4500.253306194017
2011-12,4704.999795954056
2012-01,5063.7202551138325
2012-02,5284.534353079402
2012-03,5357.088576215327
2012-04,5503.512074027586
2012-05,5309.7577769184245
2012-06,5326.684172893035
2012-07,5477.779428883603
2012-08,5268.090862977598
2012-09,5351.8113094402615
2012-10,5374.091237487954
2012-11,5256.22771751253
2012-12,5485.036722684771
2013-01,5549.596084460468
2013-02,5574.485287768088
2013-03,5599.066448305127
2013-04,5194.355030290267
2013-05,4881.234842545292
2013-06,4630.223874877545
2013-07,4357.6895216397015
2013-08,4353.8909341847075
2013-09,4428.039913085503
2013-10,4474.4312476841815
2013-11,4122.083156229413
2013-12,4035.6958156701594
2014-01,3681.821781520391
2014-02,3807.930127445521
2014-03,4079.086862173515
2014-04,4165.019986679443
2014-05,4268.568609781342
2014-06,4310.684657304407
2014-07,4298.452679583014
2014-08,4426.471012270656
2014-09,4342.210906258925
2014-10,4303.098974067937
2014-11,4135.11730912618
2014-12,4045.964604191827
2015-01,4090.642397468723
2015-02,4232.953466211797
2015-03,4249.552488251566
2015-04,4432.498743265889
2015-05,4294.472563362786
2015-06,4055.651931037664
2015-07,3802.0133339695367
2015-08,3473.2610705429056
2015-09,3336.1391677401116
2015-10,3582.9138430513212
2015-11,3374.4528148649097
2015-12,3277.747098730527
2016-01,3300.331972418569
2016-02,3404.3713484251502
2016-03,3668.156354614733
2016-04,3848.12565894974
2016-05,3656.1253211269645
2016-06,3953.3648917920605
