Date,AC AP WITH PARTIAL A SHARES
2008-11,1057.7043756229418
2008-12,1047.0839355009393
2009-01,1054.729422912343
2009-02,964.9193536735683
2009-03,999.0738912253563
2009-04,1125.8186262787437
2009-05,1184.9904590980013
2009-06,1211.9185029543223
2009-07,1302.110219850466
2009-08,1305.8694238975963
2009-09,1339.4498348194902
2009-10,1310.552743749073
2009-11,1303.3188808619946
2009-12,1396.8017407286743
2010-01,1398.7432058767522
2010-02,1442.2913709173727
2010-03,1548.3353003173434
2010-04,1586.5226988378895
2010-05,1553.845022334388
2010-06,1549.450362723166
2010-07,1541.5260659021515
2010-08,1549.9088541185415
2010-09,1571.3444642908973
2010-10,1581.6893497390147
2010-11,1682.1033869831597
2010-12,1747.8763541148378
2011-01,1697.533271261294
2011-02,1698.481680955933
2011-03,1640.6691243878086
2011-04,1613.7804379817217
2011-05,1631.4978656382452
2011-06,1606.0400943370153
2011-07,1644.834829662398
2011-08,1504.6799303075263
2011-09,1469.8444109505526
2011-10,1522.2834728561693
2011-11,1473.9772473713892
2011-12,1533.6412679605342
2012-01,1642.147857892875
2012-02,1689.8405015778067
2012-03,1673.9928725557843
2012-04,1668.9788818214884
2012-05,1610.9566550728496
2012-06,1638.4694756481956
2012-07,1712.321082589592
2012-08,1664.6734132506342
2012-09,1705.6203484010916
2012-10,1687.0339642199417
2012-11,1720.0315121400442
2012-12,1763.496439081429
2013-01,1764.9452907931259
2013-02,1860.657124415628
2013-03,1908.6999555886753
2013-04,1950.051760695284
2013-05,1889.5031898780585
2013-06,1827.9002480531421
2013-07,1815.6249098486066
2013-08,1804.9014136733588
2013-09,1879.3117720275368
2013-10,1922.5416994543407
2013-11,1919.8428009578918
2013-12,1888.854449253885
2014-01,1841.8354044119292
2014-02,1841.5648663302213
2014-03,1854.869111548813
2014-04,1836.2195824508872
2014-05,1931.7373511888727
2014-06,1984.1278057517188
2014-07,2079.0420997407964
2014-08,2103.893999174839
2014-09,2090.463459847966
2014-10,2131.647974393641
2014-11,2129.165265206129
2014-12,2155.4061205770154
2015-01,2352.577845148004
2015-02,2468.6587794379207
2015-03,2593.4278325560435
2015-04,2614.0411315121014
2015-05,2644.3799279815053
2015-06,2520.778166296791
2015-07,2468.143043769292
2015-08,2229.7347211842116
2015-09,2143.2073772755944
2015-10,2353.206276252354
2015-11,2415.6919199112417
2015-12,2354.6413419894943
2016-01,2168.9570993012885
2016-02,2124.337363267045
2016-03,2203.455464513203
2016-04,2231.4906658462714
2016-05,2265.8688171612953
2016-06,2275.7838671566114
2016-07,2394.3841081886603
2016-08,2439.2678294839848
2016-09,2458.191935240487
2016-10,2508.08976514054
2018-03,2868.709838796339
2018-04,2944.777533440737
2018-05,3022.1864933876427
