Date,EM GCC COUNTRIES
2014-06,767.0697509534563
2014-07,901.1816806838367
2014-08,919.8984056235498
2014-09,1000.84841467012
2014-10,949.3339715256781
2014-11,958.0033489322074
2014-12,888.9876546209481
2015-01,903.3544835587636
2015-02,970.9313555454189
2015-03,959.6947277144898
2015-04,992.9238373864522
2015-05,952.0205856979062
2015-06,963.1677146485624
2015-07,956.8567432481807
2015-08,895.5005121838692
2015-09,882.2900307176201
2015-10,875.183645128724
2015-11,804.2561009610233
2015-12,803.5512628772232
2016-01,730.7069233042355
2016-02,801.9046721544174
2016-03,812.4412615136162
2016-04,822.6353274368839
2016-05,782.9007217994547
2016-06,812.6682783355884
2016-07,864.5093934012226
2016-08,885.2449354007765
2016-09,855.7342825581928
2016-10,849.5167440337672
2016-11,852.731935830961
2016-12,908.163260322098
2017-01,895.0771578956952
2017-02,923.94017458993
2017-03,914.328768375418
2017-04,893.1012546172975
2017-05,857.1504031030901
2017-06,815.4903325815743
2017-07,836.2722357578406
2017-08,803.4165438744535
2017-09,778.0915609663646
2017-10,790.0606704761017
2017-11,721.9983652449683
2017-12,761.5780669708739
2018-01,767.763174191309
2018-02,743.5053966830098
2018-03,747.9871989653955
2018-04,789.6285175753878
2018-05,792.6046087435811
2018-06,783.657877757048
2018-07,850.7903959515581
2018-08,861.2537369773319
2018-09,855.3326056236754
2018-10,913.3019325456523
2018-11,905.5016363899376
2018-12,892.4773727593632
2019-01,920.4274345190837
2019-02,910.365529049677
2019-03,922.4104975612381
2019-04,968.4324554615038
2019-05,900.0187636199685
2019-06,893.5711594656644
2019-07,929.8088821805073
2019-08,880.3039884128513
2019-09,884.9511641166606
2019-10,837.8386941109735
2019-11,851.3932074641609
2019-12,876.4979286260085
2020-01,868.1928783293328
2020-02,809.9215684425793
2020-03,690.9946253999163
2020-04,760.280094173613
2020-05,752.6486849311876
2020-06,759.8181570023966
2020-07,733.5029667066237
2020-08,762.0421509489669
2020-09,789.8901399817763
2020-10,778.1552460646257
2020-11,822.8071074478737
2020-12,805.7156157871644
2021-01,838.0929543632984
2021-02,853.6418689821893
2021-03,946.8072859959184
2021-04,970.9063103427434
2021-05,965.9355563029804
2021-06,1021.940770221719
2021-07,1033.1458117264772
2021-08,1083.6686764272956
2021-09,1127.99842514379
2021-10,1163.481463874567
2021-11,1138.2357921303396
2021-12,1167.612640134214
2022-01,1273.4870766518136
2022-02,1319.000858221462
2022-03,1414.8700089939086
2022-04,1541.728648158093
2022-05,1410.6320447892715
2022-06,1308.936179956099
2022-07,1417.076939796835
2022-08,1451.9488879925736
2022-09,1387.550135384225
2022-10,1415.148382118554
2022-11,1304.7619870991532
2022-12,1195.8296362252756
2023-01,1184.7324181469003
2023-02,1161.4118437495792
2023-03,1151.712388981599
2023-04,1191.9151335709644
2023-05,1191.0398058741619
2023-06,1194.7333836466617
2023-07,1224.4023683466378
