Date,ACWI ex POLAND
2015-12,2160.314205106653
2016-01,2038.025708892417
2016-02,2015.4889460558502
2016-03,2063.9177922985155
2016-04,2084.049537759149
2016-05,2147.081431689884
2016-06,2138.5453922941706
2016-07,2216.1818578635534
2016-08,2232.5801625311183
2016-09,2226.2339681442922
2016-10,2243.4138950799697
2016-11,2336.1320388886866
2016-12,2400.127594604732
2017-01,2406.3291420832247
2017-02,2515.894598116668
2017-03,2530.1190947469386
2017-04,2523.445011708727
2017-05,2497.704047800619
2017-06,2473.7089840081353
2017-07,2459.779935356123
2017-08,2448.409238210234
2017-09,2510.087055496223
2017-10,2600.103373775583
2017-11,2589.6478311009705
2017-12,2612.8026032553503
2018-01,2660.48789846587
2018-02,2603.5474619393062
2018-03,2526.847985101544
2018-04,2596.6759041371365
2018-05,2691.450452721509
2018-06,2676.360585096538
2018-07,2750.9022708214916
2018-08,2788.1239974870077
2018-09,2805.143590195127
2018-10,2660.1824923492177
2018-11,2700.7793634021205
2018-12,2486.3471324689513
2019-01,2672.71034854558
2019-02,2765.53207588702
2019-03,2839.9677919470782
2019-04,2941.5707398713453
2019-05,2782.7832779474447
2019-06,2901.3364499829054
2019-07,2976.4066046088524
2019-08,2938.10113337568
2019-09,3030.367681199578
2019-10,3042.17524358537
2019-11,3153.571472512678
2019-12,3206.7767298178237
2020-01,3212.444749426066
2020-02,2979.4423714851746
2020-03,2580.208595124769
2020-04,2861.7340615949042
2020-05,2940.327607295057
2020-06,3005.1246849142062
2020-07,3005.2203112424663
2020-08,3153.3426711786624
2020-09,3112.510487948787
2020-10,3057.5425816236448
2020-11,3344.042325937342
2020-12,3420.980903330828
2021-01,3429.702756123078
2021-02,3512.4770474829293
2021-03,3724.6190294685803
2021-04,3795.2832611507165
2021-05,3794.5319983911045
2021-06,3963.899395950522
2021-07,3991.524527122163
2021-08,4109.86157195892
2021-09,4013.2214821449675
2021-10,4224.299106218823
2021-11,4238.859602007215
2021-12,4363.374961421977
2022-01,4208.970595510143
2022-02,4092.5722134664948
2022-03,4220.746640987304
2022-04,4095.6851084706564
2022-05,4037.9951627165306
2022-06,3788.9902917806025
2022-07,4156.347940083146
2022-08,4059.737737924239
2022-09,3768.2573179056744
2022-10,3960.270618259484
2022-11,4096.001786834304
2022-12,3795.8695212073417
2023-01,3997.5471667821053
2023-02,3976.57829671594
2023-03,4001.460782838
2023-04,3994.0866920365097
2023-05,4091.879163357659
2023-06,4230.370795447796
2023-07,4339.112563001028
