Date,PACIFIC ex JAPAN
1998-12,100.0
1999-01,104.10736275926409
1999-02,106.5772615807523
1999-03,116.92876543267516
1999-04,139.02635608065407
1999-05,131.02103079027736
1999-06,143.41612316613973
1999-07,136.90424129645993
1999-08,135.53272607845653
1999-09,131.94250323035328
1999-10,136.14641334509872
1999-11,153.91012534587307
1999-12,167.03147428480798
2000-01,158.98356351918153
2000-02,161.038560241639
2000-03,163.40922014145994
2000-04,164.50765480469602
2000-05,146.60745943354328
2000-06,158.39335140356212
2000-07,163.05424866212076
2000-08,171.98862042212983
2000-09,161.8564103424226
2000-10,159.26838370321897
2000-11,154.3566449078127
2000-12,150.57304521250734
2001-01,156.73978577179693
2001-02,153.0991871862853
2001-03,141.13681563316723
2001-04,148.80716310703914
2001-05,154.22016888739296
2001-06,154.38680942282
2001-07,145.18676409644345
2001-08,137.2591691217599
2001-09,116.68436360962377
2001-10,125.01871298251619
2001-11,137.61484746784873
2001-12,143.08360524629637
2002-01,149.9469308728784
2002-02,147.1325831361386
2002-03,152.28509237566314
2002-04,148.16184220375362
2002-05,146.02994419017386
2002-06,130.8301968522616
2002-07,123.80832607495837
2002-08,124.24898201292034
2002-09,115.2104379550358
2002-10,121.29423966806769
2002-11,123.63628441200234
2002-12,113.60927123003377
2003-01,112.0501018576214
2003-02,110.14885855597316
2003-03,109.92532960198696
2003-04,113.33726682882984
2003-05,112.99372912850242
2003-06,119.9223432801201
2003-07,124.4516074318946
2003-08,133.4336146797877
2003-09,131.11135863911602
2003-10,140.62638244726398
2003-11,135.99148391246916
2003-12,137.77642704288223
2004-01,143.4870793063218
2004-02,148.9709409200754
2004-03,149.9818472922858
2004-04,145.70561674200374
2004-05,143.3612941873538
2004-06,144.16519974236968
2004-07,146.93912371781664
2004-08,149.8710753764319
2004-09,154.41945123089636
2004-10,156.6556046081898
2004-11,161.99637344161619
2004-12,164.239968043909
2005-01,170.75278490211142
2005-02,175.2577819003256
2005-03,172.4309073149814
2005-04,173.38303696779408
2005-05,181.14844487029515
2005-06,193.53703473268712
2005-07,199.9169039669387
2005-08,197.16921032530522
2005-09,212.33113433390363
2005-10,200.95708922912038
2005-11,211.08555588130028
2005-12,215.4071933231069
2006-01,222.62382223769035
2006-02,224.97809237531382
2006-03,223.42270130215596
2006-04,231.96884265353802
2006-05,214.03940505956334
2006-06,216.3182496510545
2006-07,219.35085257485966
2006-08,225.444073536691
2006-09,226.91237984237696
2006-10,240.65405181268514
2006-11,242.5655626410861
2006-12,254.38297163439537
2007-01,260.5291843133773
2007-02,260.65690294398166
2007-03,270.52684149778935
2007-04,277.2446786324122
2007-05,286.73882471925157
2007-06,291.95898101510426
2007-07,289.4894395035873
2007-08,285.5375278271637
2007-09,313.55375226944545
2007-10,332.21323868161613
2007-11,305.6582513396628
2007-12,299.9294280572826
2008-01,266.1236347217609
2008-02,264.2017580235842
2008-03,240.71208184709116
2008-04,264.7723968463715
2008-05,269.1337942743421
2008-06,245.67373416042255
2008-07,235.60437168080023
2008-08,237.21797592858417
2008-09,206.13031143651978
2008-10,171.22183663625103
2008-11,161.72831951836375
2008-12,156.15348454207887
2009-01,153.71080064584817
2009-02,147.3694729675231
2009-03,159.8590368095045
2009-04,181.25802336653936
2009-05,192.4700322788286
2009-06,199.63629887579103
2009-07,220.48471455315328
2009-08,225.46461231089043
2009-09,244.02373927713978
2009-10,242.95266662162277
2009-11,244.41763079292303
2009-12,261.4367188615479
2010-01,251.53681415442307
2010-02,264.19484021111543
2010-03,285.8022363212578
2010-04,290.43466691604647
2010-05,271.23817776641675
2010-06,270.7356495060588
2010-07,280.6583257836472
