Date,EFM LATIN AMERICA & CARIBBEAN INDEX
2009-05,1000.0
2009-06,988.0090709807054
2009-07,1065.236873666412
2009-08,1075.3978836418896
2009-09,1182.035246201682
2009-10,1190.4986556180893
2009-11,1267.5893776350842
2009-12,1353.3385627878356
2010-01,1273.603566014185
2010-02,1350.726233953281
2010-03,1458.845467032092
2010-04,1479.2248062885108
2010-05,1464.7162388094844
2010-06,1418.994203793094
2010-07,1493.3040480551806
2010-08,1497.6506565030516
2010-09,1541.086422134733
2010-10,1563.359728613875
2010-11,1613.1532816103452
2010-12,1664.079553841783
2011-01,1556.4231498271376
2011-02,1574.1379821214061
2011-03,1585.7256102838012
2011-04,1523.7981537124015
2011-05,1531.0072587081308
2011-06,1513.5511244909424
2011-07,1475.1799671798756
2011-08,1392.1283411324343
2011-09,1232.9766750926806
2011-10,1391.723271228163
2011-11,1356.6168890562774
2011-12,1384.1095702737352
2012-01,1545.7448339210182
2012-02,1587.7909782469137
2012-03,1543.8994962158845
2012-04,1492.3444822178942
2012-05,1387.4786459950315
2012-06,1403.8024325555205
2012-07,1465.7583501131637
2012-08,1424.5422437607517
2012-09,1449.5198349223626
2012-10,1432.886297462968
2012-11,1404.4681240290636
2012-12,1475.7788292500793
2013-01,1487.8230910941816
2013-02,1500.9505184897243
2013-03,1528.788528423082
2013-04,1484.613170512851
2013-05,1406.3109187901898
2013-06,1276.304701976366
2013-07,1237.4188099163662
2013-08,1208.1348445774943
2013-09,1278.1518084734764
2013-10,1333.7105712531547
2013-11,1274.7444664593154
2013-12,1228.026379713584
2014-01,1134.433861679688
2014-02,1129.4801923725754
2014-03,1232.4683577330904
2014-04,1257.682670413901
2014-05,1277.4492657128997
2014-06,1326.8866694944636
2014-07,1372.6448193745848
2014-08,1501.8913155033904
2014-09,1360.6535546962043
2014-10,1370.634172302776
2014-11,1314.6689123981314
2014-12,1230.366468601881
2015-01,1237.760510448298
2015-02,1300.1816039660837
2015-03,1259.659308739194
2015-04,1329.0803137492996
2015-05,1262.2739949617455
2015-06,1252.9392391075583
2015-07,1157.5462884970677
2015-08,1023.2288903087821
2015-09,946.2562456159955
2015-10,1021.3730677225828
2015-11,1021.9915392969864
2015-12,951.2052369692911
2016-01,913.0454512223985
2016-02,944.6446671103241
2016-03,1077.4548001400442
2016-04,1135.3939383701756
2016-05,1044.8857727645939
2016-06,1164.2201770856507
2016-07,1218.531890262221
2016-08,1230.9327159347024
2016-09,1211.854447360524
2016-10,1361.9973598795652
2016-11,1258.694115344954
2016-12,1275.6146715243406
2017-01,1343.4042578117126
2017-02,1413.9398463634764
2017-03,1417.5547690653004
2017-04,1393.448338665706
2017-05,1321.1834866449922
2017-06,1309.0980565534876
2017-07,1364.0182118298753
2017-08,1418.106493594095
2017-09,1453.052943256425
2017-10,1426.7539516817192
2017-11,1351.0444233323167
2017-12,1402.501252425769
2018-01,1522.7244172258795
2018-02,1498.1426096560904
2018-03,1470.4643345580255
2018-04,1475.6973530243577
2018-05,1307.7859178274996
2018-06,1257.152708220793
2018-07,1372.2463088625593
2018-08,1256.9349693000097
2018-09,1318.0423185080847
2018-10,1395.7389201466458
2018-11,1369.1683208819627
2018-12,1343.315122297845
2019-01,1540.2543371640952
2019-02,1490.8247555596786
2019-03,1470.9060080222305
2019-04,1476.6389749727782
2019-05,1462.1609865830458
2019-06,1518.8673374982206
2019-07,1555.4165921097278
2019-08,1444.6714719656916
2019-09,1497.5499061006321
2019-10,1528.530960111547
2019-11,1482.7629430374727
2019-12,1606.8888671007742
2020-01,1536.4149598445233
2020-02,1363.0578051926782
2020-03,893.9963856236666
2020-04,952.017568331124
2020-05,997.8486847820483
2020-06,1040.193393379927
2020-07,1096.1253869229379
2020-08,1016.5048555738344
2020-09,983.4893484701569
2020-10,978.8527227863738
2020-11,1161.6121069165763
2020-12,1270.8029313768386
2021-01,1193.8136543987684
2021-02,1159.2033797859906
2021-03,1252.5685132872793
2021-04,1268.0964993681725
2021-05,1348.3223170217905
2021-06,1427.7055015514366
2021-07,1369.6889135771266
2021-08,1387.4709679796526
2021-09,1267.1324025944314
2021-10,1201.3657569326242
2021-11,1198.386044437099
2021-12,1256.6268239679853
2022-01,1368.805786211772
2022-02,1432.121751045597
2022-03,1634.5076828746808
2022-04,1500.117578264405
2022-05,1598.0961497578676
2022-06,1359.1034666955488
2022-07,1452.8742100943841
2022-08,1513.3152873641393
2022-09,1502.7111312283528
2022-10,1633.388601780288
2022-11,1575.382475431894
2022-12,1458.4663826521783
2023-01,1574.7107239359116
2023-02,1512.638673117792
2023-03,1488.9520460290046
2023-04,1504.6804636944387
2023-05,1544.8690528656482
2023-06,1690.980319812515
2023-07,1759.40833228542
