Date,ACWI ex SINGAPORE
2015-12,2155.919176777777
2016-01,2034.1319865285607
2016-02,2011.4154040317387
2016-03,2059.6387481105116
2016-04,2079.5453765885177
2016-05,2142.6445147580694
2016-06,2133.6193548810975
2016-07,2211.4312107845026
2016-08,2228.051880199794
2016-09,2221.5643465800804
2016-10,2239.069556616387
2016-11,2331.2365094021716
2016-12,2395.639821614419
2017-01,2401.5160239498864
2017-02,2510.972769660587
2017-03,2525.0681610433667
2017-04,2518.8702791139103
2017-05,2492.942685739897
2017-06,2468.9650129196434
2017-07,2454.940574329869
2017-08,2443.9407358492585
2017-09,2505.6267148244365
2017-10,2595.2137182028405
2017-11,2584.4457725646184
2017-12,2607.712018696351
2018-01,2655.3399631566613
2018-02,2597.9997023082283
2018-03,2521.223692358058
2018-04,2590.309119151605
2018-05,2685.163569788115
2018-06,2670.8574292507265
2018-07,2745.6642797532445
2018-08,2783.082341553664
2018-09,2799.820899998266
2018-10,2655.1624453016984
2018-11,2695.74310208919
2018-12,2481.3253387832506
2019-01,2667.4387550434108
2019-02,2760.153529169092
2019-03,2834.387072855197
2019-04,2935.376839815826
2019-05,2777.3320002822693
2019-06,2895.2610416268526
2019-07,2970.1366173426813
2019-08,2932.1024443748393
2019-09,3024.2420842493725
2019-10,3035.8363911238407
2019-11,3147.196173918142
2019-12,3200.300279612768
2020-01,3206.079203453856
2020-02,2973.1683321251476
2020-03,2575.305854533331
2020-04,2856.470751490325
2020-05,2935.7319791304985
2020-06,3000.296811704285
2020-07,3000.8746761459774
2020-08,3149.0886680253057
2020-09,3108.089872328603
2020-10,3052.866514811886
2020-11,3338.753022529877
2020-12,3415.8574582276538
2021-01,3424.3959250773464
2021-02,3506.859100066479
2021-03,3718.2233695463847
2021-04,3789.040928696528
2021-05,3788.8563461010385
2021-06,3958.1802172134053
2021-07,3985.713510909611
2021-08,4104.3919638597945
2021-09,4007.357463554758
2021-10,4218.200897986096
2021-11,4233.034699386585
2021-12,4357.933675202776
2022-01,4203.284945043115
2022-02,4086.523598924515
2022-03,4214.867156232202
2022-04,4089.4942010205873
2022-05,4032.4008037302815
2022-06,3783.468823659809
2022-07,4150.237703333817
2022-08,4053.216940588976
2022-09,3761.4702162878016
2022-10,3954.2096910716523
2022-11,4089.500580797903
2022-12,3789.7200031479997
2023-01,3991.0062692255697
2023-02,3970.381800548114
2023-03,3994.7584827862056
2023-04,3988.0778170341723
2023-05,4086.4569116952766
2023-06,4225.625415149689
2023-07,4333.61339056762
